NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2a	22	23.45915412902832	0.02975358	No	
row_1	Cdkn1a	66	18.687726974487305	0.05216026	No	
row_2	Rbbp7	1000	7.042819499969482	0.01399112	No	
row_3	Lsm8	1095	6.622156143188477	0.017926512	No	
row_4	Cdc25b	1410	5.514249801635742	0.009218224	No	
row_5	Tubg1	2045	4.03690767288208	-0.017704325	No	
row_6	Cdc25a	2474	3.334582567214966	-0.035077263	No	
row_7	Pttg1	2521	3.25382661819458	-0.033134066	No	
row_8	Dck	2715	3.008572816848755	-0.03898769	No	
row_9	Dclre1b	2918	2.760284900665283	-0.045625657	No	
row_10	Ctcf	3010	2.649442195892334	-0.046765808	No	
row_11	Ppm1d	3265	2.3724019527435303	-0.056558114	No	
row_12	Nup153	3307	2.3251256942749023	-0.055582862	No	
row_13	Cit	3317	2.3123929500579834	-0.05299736	No	
row_14	Ing3	3404	2.2223846912384033	-0.054445293	No	
row_15	Tfrc	3576	2.0501368045806885	-0.060441647	No	
row_16	Msh2	3807	1.8482176065444946	-0.06970353	No	
row_17	Rnaseh2a	4121	1.5787657499313354	-0.08354005	No	
row_18	Hmgb2	4325	1.4221805334091187	-0.0919898	No	
row_19	Stag1	4678	1.1794275045394897	-0.10833477	No	
row_20	Lbr	4685	1.1737509965896606	-0.10709518	No	
row_21	Rfc1	4862	1.063588261604309	-0.11464405	No	
row_22	Tbrg4	4891	1.0445650815963745	-0.11469304	No	
row_23	Zw10	5072	0.9118880033493042	-0.12264492	No	
row_24	Ipo7	5355	0.7211353778839111	-0.13603392	No	
row_25	Chek2	5571	0.5913929343223572	-0.14618711	No	
row_26	Eed	5574	0.5902721881866455	-0.145512	No	
row_27	Pold3	5819	0.4711797535419464	-0.15729786	No	
row_28	Ccp110	5950	0.4128821790218353	-0.16336425	No	
row_29	Mre11a	6087	0.3616960644721985	-0.16980304	No	
row_30	Gins3	6669	0.1117507666349411	-0.19919634	No	
row_31	Hus1	6785	0.0711103156208992	-0.20494983	No	
row_32	Mlh1	6814	0.05922814831137657	-0.2062955	No	
row_33	Rad51c	6878	0.02950844168663025	-0.20945986	No	
row_34	Ppp1r8	7054	-0.04020575433969498	-0.21830465	No	
row_35	Cbx5	7177	-0.09119173139333725	-0.2243876	No	
row_36	Wee1	7205	-0.10184256732463837	-0.22562636	No	
row_37	Xrcc6	7229	-0.10835772007703781	-0.22665317	No	
row_38	Myc	7401	-0.1766592115163803	-0.23511502	No	
row_39	Mcm7	7617	-0.24857144057750702	-0.24571937	No	
row_40	Smc1a	8183	-0.44343438744544983	-0.27386266	No	
row_41	Rpa1	8264	-0.4694206416606903	-0.27731243	No	
row_42	Ubr7	8293	-0.48016706109046936	-0.2781042	No	
row_43	Dek	8453	-0.5300893187522888	-0.28549078	No	
row_44	Jpt1	8579	-0.5705592632293701	-0.29109544	No	
row_45	Pcna	8631	-0.5865592956542969	-0.29291657	No	
row_46	Gins4	8741	-0.616794764995575	-0.29764685	No	
row_47	Donson	8791	-0.6321081519126892	-0.29930636	No	
row_48	Pan2	8887	-0.6569613218307495	-0.30327198	No	
row_49	Nbn	8933	-0.6694486737251282	-0.30467898	No	
row_50	Rfc3	9091	-0.7072637677192688	-0.3117307	No	
row_51	Lig1	9203	-0.733059287071228	-0.3164097	No	
row_52	H2az1	9235	-0.7383114695549011	-0.31701425	No	
row_53	Brms1l	9632	-0.8291252851486206	-0.33605736	No	
row_54	Hmga1b	9868	-0.879964292049408	-0.34684768	No	
row_55	Lmnb1	10108	-0.9412917494773865	-0.35776067	No	
row_56	Cenpm	10524	-1.0326619148254395	-0.37750193	No	
row_57	Syncrip	10817	-1.0986526012420654	-0.39090258	No	
row_58	Nup107	11135	-1.173162579536438	-0.40547624	No	
row_59	Usp1	11505	-1.268153190612793	-0.4225688	No	
row_60	Prkdc	11717	-1.321723222732544	-0.4315575	No	
row_61	Timeless	11822	-1.3535785675048828	-0.435064	No	
row_62	Mms22l	11848	-1.3603575229644775	-0.43454486	No	
row_63	Cnot9	11974	-1.394972801208496	-0.43906456	No	
row_64	Smc3	12103	-1.4263278245925903	-0.44369557	No	
row_65	Ssrp1	12147	-1.4384061098098755	-0.44398892	No	
row_66	Tcf19	12148	-1.438454270362854	-0.44209594	No	
row_67	Dscc1	12243	-1.4639415740966797	-0.4449487	No	
row_68	Espl1	12311	-1.484317421913147	-0.44640192	No	
row_69	Ilf3	12406	-1.5094505548477173	-0.44919482	No	
row_70	Cse1l	12449	-1.5204687118530273	-0.44932935	No	
row_71	Gspt1	12530	-1.5393788814544678	-0.45137104	No	
row_72	E2f8	13270	-1.7460479736328125	-0.48664698	No	
row_73	Slbp	13342	-1.7684727907180786	-0.48792958	No	
row_74	Orc2	13398	-1.7848021984100342	-0.4883772	No	
row_75	Xpo1	13489	-1.8106184005737305	-0.49057043	No	
row_76	Mcm4	13572	-1.837538480758667	-0.49232143	No	
row_77	Pms2	13784	-1.9039225578308105	-0.50054395	No	
row_78	Ccne1	13852	-1.9283376932144165	-0.5014128	No	
row_79	Cdkn2c	14240	-2.0546646118164062	-0.5183855	No	
row_80	Phf5a	14406	-2.1105940341949463	-0.52399725	No	
row_81	Luc7l3	14532	-2.163736343383789	-0.5275053	No	
row_82	Dnmt1	14716	-2.238046407699585	-0.5338645	No	
row_83	Tra2b	14767	-2.2573935985565186	-0.53343594	No	
row_84	Anp32e	14823	-2.2787184715270996	-0.5332336	No	
row_85	Rpa2	14834	-2.28464674949646	-0.53073543	No	
row_86	Rfc2	14950	-2.334000587463379	-0.533511	No	
row_87	Tk1	15039	-2.364058017730713	-0.53487414	No	
row_88	Shmt1	15071	-2.3777430057525635	-0.5333212	No	
row_89	Asf1a	15086	-2.386108875274658	-0.5308929	No	
row_90	Gins1	15285	-2.4671735763549805	-0.5377132	No	
row_91	Pop7	15360	-2.5000946521759033	-0.5381856	No	
row_92	Cdkn1b	15366	-2.5037972927093506	-0.5351448	No	
row_93	Chek1	15478	-2.5574448108673096	-0.53742296	No	
row_94	Brca2	15760	-2.698061943054199	-0.5481595	Yes	
row_95	Mcm2	15764	-2.69921612739563	-0.5447598	Yes	
row_96	Pnn	15872	-2.7606496810913086	-0.54656714	Yes	
row_97	Tipin	15875	-2.7616164684295654	-0.54303455	Yes	
row_98	Ube2t	15951	-2.8047640323638916	-0.5431568	Yes	
row_99	Pold2	15997	-2.8271749019622803	-0.5417242	Yes	
row_100	Rad1	16085	-2.88034725189209	-0.54235715	Yes	
row_101	Prim2	16101	-2.887094020843506	-0.5393204	Yes	
row_102	Mxd3	16137	-2.9134654998779297	-0.53726584	Yes	
row_103	Asf1b	16352	-3.0462257862091064	-0.5441376	Yes	
row_104	Mybl2	16375	-3.0577571392059326	-0.54123217	Yes	
row_105	Nasp	16578	-3.202030658721924	-0.54728884	Yes	
row_106	Nup205	16579	-3.205437421798706	-0.5430705	Yes	
row_107	Spc24	16707	-3.2940783500671387	-0.54519266	Yes	
row_108	Orc6	16733	-3.311274766921997	-0.54210615	Yes	
row_109	Kif18b	16752	-3.329143524169922	-0.5386402	Yes	
row_110	Bard1	16957	-3.471266984939575	-0.5444442	Yes	
row_111	Srsf1	16982	-3.4889771938323975	-0.54107296	Yes	
row_112	Suv39h1	16997	-3.4992363452911377	-0.5371798	Yes	
row_113	Mcm5	17000	-3.5009424686431885	-0.53267425	Yes	
row_114	Trip13	17102	-3.5812277793884277	-0.5330967	Yes	
row_115	Ncapd2	17270	-3.7163374423980713	-0.5366969	Yes	
row_116	Rad21	17275	-3.718651533126831	-0.53200656	Yes	
row_117	Psmc3ip	17303	-3.739600896835327	-0.52845806	Yes	
row_118	Paics	17330	-3.759115695953369	-0.524833	Yes	
row_119	Atad2	17381	-3.7997348308563232	-0.52237475	Yes	
row_120	Ak2	17431	-3.841379165649414	-0.5198109	Yes	
row_121	Nolc1	17493	-3.894193410873413	-0.51778764	Yes	
row_122	Rad51ap1	17497	-3.898315906524658	-0.51281	Yes	
row_123	Mcm6	17506	-3.9060451984405518	-0.5080764	Yes	
row_124	Depdc1a	17510	-3.906794548034668	-0.50308764	Yes	
