NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sdc1	33	21.571212768554688	0.021824624	No	
row_1	Sdc4	111	16.46880531311035	0.035853557	No	
row_2	Sat1	117	16.349388122558594	0.05341222	No	
row_3	Slc6a8	162	14.930293083190918	0.06744236	No	
row_4	Pcolce	246	12.965205192565918	0.0773491	No	
row_5	Qsox1	321	11.766036987304688	0.086406805	No	
row_6	Jun	412	10.78770923614502	0.09358533	No	
row_7	Cxcl5	485	10.17288875579834	0.10100895	No	
row_8	Fuca1	514	9.960614204406738	0.11043787	No	
row_9	Notch2	678	8.732166290283203	0.11166618	No	
row_10	Grem1	747	8.337523460388184	0.117293485	No	
row_11	Ecm1	1089	6.645277976989746	0.107200176	No	
row_12	Tgm2	1106	6.5810112953186035	0.11355696	No	
row_13	Fap	1204	6.19694709777832	0.11537798	No	
row_14	Pmepa1	1271	5.9955315589904785	0.118555315	No	
row_15	Lrp1	1345	5.728572845458984	0.12108599	No	
row_16	Tnfrsf12a	1377	5.610936164855957	0.12562339	No	
row_17	Plaur	2191	3.7702438831329346	0.08840544	No	
row_18	Tpm1	2538	3.2318952083587646	0.07433906	No	
row_19	Vegfa	2772	2.9210126399993896	0.06567789	No	
row_20	Areg	2867	2.8143951892852783	0.06396608	No	
row_21	Itgav	3232	2.406433343887329	0.048085395	No	
row_22	Tpm4	3292	2.3435864448547363	0.04763972	No	
row_23	Pvr	3362	2.260103940963745	0.046594784	No	
row_24	Colgalt1	3543	2.0772719383239746	0.039708395	No	
row_25	Capg	4125	1.573891043663025	0.011890303	No	
row_26	Pcolce2	4258	1.4754046201705933	0.0067880675	No	
row_27	Tnfaip3	4409	1.350163459777832	6.3442084E-4	No	
row_28	Cxcl15	4446	1.3195754289627075	2.4219212E-4	No	
row_29	Fbn2	4585	1.232931137084961	-0.0054292073	No	
row_30	Tgfbr3	5395	0.6984243988990784	-0.045790616	No	
row_31	Copa	5427	0.6814915537834167	-0.04662389	No	
row_32	Lama1	5569	0.5933207869529724	-0.053144645	No	
row_33	Itga2	5643	0.5579964518547058	-0.05624737	No	
row_34	Ccn1	5810	0.47769781947135925	-0.06416488	No	
row_35	Gpc1	6170	0.32504451274871826	-0.08205909	No	
row_36	Inhba	6205	0.30930155515670776	-0.08345036	No	
row_37	Oxtr	7348	-0.15441188216209412	-0.14133124	No	
row_38	Ecm2	7393	-0.17099739611148834	-0.14338149	No	
row_39	Mcm7	7617	-0.24857144057750702	-0.154446	No	
row_40	Lama3	7832	-0.3235565721988678	-0.16497135	No	
row_41	Sntb1	8093	-0.4109265208244324	-0.17773972	No	
row_42	Pfn2	8429	-0.5221967697143555	-0.19419919	No	
row_43	Fzd8	8504	-0.5480583310127258	-0.19736359	No	
row_44	Fgf2	8869	-0.6517305970191956	-0.21515603	No	
row_45	Thbs1	8883	-0.655979335308075	-0.21510214	No	
row_46	Rhob	8987	-0.6826854944229126	-0.21959394	No	
row_47	Sfrp4	9405	-0.7792940735816956	-0.23994146	No	
row_48	Ptx3	9790	-0.8626682162284851	-0.25852072	No	
row_49	Comp	9813	-0.8676325678825378	-0.2586937	No	
row_50	Timp1	10009	-0.9127054214477539	-0.26761135	No	
row_51	Mmp3	10297	-0.9840208292007446	-0.28112778	No	
row_52	Col8a2	10442	-1.014441967010498	-0.28734222	No	
row_53	Il6	10467	-1.0202358961105347	-0.2874506	No	
row_54	Cthrc1	10572	-1.0455492734909058	-0.2915979	No	
row_55	Wnt5a	10862	-1.1079425811767578	-0.30508098	No	
row_56	Edil3	11077	-1.1589620113372803	-0.31469613	No	
row_57	Crlf1	11259	-1.208790898323059	-0.32257956	No	
row_58	Efemp2	11321	-1.220981240272522	-0.32435	No	
row_59	Calu	11426	-1.2481087446212769	-0.3282766	No	
row_60	Col7a1	11630	-1.2993091344833374	-0.3371797	No	
row_61	Col11a1	11708	-1.319377064704895	-0.3396562	No	
row_62	Matn2	11800	-1.3468207120895386	-0.34281448	No	
row_63	Magee1	11867	-1.366219401359558	-0.34468082	No	
row_64	Vegfc	11948	-1.3879681825637817	-0.34723508	No	
row_65	Cdh6	12196	-1.447818636894226	-0.35821295	No	
row_66	Scg2	12284	-1.476029872894287	-0.36102712	No	
row_67	Mmp14	12343	-1.490441083908081	-0.36235148	No	
row_68	Tfpi2	12378	-1.5014610290527344	-0.36244386	No	
row_69	Itgb3	12502	-1.5328178405761719	-0.36702606	No	
row_70	Postn	12532	-1.5401681661605835	-0.36682215	No	
row_71	Matn3	12579	-1.5485501289367676	-0.3674732	No	
row_72	Cadm1	12770	-1.6061007976531982	-0.37538126	No	
row_73	Fbln2	12942	-1.6474599838256836	-0.38227844	No	
row_74	Tnc	12949	-1.649975299835205	-0.38078576	No	
row_75	Nt5e	13012	-1.6690354347229004	-0.38211888	No	
row_76	Rgs4	13103	-1.6913508176803589	-0.38485092	No	
row_77	Cd44	13197	-1.7220251560211182	-0.38770205	No	
row_78	Col1a2	13566	-1.835357666015625	-0.40440825	No	
row_79	Itgb5	13748	-1.8935415744781494	-0.41154563	No	
row_80	Lox	13837	-1.922662377357483	-0.413924	No	
row_81	Itga5	13838	-1.922833800315857	-0.41182908	No	
row_82	Snai2	13918	-1.9497727155685425	-0.41372043	No	
row_83	Foxc2	14109	-2.013528823852539	-0.42118457	No	
row_84	Plod1	14186	-2.0394535064697266	-0.42282572	No	
row_85	Pdlim4	14566	-2.178875684738159	-0.43971682	No	
row_86	Dkk1	14577	-2.182868242263794	-0.43784687	No	
row_87	Ccn2	14670	-2.221437692642212	-0.44010305	No	
row_88	Slit2	14746	-2.250732898712158	-0.44146317	No	
row_89	Nnmt	15048	-2.368480920791626	-0.45418286	No	
row_90	Cap2	15337	-2.4904625415802	-0.46610883	No	
row_91	Fermt2	15438	-2.5381855964660645	-0.46842656	No	
row_92	Vcan	15574	-2.603881359100342	-0.4724518	No	
row_93	Gpx7	15655	-2.647585868835449	-0.4736337	No	
row_94	Slit3	15667	-2.654621124267578	-0.47130063	No	
row_95	Bdnf	15941	-2.7950801849365234	-0.48213226	No	
row_96	Prrx1	15948	-2.802147626876831	-0.47938427	No	
row_97	Fstl3	15955	-2.8072383403778076	-0.47663075	No	
row_98	Lum	16034	-2.8482677936553955	-0.47749233	No	
row_99	Mest	16050	-2.8626785278320312	-0.4751359	No	
row_100	Dab2	16088	-2.8805742263793945	-0.47387823	No	
row_101	Col1a1	16181	-2.933699369430542	-0.4753584	No	
row_102	Timp3	16236	-2.9659645557403564	-0.4748718	No	
row_103	Col6a3	16298	-3.012411117553711	-0.47469047	No	
row_104	Col3a1	16319	-3.0269935131073	-0.47240916	No	
row_105	Spp1	16585	-3.2110161781311035	-0.48238096	No	
row_106	Sgcg	16722	-3.307223081588745	-0.48569074	Yes	
row_107	Tgfb1	16783	-3.3529603481292725	-0.4850875	Yes	
row_108	Nid2	16828	-3.3775432109832764	-0.48364422	Yes	
row_109	Fmod	16863	-3.4022796154022217	-0.48166564	Yes	
row_110	Loxl1	16954	-3.4700863361358643	-0.48245975	Yes	
row_111	Thbs2	16977	-3.486207962036133	-0.47977978	Yes	
row_112	Wipf1	17001	-3.5024218559265137	-0.47713298	Yes	
row_113	Sgcb	17075	-3.5629119873046875	-0.47696182	Yes	
row_114	Col5a3	17144	-3.617250442504883	-0.4764773	Yes	
row_115	Pmp22	17145	-3.617271661758423	-0.47253624	Yes	
row_116	Plod2	17186	-3.6559581756591797	-0.4705863	Yes	
row_117	Eno2	17226	-3.6797499656677246	-0.46855956	Yes	
row_118	Bgn	17300	-3.7369368076324463	-0.4681988	Yes	
row_119	Lamc1	17371	-3.788337230682373	-0.46762955	Yes	
row_120	Lama2	17439	-3.850594997406006	-0.46683997	Yes	
row_121	Htra1	17441	-3.8531622886657715	-0.46269277	Yes	
row_122	Plod3	17477	-3.881767988204956	-0.46024263	Yes	
row_123	Sgcd	17578	-3.9766106605529785	-0.46099317	Yes	
row_124	Anpep	17647	-4.033134937286377	-0.46005553	Yes	
row_125	Mmp2	17707	-4.0892462730407715	-0.4585993	Yes	
row_126	Serpine2	17868	-4.252015590667725	-0.46209967	Yes	
row_127	Fbln1	17921	-4.326450347900391	-0.46002918	Yes	
row_128	Msx1	17923	-4.327783584594727	-0.45536485	Yes	
row_129	Glipr1	17939	-4.342229843139648	-0.4513964	Yes	
row_130	Flna	17946	-4.354025363922119	-0.44695765	Yes	
row_131	Eln	18111	-4.579067230224609	-0.45030499	Yes	
row_132	Ntm	18163	-4.656930446624756	-0.4478236	Yes	
row_133	Aplp1	18173	-4.670751571655273	-0.44319224	Yes	
row_134	Abi3bp	18187	-4.685953617095947	-0.43874767	Yes	
row_135	Lrrc15	18223	-4.744014739990234	-0.4353581	Yes	
row_136	Dst	18264	-4.796921253204346	-0.43216506	Yes	
row_137	Col6a2	18326	-4.905873775482178	-0.42992076	Yes	
row_138	Id2	18343	-4.927204132080078	-0.4253658	Yes	
row_139	Fbln5	18408	-5.0206427574157715	-0.42314896	Yes	
row_140	Igfbp3	18442	-5.0980119705200195	-0.41927207	Yes	
row_141	Igfbp2	18510	-5.200329303741455	-0.41701192	Yes	
row_142	Cdh2	18545	-5.252119541168213	-0.41301796	Yes	
row_143	Pdgfrb	18561	-5.274989604949951	-0.40803325	Yes	
row_144	Fbn1	18588	-5.3484344482421875	-0.4035277	Yes	
row_145	Lamc2	18685	-5.573368549346924	-0.40233523	Yes	
row_146	Mfap5	18753	-5.750020980834961	-0.39947623	Yes	
row_147	Mylk	18768	-5.7840070724487305	-0.39388612	Yes	
row_148	Cdh11	18776	-5.816766262054443	-0.38790452	Yes	
row_149	Thy1	18802	-5.882701396942139	-0.38276604	Yes	
row_150	Myl9	18839	-5.98527193069458	-0.37807494	Yes	
row_151	P3h1	18854	-6.037204265594482	-0.37220898	Yes	
row_152	Gadd45a	18904	-6.2191267013549805	-0.3679239	Yes	
row_153	Fstl1	18916	-6.242128372192383	-0.36168218	Yes	
row_154	Dpysl3	18921	-6.256258487701416	-0.35506925	Yes	
row_155	Adam12	18933	-6.291911602020264	-0.3487733	Yes	
row_156	Igfbp4	18968	-6.424886226654053	-0.34350157	Yes	
row_157	Col16a1	19035	-6.617171764373779	-0.33964694	Yes	
row_158	Bmp1	19056	-6.7168378829956055	-0.3333455	Yes	
row_159	Cxcl12	19067	-6.746284008026123	-0.32650366	Yes	
row_160	Cald1	19106	-6.9101176261901855	-0.3209066	Yes	
row_161	Acta2	19131	-7.012197494506836	-0.3144867	Yes	
row_162	Itgb1	19154	-7.110626697540283	-0.3078579	Yes	
row_163	Gja1	19189	-7.271219730377197	-0.30166408	Yes	
row_164	Gas1	19229	-7.426991939544678	-0.2955547	Yes	
row_165	Col5a2	19262	-7.570011615753174	-0.2889337	Yes	
row_166	Pthlh	19270	-7.614211559295654	-0.28099376	Yes	
row_167	Tgfbi	19358	-8.090978622436523	-0.27660087	Yes	
row_168	Tnfrsf11b	19359	-8.098065376281738	-0.26777795	Yes	
row_169	Emp3	19379	-8.189940452575684	-0.2598207	Yes	
row_170	Tagln	19382	-8.20110034942627	-0.2509872	Yes	
