NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mlph	24	23.001989364624023	0.022954067	Yes	
row_1	Sfn	29	22.026546478271484	0.04589981	Yes	
row_2	Hes1	50	19.82765769958496	0.06572113	Yes	
row_3	Elf3	53	19.615060806274414	0.08623417	Yes	
row_4	Ablim1	60	19.07737922668457	0.10597876	Yes	
row_5	Klf4	81	17.999643325805664	0.1238789	Yes	
row_6	Scnn1a	84	17.818099975585938	0.1425034	Yes	
row_7	Clic3	94	17.3048152923584	0.16023257	Yes	
row_8	Tjp3	114	16.37929344177246	0.17648062	Yes	
row_9	Fos	163	14.918479919433594	0.18971902	Yes	
row_10	Rapgefl1	196	14.128429412841797	0.20294057	Yes	
row_11	Car12	225	13.498115539550781	0.21570304	Yes	
row_12	Myof	247	12.954975128173828	0.22825058	Yes	
row_13	Tob1	256	12.856803894042969	0.24135588	Yes	
row_14	Endod1	257	12.846627235412598	0.2548572	Yes	
row_15	Nav2	260	12.788390159606934	0.2681957	Yes	
row_16	Pmaip1	270	12.594355583190918	0.28097433	Yes	
row_17	Bag1	303	12.058844566345215	0.2920208	Yes	
row_18	Krt18	315	11.854692459106445	0.30392042	Yes	
row_19	Deptor	317	11.813786506652832	0.31628543	Yes	
row_20	Mindy1	341	11.500099182128906	0.32720226	Yes	
row_21	Xbp1	369	11.254083633422852	0.33765718	Yes	
row_22	Celsr2	422	10.728684425354004	0.3462889	Yes	
row_23	Krt19	448	10.472694396972656	0.35602427	Yes	
row_24	Add3	460	10.368636131286621	0.3663621	Yes	
row_25	Dynlt3	481	10.212717056274414	0.37607846	Yes	
row_26	Wwc1	523	9.874672889709473	0.38437188	Yes	
row_27	Sult2b1	608	9.111574172973633	0.38967714	Yes	
row_28	B4galt1	653	8.888463973999023	0.39678156	Yes	
row_29	Abca3	704	8.531941413879395	0.40320626	Yes	
row_30	Slc37a1	740	8.35688304901123	0.4102096	Yes	
row_31	Esrp2	775	8.159966468811035	0.4170568	Yes	
row_32	Dhrs3	776	8.156911849975586	0.42562944	Yes	
row_33	Nherf1	787	8.113935470581055	0.43364847	Yes	
row_34	Tmem164	845	7.7423858642578125	0.43888748	Yes	
row_35	Tiam1	859	7.6717000007629395	0.4462892	Yes	
row_36	Egr3	920	7.356163501739502	0.4509698	Yes	
row_37	Krt8	932	7.312779426574707	0.458096	Yes	
row_38	Aff1	973	7.1581830978393555	0.46358535	Yes	
row_39	Amfr	1019	6.972165584564209	0.46862498	Yes	
row_40	Hspb8	1076	6.729776859283447	0.47285062	Yes	
row_41	Tgm2	1106	6.5810112953186035	0.4782926	Yes	
