NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Perp	11	25.8144474029541	0.024649886	Yes	
row_1	Cdh1	27	22.052614212036133	0.045422837	Yes	
row_2	Sfn	29	22.026546478271484	0.06688197	Yes	
row_3	Emp2	57	19.141517639160156	0.084202126	Yes	
row_4	Isg20	68	18.50981903076172	0.10176953	Yes	
row_5	Klf4	81	17.999643325805664	0.11873706	Yes	
row_6	Scnn1a	84	17.818099975585938	0.1360356	Yes	
row_7	Clic3	94	17.3048152923584	0.1524771	Yes	
row_8	Tjp3	114	16.37929344177246	0.16750647	Yes	
row_9	Sgk1	141	15.566119194030762	0.1813859	Yes	
row_10	Trim29	158	15.065176963806152	0.19528447	Yes	
row_11	Fos	163	14.918479919433594	0.20964974	Yes	
row_12	Mocs2	173	14.681619644165039	0.22352956	Yes	
row_13	Homer2	176	14.594890594482422	0.2376805	Yes	
row_14	Rapgefl1	196	14.128429412841797	0.2505118	Yes	
row_15	Pdcd4	201	13.979569435119629	0.26396018	Yes	
row_16	Idh2	216	13.700582504272461	0.2766278	Yes	
row_17	Car12	225	13.498115539550781	0.2894027	Yes	
row_18	Myof	247	12.954975128173828	0.3009864	Yes	
row_19	Lsr	255	12.860455513000488	0.31318942	Yes	
row_20	Tob1	256	12.856803894042969	0.3257447	Yes	
row_21	Bag1	303	12.058844566345215	0.3351825	Yes	
row_22	Xbp1	369	11.254083633422852	0.34286863	Yes	
row_23	Cd9	405	10.889461517333984	0.3517236	Yes	
row_24	Celsr2	422	10.728684425354004	0.36138737	Yes	
row_25	Tst	423	10.719114303588867	0.3718551	Yes	
row_26	Krt19	448	10.472694396972656	0.38086224	Yes	
row_27	Zfp36	452	10.459465026855469	0.39092392	Yes	
row_28	Add3	460	10.368636131286621	0.40069354	Yes	
row_29	Dynlt3	481	10.212717056274414	0.40965012	Yes	
row_30	Ltf	489	10.118075370788574	0.4191751	Yes	
row_31	Sult2b1	608	9.111574172973633	0.4220749	Yes	
