NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sdc1	33	21.571212768554688	0.025010876	Yes	
row_1	Elf3	53	19.615060806274414	0.04831337	Yes	
row_2	Idh1	54	19.396425247192383	0.072311446	Yes	
row_3	Isg20	68	18.50981903076172	0.09455157	Yes	
row_4	Gne	113	16.422178268432617	0.112632535	Yes	
row_5	Cldn3	150	15.332756996154785	0.1297724	Yes	
row_6	Me1	287	12.321012496948242	0.13810132	Yes	
row_7	Egln3	307	11.986661911010742	0.15196565	Yes	
row_8	Qsox1	321	11.766036987304688	0.16586208	Yes	
row_9	Dsc2	343	11.464505195617676	0.17897867	Yes	
row_10	Gfpt1	370	11.244974136352539	0.19156942	Yes	
row_11	Mxi1	386	11.093021392822266	0.20453146	Yes	
row_12	Pcx	414	10.764660835266113	0.2164771	Yes	
row_13	Adora2b	524	9.85246753692627	0.22312471	Yes	
row_14	Ang	555	9.563627243041992	0.23343183	Yes	
row_15	Pam	620	9.0491361618042	0.24137363	Yes	
row_16	Ddit4	625	9.041611671447754	0.25235692	Yes	
row_17	Gal3st1	639	8.94769287109375	0.26276636	Yes	
row_18	Efna3	652	8.89404296875	0.27316028	Yes	
row_19	B4galt1	653	8.888463973999023	0.28415745	Yes	
row_20	Gpr87	658	8.85781478881836	0.29491335	Yes	
row_21	Got1	724	8.438064575195312	0.30204824	Yes	
row_22	Tgfa	738	8.360349655151367	0.311731	Yes	
row_23	G6pdx	743	8.347434997558594	0.32185543	Yes	
row_24	Pmm2	881	7.561869144439697	0.3242453	Yes	
row_25	Capn5	916	7.3758978843688965	0.3316423	Yes	
row_26	Ak3	963	7.190924167633057	0.33820027	Yes	
row_27	Kif2a	1003	7.035834789276123	0.34492227	Yes	
row_28	Pkm	1170	6.365490436553955	0.3443574	Yes	
row_29	Slc35a3	1281	5.976519584655762	0.34615868	Yes	
row_30	Met	1359	5.67364501953125	0.34926316	Yes	
row_31	Aldoa	1368	5.639481067657471	0.3558338	Yes	
row_32	Fut8	1507	5.248904228210449	0.35531113	Yes	
row_33	B3gat3	1569	5.093284606933594	0.35851112	Yes	
row_34	Pgm2	1573	5.080639362335205	0.36464456	Yes	
row_35	Egfr	1595	5.000915050506592	0.36976412	Yes	
row_36	Hk2	1626	4.9128336906433105	0.37431708	Yes	
row_37	Ugp2	1976	4.159459114074707	0.36171788	No	
row_38	Rragd	2007	4.106821060180664	0.36527362	No	
row_39	Bik	2173	3.7924821376800537	0.36157614	No	
row_40	Fbp2	2387	3.4646999835968018	0.3550325	No	
row_41	Ldha	2424	3.4034323692321777	0.35741287	No	
row_42	Tpi1	2561	3.1962990760803223	0.35445234	No	
row_43	Sdhc	2611	3.1295554637908936	0.35583287	No	
row_44	Glrx	2686	3.042241096496582	0.35583422	No	
row_45	Chpf	2747	2.9600236415863037	0.3564457	No	
row_46	Vegfa	2772	2.9210126399993896	0.35883936	No	
row_47	Fkbp4	2808	2.886028528213501	0.36063045	No	
row_48	Akr1a1	2910	2.7723019123077393	0.35892496	No	
row_49	Taldo1	2981	2.681687831878662	0.3586836	No	
row_50	Ier3	3125	2.520827293395996	0.3545314	No	
row_51	Ppfia4	3128	2.519383668899536	0.3575468	No	
row_52	Cyb5a	3164	2.489264965057373	0.358847	No	
row_53	Cln6	3223	2.422011375427246	0.3588945	No	
row_54	Rpe	3277	2.3554720878601074	0.35911393	No	
row_55	Gale	3298	2.334807872772217	0.36098573	No	
row_56	Cited2	3354	2.2724461555480957	0.36100072	No	
row_57	Hdlbp	3384	2.2377264499664307	0.36229476	No	
row_58	Mpi	3391	2.2308812141418457	0.36474985	No	
row_59	Tff3	3409	2.2188432216644287	0.3666307	No	
row_60	Mdh1	3435	2.186612844467163	0.3680649	No	
row_61	Gusb	3471	2.1516828536987305	0.36894742	No	
row_62	Ext1	3628	1.9991306066513062	0.36348876	No	
row_63	Gmppa	3877	1.7889518737792969	0.35309216	No	
row_64	Got2	3909	1.7562333345413208	0.3536888	No	
row_65	Med24	3917	1.7510244846343994	0.35549933	No	
row_66	Bpnt1	3927	1.7402410507202148	0.3571948	No	
row_67	Ecd	4031	1.643685221672058	0.35399124	No	
row_68	Srd5a3	4037	1.6396775245666504	0.3557657	No	
row_69	B3gnt3	4113	1.5850859880447388	0.35391334	No	
row_70	Sap30	4241	1.4830667972564697	0.34929073	No	
row_71	P4ha2	4271	1.4625623226165771	0.3496257	No	
row_72	Pgam2	4273	1.4615586996078491	0.35138318	No	
row_73	Gfus	4345	1.4071776866912842	0.3495141	No	
row_74	Glce	4412	1.3471323251724243	0.34782493	No	
row_75	Alg1	4416	1.3432806730270386	0.34933436	No	
row_76	Homer1	4432	1.3298602104187012	0.350217	No	
row_77	Gclc	4441	1.3236109018325806	0.35144788	No	
row_78	Ppp2cb	4480	1.3011378049850464	0.35112554	No	
row_79	Rbck1	4492	1.2913060188293457	0.35216388	No	
row_80	Artn	4580	1.234977126121521	0.3492682	No	
row_81	Xylt2	4644	1.2003127336502075	0.34754992	No	
row_82	Abcb6	4737	1.1387979984283447	0.34428102	No	
row_83	Cog2	4894	1.0422718524932861	0.33763847	No	
row_84	Fam162a	5073	0.9115094542503357	0.32971555	No	
row_85	Pygb	5112	0.8743919134140015	0.3288652	No	
row_86	Gpc3	5136	0.8585707545280457	0.328758	No	
row_87	Idua	5167	0.8362399935722351	0.32826722	No	
row_88	Nsdhl	5205	0.8123154044151306	0.32739094	No	
row_89	Chst4	5260	0.7805516719818115	0.32561097	No	
row_90	Phka2	5302	0.7587655782699585	0.324465	No	
row_91	Hax1	5537	0.6124857664108276	0.31332472	No	
row_92	Chpf2	5931	0.4224609434604645	0.2938647	No	
row_93	Pkp2	6044	0.3784773647785187	0.28863814	No	
row_94	Gpc1	6170	0.32504451274871826	0.28268448	No	
row_95	Spag4	6178	0.32193025946617126	0.28272685	No	
