NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ets2	123	16.060550689697266	0.111855894	Yes	
row_1	Adgrg1	313	11.877772331237793	0.18963654	Yes	
row_2	Ldb1	1250	6.076613903045654	0.18710357	Yes	
row_3	Cdk6	1730	4.652379989624023	0.19714718	Yes	
row_4	Tle3	2372	3.4954428672790527	0.19051687	Yes	
row_5	L1cam	2605	3.135045289993286	0.20186266	Yes	
row_6	Amot	2752	2.947283983230591	0.21616511	Yes	
row_7	Vegfa	2772	2.9210126399993896	0.23667887	Yes	
row_8	Rtn1	2986	2.6777358055114746	0.24562119	Yes	
row_9	Tle1	3447	2.172213315963745	0.23839162	Yes	
row_10	Shh	3462	2.161233901977539	0.25357252	Yes	
row_11	Myh9	4157	1.5468794107437134	0.2299459	No	
row_12	Ophn1	4339	1.4104222059249878	0.2311861	No	
row_13	Pml	4507	1.281024694442749	0.23218115	No	
row_14	Ptch1	5359	0.7180231809616089	0.19454445	No	
row_15	Rasa1	5485	0.6494072079658508	0.19301455	No	
row_16	Celsr1	6206	0.3092750310897827	0.15897936	No	
row_17	Nkx6-1	6932	0.0036391790490597486	0.122445345	No	
row_18	Hey1	8011	-0.3865076005458832	0.07092443	No	
row_19	Gli1	11557	-1.2803987264633179	-0.0984331	No	
row_20	Scg2	12284	-1.476029872894287	-0.12419423	No	
row_21	Plg	14494	-2.1460323333740234	-0.21981595	No	
row_22	Nf1	14827	-2.280752182006836	-0.21979281	No	
row_23	Nrp1	14882	-2.3023533821105957	-0.20559171	No	
row_24	Cdk5r1	16243	-2.972255229949951	-0.25232607	No	
row_25	Hey2	16255	-2.977834463119507	-0.2309912	No	
row_26	Cntfr	17115	-3.5911669731140137	-0.24791129	No	
row_27	Unc5c	17319	-3.749466896057129	-0.23058656	No	
row_28	Vldlr	17934	-4.33893346786499	-0.22965492	No	
row_29	Crmp1	18261	-4.794098377227783	-0.21085398	No	
row_30	Thy1	18802	-5.882701396942139	-0.19484264	No	
row_31	Slit1	18803	-5.8832221031188965	-0.15159598	No	
row_32	Nrp2	18906	-6.225944995880127	-0.110973746	No	
row_33	Nrcam	18949	-6.348421096801758	-0.06642549	No	
row_34	Dpysl2	19232	-7.434714317321777	-0.025994936	No	
row_35	Ache	19322	-7.871998310089111	0.027382752	No	
