NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pdzk1ip1	17	24.484811782836914	0.03164808	Yes	
row_1	Btg2	85	17.744779586791992	0.051805828	Yes	
row_2	Klf3	108	16.65114402770996	0.07279799	Yes	
row_3	Cast	121	16.096084594726562	0.093561254	Yes	
row_4	Kdm7a	131	15.844018936157227	0.114142254	Yes	
row_5	Slc6a8	162	14.930293083190918	0.13244289	Yes	
row_6	Endod1	257	12.846627235412598	0.14472474	Yes	
row_7	Smox	267	12.66561222076416	0.16108532	Yes	
row_8	Mxi1	386	11.093021392822266	0.16981913	Yes	
row_9	Pcx	414	10.764660835266113	0.18274093	Yes	
row_10	Adipor1	427	10.706512451171875	0.1963477	Yes	
row_11	Nudt4	436	10.596578598022461	0.21001175	Yes	
row_12	Sec14l1	440	10.576000213623047	0.22390255	Yes	
row_13	Nek7	610	9.109559059143066	0.22741118	Yes	
row_14	Slc7a11	611	9.103018760681152	0.23949853	Yes	
row_15	Sdcbp	691	8.634113311767578	0.24694902	Yes	
row_16	Ctsb	835	7.8019022941589355	0.25004244	Yes	
row_17	Arhgef12	837	7.791350364685059	0.2603373	Yes	
row_18	Ell2	902	7.440968036651611	0.26696566	Yes	
row_19	Lrp10	934	7.307804584503174	0.27509406	Yes	
row_20	Kat2b	960	7.203440189361572	0.28338873	Yes	
row_21	Tmem9b	997	7.053076267242432	0.29092482	Yes	
row_22	Hdgf	1068	6.751560211181641	0.2963329	Yes	
row_23	Foxo3	1113	6.5621418952941895	0.3028106	Yes	
row_24	Clcn3	1132	6.501150131225586	0.31052846	Yes	
row_25	Dcun1d1	1156	6.421137809753418	0.317886	Yes	
row_26	Arl2bp	1218	6.166319370269775	0.3229743	Yes	
row_27	Ezh1	1223	6.157896995544434	0.33094773	Yes	
row_28	C3	1248	6.078725337982178	0.3377998	Yes	
row_29	Gde1	1454	5.396985054016113	0.33454946	Yes	
row_30	Htatip2	1477	5.320738792419434	0.34049666	Yes	
row_31	Add1	1510	5.246586799621582	0.34583727	Yes	
row_32	Mospd1	1552	5.138784408569336	0.3505774	Yes	
row_33	Tspan5	1621	4.927828788757324	0.3536655	Yes	
row_34	Nr3c1	1645	4.875288486480713	0.3589704	Yes	
row_35	Fbxo9	1649	4.871914386749268	0.3652871	Yes	
row_36	Alad	1654	4.853735446929932	0.3715288	Yes	
row_37	Sidt2	1792	4.55028772354126	0.3706095	Yes	
row_38	Blvrb	1905	4.297802448272705	0.37062523	Yes	
row_39	Epb41	1918	4.277796745300293	0.37569568	Yes	
row_40	Ctns	1985	4.144514083862305	0.3778453	Yes	
row_41	Slc11a2	2098	3.92918062210083	0.37737155	Yes	
row_42	Fbxo34	2143	3.8475000858306885	0.38024464	Yes	
row_43	Eif2ak1	2148	3.8402416706085205	0.3851406	Yes	
row_44	Slc6a9	2162	3.8195130825042725	0.38955173	Yes	
row_45	Map2k3	2178	3.7856340408325195	0.39381626	Yes	
row_46	Bsg	2198	3.7652029991149902	0.3978504	Yes	
row_47	Aqp3	2209	3.738738775253296	0.4023067	Yes	
row_48	Slc30a1	2241	3.681962728500366	0.40562057	Yes	
row_49	Ranbp10	2308	3.5789389610290527	0.40701917	Yes	
row_50	Gapvd1	2352	3.5325193405151367	0.40952483	Yes	
row_51	Picalm	2370	3.500148296356201	0.41330865	Yes	
row_52	Ccnd3	2480	3.328571319580078	0.41218984	No	
row_53	Slc10a3	2720	2.9961607456207275	0.40402395	No	
row_54	Slc22a4	2726	2.991147994995117	0.40774164	No	
row_55	Tnrc6b	2916	2.7610325813293457	0.40180418	No	
row_56	Minpp1	2974	2.690028429031372	0.40247977	No	
row_57	Ppox	2989	2.6748485565185547	0.40532017	No	
row_58	Prdx2	3055	2.6089625358581543	0.4054816	No	
row_59	Ypel5	3197	2.4495997428894043	0.40156963	No	
row_60	Top1	3330	2.2972731590270996	0.39791274	No	
row_61	Ccdc28a	3345	2.2810263633728027	0.4002302	No	
row_62	Fbxo7	3427	2.1949641704559326	0.3990289	No	
row_63	Tfrc	3576	2.0501368045806885	0.3942308	No	
row_64	Rbm5	3587	2.0425548553466797	0.39643487	No	
row_65	Mark3	3594	2.037184953689575	0.39883506	No	
row_66	Btrc	3670	1.963424801826477	0.3976312	No	
row_67	Xpo7	3695	1.9427905082702637	0.3989914	No	
row_68	Ppp2r5b	3749	1.898573398590088	0.3988193	No	
row_69	Dcaf11	3804	1.8485316038131714	0.39852995	No	
row_70	Blvra	4108	1.5873663425445557	0.3852414	No	
row_71	Nfe2l1	4211	1.512037754058838	0.3820662	No	
row_72	Riok3	4257	1.4758206605911255	0.38173926	No	
row_73	P4ha2	4271	1.4625623226165771	0.38302076	No	
row_74	Bach1	4310	1.4334943294525146	0.3829933	No	
row_75	Cir1	4401	1.356762409210205	0.3802217	No	
row_76	Rad23a	4402	1.355058193206787	0.382021	No	
row_77	Gclc	4441	1.3236109018325806	0.38184765	No	
row_78	Dcaf10	4539	1.266226887702942	0.37860012	No	
row_79	Mkrn1	4713	1.156903624534607	0.37134567	No	
row_80	Abcb6	4737	1.1387979984283447	0.3716891	No	
row_81	Synj1	4852	1.071913719177246	0.36731976	No	
row_82	Slc66a2	4877	1.0538568496704102	0.3674996	No	
row_83	Lpin2	4910	1.0304607152938843	0.36724186	No	
row_84	Pigq	4926	1.0157521963119507	0.36782843	No	
row_85	Atp6v0a1	4936	1.0078476667404175	0.36870936	No	
row_86	Cdc27	4951	1.0012481212615967	0.3693275	No	
row_87	Urod	4968	0.9874922633171082	0.3698257	No	
row_88	Selenbp1	5236	0.7924915552139282	0.35731092	No	
row_89	Fech	5338	0.7309225797653198	0.35314935	No	
row_90	Mboat2	5341	0.7291450500488281	0.35401592	No	
row_91	Rnf123	5642	0.558805525302887	0.33951402	No	
row_92	Aldh6a1	5908	0.43351736664772034	0.3266242	No	
row_93	Slc2a1	6367	0.23925761878490448	0.30366957	No	
row_94	Bpgm	6392	0.228513702750206	0.30275348	No	
row_95	Epor	6420	0.2140851616859436	0.3016658	No	
row_96	Xk	6647	0.11864166706800461	0.2903396	No	
row_97	Optn	6677	0.11047402769327164	0.2890127	No	
row_98	Narf	6826	0.05353325232863426	0.28156346	No	
row_99	Foxj2	7178	-0.09129142761230469	0.26384932	No	
row_100	Tyr	7260	-0.12028663605451584	0.2598932	No	
row_101	Acp5	7289	-0.12999701499938965	0.25864303	No	
row_102	Marchf8	7426	-0.18543024361133575	0.2519787	No	
row_103	Icam4	7704	-0.28166744112968445	0.23827751	No	
row_104	Trak2	7863	-0.3351905643939972	0.23069413	No	
row_105	Fn3k	8062	-0.4028337597846985	0.22116806	No	
row_106	Marchf2	8169	-0.43947961926460266	0.21636543	No	
row_107	Nfe2	8349	-0.497927725315094	0.20793107	No	
row_108	Car2	8618	-0.5827085375785828	0.19508693	No	
row_109	Lamp2	8879	-0.6548409461975098	0.18274507	No	
row_110	Hbq1b	8918	-0.666705846786499	0.18169945	No	
row_111	Mocos	8919	-0.6668623685836792	0.18258494	No	
row_112	Ncoa4	9604	-0.8208174109458923	0.14891876	No	
row_113	Glrx5	9945	-0.8959160447120667	0.13283198	No	
row_114	Uros	11247	-1.2050502300262451	0.06832436	No	
row_115	Ackr1	11352	-1.2287551164627075	0.0646714	No	
row_116	Tmcc2	11824	-1.3542753458023071	0.04253673	No	
row_117	Gata1	11857	-1.362547516822815	0.04271996	No	
row_118	Vezf1	12084	-1.4230926036834717	0.03312586	No	
row_119	Cpox	12202	-1.4493908882141113	0.029105294	No	
row_120	Ubac1	12235	-1.4605189561843872	0.029418614	No	
row_121	Ucp2	12478	-1.5266988277435303	0.019149076	No	
row_122	Tspo2	12879	-1.635153889656067	9.950963E-4	No	
row_123	Spta1	12927	-1.6438614130020142	7.896692E-4	No	
row_124	Klf1	13040	-1.674652099609375	-0.0026777182	No	
row_125	Cdr2	13450	-1.7987024784088135	-0.02107185	No	
row_126	Ftcd	13799	-1.9100899696350098	-0.036218483	No	
row_127	Trim10	13809	-1.9140934944152832	-0.03413419	No	
row_128	Kel	14046	-1.9907146692276	-0.04348271	No	
row_129	Trim58	14127	-2.0176000595092773	-0.044868704	No	
row_130	Rcl1	14433	-2.1196391582489014	-0.05755213	No	
row_131	Rhd	14528	-2.1626813411712646	-0.05945686	No	
row_132	Gypc	14550	-2.1709678173065186	-0.057641234	No	
row_133	Tal1	14609	-2.1927881240844727	-0.057676718	No	
row_134	Rnf19a	14681	-2.225456714630127	-0.058329392	No	
row_135	Add2	14704	-2.2344229221343994	-0.056480322	No	
row_136	Rhag	15062	-2.374842405319214	-0.071467154	No	
row_137	Gclm	15126	-2.3989105224609375	-0.07148301	No	
row_138	Hba-x	15158	-2.4141898155212402	-0.06985255	No	
row_139	Hmbs	15346	-2.4945871829986572	-0.076042175	No	
row_140	Osbp2	15403	-2.5206730365753174	-0.075540654	No	
row_141	Alas2	15531	-2.5825817584991455	-0.07856465	No	
row_142	Ank1	15532	-2.582813262939453	-0.07513509	No	
row_143	Slc4a1	15776	-2.7063803672790527	-0.08388901	No	
row_144	Ermap	15928	-2.785447120666504	-0.08786315	No	
row_145	Rbm38	16000	-2.8285024166107178	-0.087715074	No	
row_146	Car1	16015	-2.8375484943389893	-0.084658645	No	
row_147	Khnyn	16041	-2.8573641777038574	-0.08213485	No	
row_148	Aldh1l1	16126	-2.9059457778930664	-0.08254451	No	
row_149	Dmtn	16139	-2.9136269092559814	-0.07928544	No	
row_150	Acsl6	16248	-2.974316358566284	-0.08082383	No	
row_151	Ctse	16413	-3.082765817642212	-0.08506375	No	
row_152	Psmd9	16519	-3.1511871814727783	-0.08621484	No	
row_153	Sptb	17114	-3.59086275100708	-0.11162967	No	
row_154	Tent5c	17198	-3.6662371158599854	-0.11097898	No	
row_155	Tfdp2	17259	-3.7047243118286133	-0.109108485	No	
row_156	Agpat4	17386	-3.8042585849761963	-0.11045948	No	
row_157	Mfhas1	17481	-3.884474277496338	-0.11007794	No	
row_158	Myl4	17595	-3.9931082725524902	-0.1105176	No	
row_159	E2f2	17606	-4.000730514526367	-0.105713405	No	
row_160	Gmps	17613	-4.007729530334473	-0.10069666	No	
row_161	Slc30a10	17633	-4.023333549499512	-0.096319765	No	
row_162	Lmo2	17704	-4.085622310638428	-0.09445163	No	
row_163	Epb42	17734	-4.117835998535156	-0.09045738	No	
row_164	Tcea1	17753	-4.137140274047852	-0.08587855	No	
row_165	Atg4a	17762	-4.1427106857299805	-0.0807842	No	
row_166	Tns1	17794	-4.169441223144531	-0.076823056	No	
