NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sh3bgrl2	49	19.938968658447266	0.018863473	No	
row_1	Ckap4	80	18.032630920410156	0.036651313	No	
row_2	Ahnak	83	17.819091796875	0.055634152	No	
row_3	Alcam	88	17.69630241394043	0.07438379	No	
row_4	Gsto1	115	16.378875732421875	0.09060382	No	
row_5	Ifitm3	205	13.837327003479004	0.10089847	No	
row_6	Nfkbiz	301	12.097657203674316	0.10902483	No	
row_7	St3gal4	323	11.731996536254883	0.12052221	No	
row_8	Xbp1	369	11.254083633422852	0.13028741	No	
row_9	Arl4a	394	11.013691902160645	0.14086294	No	
row_10	Phlda1	413	10.769464492797852	0.15148197	No	
row_11	Hopx	464	10.32352066040039	0.1599963	No	
row_12	Wls	545	9.668042182922363	0.16628319	No	
row_13	Rora	568	9.424802780151367	0.17525868	No	
row_14	Ikzf2	699	8.605018615722656	0.17786475	No	
row_15	Ahr	729	8.41864013671875	0.18540668	No	
row_16	Twsg1	766	8.227174758911133	0.19238766	No	
row_17	Dhrs3	776	8.156911849975586	0.20066622	No	
row_18	Rnh1	801	8.024300575256348	0.20804004	No	
row_19	Tiam1	859	7.6717000007629395	0.21335831	No	
row_20	Tnfsf10	888	7.509546279907227	0.21997745	No	
row_21	Irf6	892	7.485467433929443	0.22784196	No	
row_22	Tnfrsf21	947	7.263134479522705	0.23287518	No	
row_23	Bmpr2	1033	6.908776760101318	0.23595263	No	
row_24	Nfil3	1075	6.738978385925293	0.24108547	No	
row_25	Ecm1	1089	6.645277976989746	0.24754167	No	
row_26	Socs2	1104	6.5980305671691895	0.25389642	No	
row_27	Tgm2	1106	6.5810112953186035	0.26089394	No	
row_28	Mapkapk2	1144	6.451157569885254	0.2659219	No	
row_29	Cdkn1c	1614	4.950726509094238	0.24737716	No	
row_30	Hk2	1626	4.9128336906433105	0.25207958	No	
row_31	Plec	1747	4.629394054412842	0.25093612	No	
row_32	Ifngr1	1803	4.524155139923096	0.252985	No	
row_33	Mxd1	1870	4.387633323669434	0.25432837	No	
row_34	Il18r1	1940	4.2263689041137695	0.25534645	No	
row_35	Rragd	2007	4.106821060180664	0.25638905	No	
row_36	Spred2	2068	3.987180471420288	0.2576086	No	
row_37	Prkch	2139	3.851651191711426	0.2581745	No	
row_38	Rabgap1l	2197	3.765963315963745	0.25930965	No	
row_39	P2rx4	2224	3.7109456062316895	0.26196215	No	
row_40	Maff	2390	3.4590277671813965	0.25727713	No	
row_41	Huwe1	2476	3.3321914672851562	0.256524	No	
row_42	Ccnd3	2480	3.328571319580078	0.2599364	No	
row_43	Myo1c	2565	3.19104266166687	0.25908294	No	
row_44	Slc1a5	2579	3.1790621280670166	0.26182675	No	
row_45	Igf2r	2719	2.9968013763427734	0.25796872	No	
row_46	Pou2f1	2854	2.8256070613861084	0.25418153	No	
row_47	Tnfrsf18	2903	2.782247304916382	0.25472075	No	
row_48	Ttc39b	2998	2.663735866546631	0.25279406	No	
row_49	Snx14	3033	2.631847858428955	0.25388402	No	
row_50	Drc1	3034	2.631807804107666	0.25670272	No	
row_51	Igf1r	3214	2.433614730834961	0.25020763	No	
row_52	Itgav	3232	2.406433343887329	0.25192058	No	
row_53	Enpp1	3270	2.365769863128662	0.252573	No	
row_54	Slc39a8	3318	2.3121559619903564	0.2526596	No	
row_55	Phtf2	3332	2.2916102409362793	0.25445294	No	
row_56	Plscr1	3484	2.133193254470825	0.24905978	No	
row_57	Plagl1	3679	1.9560002088546753	0.24129045	No	
row_58	Myo1e	3993	1.682661533355713	0.22717762	No	
row_59	Eef1akmt1	4001	1.6748604774475098	0.22861551	No	
row_60	F2rl2	4089	1.5997287034988403	0.22590518	No	
row_61	Capg	4125	1.573891043663025	0.22581121	No	
row_62	Gabarapl1	4130	1.5661346912384033	0.22728518	No	
row_63	Ncoa3	4406	1.3524141311645508	0.21475083	No	
row_64	Etfbkmt	4625	1.2116425037384033	0.20496395	No	
row_65	Bcl2l1	4717	1.1555545330047607	0.20157453	No	
row_66	Furin	4828	1.0834861993789673	0.19714184	No	
row_67	Bmp2	5036	0.9398888349533081	0.18762323	No	
row_68	Lrig1	5255	0.7823199033737183	0.17737655	No	
row_69	Ptch1	5359	0.7180231809616089	0.17290837	No	
row_70	Ptrh2	5465	0.662371039390564	0.16827889	No	
row_71	Tnfrsf1b	5513	0.622515857219696	0.16655582	No	
row_72	Hycc2	5644	0.5579630136489868	0.16054334	No	
row_73	Ahcyl	6187	0.31500324606895447	0.13332187	No	
row_74	Csf2	6331	0.2555677592754364	0.12632452	No	
row_75	Rhoh	7008	-0.022593164816498756	0.09197642	No	
row_76	Cdc6	7111	-0.060581617057323456	0.08685495	No	
row_77	Anxa4	7173	-0.08863775432109833	0.08384824	No	
row_78	Myc	7401	-0.1766592115163803	0.07249527	No	
row_79	Cish	7433	-0.1875852346420288	0.07111993	No	
row_80	Amacr	7526	-0.21860568225383759	0.06667617	No	
row_81	Cyfip1	8088	-0.4097791910171509	0.03859011	No	
row_82	Rgs16	8120	-0.4203363358974457	0.037464052	No	
row_83	Lif	8315	-0.489690899848938	0.028124278	No	
row_84	Icos	8436	-0.5247517824172974	0.022584705	No	
row_85	Emp1	8542	-0.5602924823760986	0.017845895	No	
row_86	Car2	8618	-0.5827085375785828	0.01465649	No	
row_87	Il2ra	8716	-0.6077638864517212	0.010375295	No	
row_88	Rhob	8987	-0.6826854944229126	-0.002622119	No	
row_89	Ndrg1	9071	-0.7018592357635498	-0.006090684	No	
row_90	Lclat1	9518	-0.803250253200531	-0.027907971	No	
row_91	Nop2	10306	-0.9866103529930115	-0.06686757	No	
row_92	Gpx4	10325	-0.9913760423660278	-0.06672103	No	
row_93	Tlr7	10372	-1.000510334968567	-0.06798841	No	
row_94	Plpp1	10392	-1.0049660205841064	-0.06787816	No	
row_95	Itga6	10686	-1.0690605640411377	-0.08163123	No	
row_96	Pdcd2l	10891	-1.1144649982452393	-0.09081033	No	
row_97	Capn3	11257	-1.2075483798980713	-0.10807603	No	
row_98	Dcps	11381	-1.2360057830810547	-0.113006376	No	
row_99	Gpr65	11663	-1.308562994003296	-0.12589277	No	
row_100	Muc1	11745	-1.3301074504852295	-0.12858678	No	
row_101	Gata1	11857	-1.362547516822815	-0.13277145	No	
row_102	Tnfsf11	12215	-1.4535024166107178	-0.14936696	No	
row_103	Klf6	12614	-1.5601307153701782	-0.16793299	No	
row_104	Nt5e	13012	-1.6690354347229004	-0.18633151	No	
row_105	Cd44	13197	-1.7220251560211182	-0.19384298	No	
row_106	She	13216	-1.7290318012237549	-0.1929064	No	
row_107	Smpdl3a	13280	-1.7492526769638062	-0.19423625	No	
row_108	Fgl2	13435	-1.7945188283920288	-0.20014466	No	
row_109	Gucy1b1	13521	-1.8192156553268433	-0.20251822	No	
row_110	Snx9	13543	-1.825393795967102	-0.20163096	No	
row_111	Uck2	13672	-1.8672300577163696	-0.2061395	No	
row_112	Penk	13694	-1.8737819194793701	-0.20520043	No	
row_113	Ccne1	13852	-1.9283376932144165	-0.21111806	No	
row_114	Flt3l	14049	-1.9915491342544556	-0.21895102	No	
row_115	Selp	14065	-1.9976462125778198	-0.21757421	No	
row_116	Bhlhe40	14245	-2.0570666790008545	-0.2244726	No	
row_117	Pus1	14384	-2.1014161109924316	-0.22923878	No	
row_118	Itgae	14429	-2.1188974380493164	-0.22920665	No	
row_119	Glipr2	14501	-2.149634838104248	-0.23051447	No	
row_120	Ncs1	14575	-2.1823818683624268	-0.2318889	No	
