NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd14	38	20.76372718811035	0.0553319	No	
row_1	Ltbr	311	11.910165786743164	0.07442187	No	
row_2	Cd9	405	10.889461517333984	0.09974649	No	
row_3	Jun	412	10.78770923614502	0.12918869	No	
row_4	Il1r1	534	9.781254768371582	0.15004209	No	
row_5	Osmr	940	7.2732930183410645	0.14962293	No	
row_6	Tnfrsf21	947	7.263134479522705	0.16934665	No	
row_7	Acvr1b	1203	6.197218894958496	0.17354341	No	
row_8	Ifngr2	1228	6.135997295379639	0.18924923	No	
row_9	Tnfrsf12a	1377	5.610936164855957	0.19723864	No	
row_10	Ebi3	1441	5.458369255065918	0.20910442	No	
row_11	Tnfrsf1a	1696	4.761923313140869	0.20939413	No	
row_12	Ifngr1	1803	4.524155139923096	0.21651015	No	
row_13	Il18r1	1940	4.2263689041137695	0.22128846	No	
row_14	Myd88	2497	3.2984089851379395	0.20227556	No	
row_15	Il10rb	3142	2.5059328079223633	0.1766288	No	
row_16	Irf9	3701	1.9317278861999512	0.15374637	No	
row_17	Pf4	4252	1.4780768156051636	0.13001749	No	
row_18	Ptpn11	4590	1.230250358581543	0.11637318	No	
row_19	Il6st	5074	0.9113810062408447	0.09446881	No	
row_20	Cbl	5218	0.8028945326805115	0.08945351	No	
row_21	Tnfrsf1b	5513	0.622515857219696	0.07630726	No	
row_22	Hax1	5537	0.6124857664108276	0.07683337	No	
row_23	Grb2	5885	0.4434092342853546	0.06051392	No	
row_24	Stat1	5932	0.42113634943962097	0.05934968	No	
row_25	Ifnar1	6058	0.3730870485305786	0.054059215	No	
row_26	Csf2	6331	0.2555677592754364	0.041013338	No	
row_27	Reg1	6517	0.17767749726772308	0.03215085	No	
row_28	Stam2	7151	-0.07963260263204575	3.7002E-4	No	
row_29	Tyk2	7562	-0.22967657446861267	-0.01972364	No	
row_30	Il12rb1	7636	-0.25566670298576355	-0.022709087	No	
row_31	Il7	7749	-0.2951028645038605	-0.027557382	No	
row_32	Pdgfc	7905	-0.3445436358451843	-0.034443155	No	
row_33	Csf3r	8305	-0.48583269119262695	-0.053274415	No	
row_34	Il2ra	8716	-0.6077638864517212	-0.07232556	No	
row_35	Cd38	8811	-0.639693021774292	-0.07531373	No	
row_36	Itga4	8946	-0.6736328601837158	-0.08023046	No	
row_37	Ccr1	8968	-0.6787441372871399	-0.07942055	No	
row_38	Bak1	9563	-0.8103489279747009	-0.10721495	No	
row_39	Stat2	9599	-0.8192725777626038	-0.1067253	No	
row_40	Ptpn2	10367	-0.9991809129714966	-0.14274478	No	
row_41	Tlr2	10390	-1.00443434715271	-0.14108738	No	
row_42	Il6	10467	-1.0202358961105347	-0.1421163	No	
row_43	Crlf2	11125	-1.171030879020691	-0.17210105	No	
row_44	Acvrl1	11427	-1.2484749555587769	-0.18387517	No	
row_45	Pla2g2a	11585	-1.2888303995132446	-0.18825832	No	
row_46	Inhbe	11893	-1.3728443384170532	-0.19999285	No	
row_47	Itgb3	12502	-1.5328178405761719	-0.2265029	No	
row_48	Cd36	12880	-1.6355233192443848	-0.24105187	No	
row_49	Cxcl2	13062	-1.6818867921829224	-0.2455645	No	
row_50	Cd44	13197	-1.7220251560211182	-0.24759045	No	
row_51	Il1b	13456	-1.8000043630599976	-0.25567004	No	
row_52	Stat3	13686	-1.8709489107131958	-0.2620879	No	
row_53	Socs3	14880	-2.301631212234497	-0.3160519	No	
row_54	Pim1	15020	-2.359020948410034	-0.31657422	No	
row_55	Il17rb	15316	-2.480851411819458	-0.32464692	No	
row_56	Il15ra	15660	-2.649196147918701	-0.33468202	No	
row_57	Lepr	15977	-2.819248676300049	-0.3428833	No	
row_58	Tnf	15988	-2.823756694793701	-0.33560273	No	
row_59	Il17ra	16046	-2.861018180847168	-0.33059543	No	
row_60	A2m	16283	-3.0026872158050537	-0.3342466	No	
row_61	Csf1	16527	-3.153658866882324	-0.33783537	No	
row_62	Dntt	16680	-3.2761995792388916	-0.33648586	No	
row_63	Tgfb1	16783	-3.3529603481292725	-0.33239704	No	
row_64	Cntfr	17115	-3.5911669731140137	-0.33922815	No	
row_65	Csf2ra	17844	-4.215555667877197	-0.36440736	Yes	
row_66	Il13ra1	18027	-4.461000442504883	-0.36130756	Yes	
row_67	Cxcl13	18079	-4.529566764831543	-0.35139617	Yes	
row_68	Map3k8	18117	-4.592135906219482	-0.3406045	Yes	
row_69	Ccl7	18218	-4.738234519958496	-0.33259487	Yes	
row_70	Pik3r5	18452	-5.108885288238525	-0.33028686	Yes	
row_71	Ltb	18502	-5.18895959854126	-0.31845617	Yes	
row_72	Ptpn1	18841	-5.986649990081787	-0.31903598	Yes	
row_73	Il3ra	18988	-6.471113204956055	-0.30857366	Yes	
row_74	Irf1	19030	-6.601602077484131	-0.2924434	Yes	
row_75	Hmox1	19095	-6.858154296875	-0.27676848	Yes	
row_76	Il9r	19230	-7.430403709411621	-0.2630544	Yes	
row_77	Il4ra	19507	-9.12149715423584	-0.251856	Yes	
row_78	Il1r2	19548	-9.638747215270996	-0.2273007	Yes	
row_79	Socs1	19675	-11.35902214050293	-0.2023496	Yes	
row_80	Cxcl9	19710	-12.273396492004395	-0.17022634	Yes	
row_81	Fas	19724	-12.51281452178955	-0.13638128	Yes	
row_82	Il2rg	19725	-12.513311386108398	-0.10187765	Yes	
row_83	Cxcl11	19851	-19.259920120239258	-0.05509044	Yes	
row_84	Cxcl10	19858	-20.217851638793945	3.54002E-4	Yes	
