NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ly6e	51	19.775487899780273	0.043994512	No	
row_1	Isg20	68	18.50981903076172	0.086778305	No	
row_2	Txnip	185	14.357588768005371	0.114725664	No	
row_3	Ifitm3	205	13.837327003479004	0.14635342	No	
row_4	Ifitm2	791	8.095637321472168	0.13583389	No	
row_5	Ifitm1	833	7.820870876312256	0.1521795	No	
row_6	Elf1	1131	6.502575397491455	0.1524734	No	
row_7	Lap3	1164	6.400312900543213	0.16592859	No	
row_8	Tap1	1233	6.116086006164551	0.17689371	No	
row_9	Cd47	1495	5.272067546844482	0.17611028	No	
row_10	Lgals3bp	1592	5.00491189956665	0.18304238	No	
row_11	Tent5a	1674	4.8058977127075195	0.19026439	No	
row_12	Ifih1	1765	4.593685150146484	0.19653144	No	
row_13	Mvb12a	1937	4.232481002807617	0.19785132	No	
row_14	Wars1	2020	4.081850528717041	0.20331752	No	
row_15	Irf2	2228	3.7055392265319824	0.20157571	No	
row_16	Casp8	2240	3.6847031116485596	0.20969735	No	
row_17	Trim25	2689	3.036212921142578	0.19419086	No	
row_18	Slc25a28	2756	2.940492630004883	0.19777821	No	
row_19	Gmpr	2993	2.668307065963745	0.19212694	No	
row_20	Trafd1	3077	2.5789222717285156	0.19400299	No	
row_21	Trim12c	3078	2.5760111808776855	0.20006981	No	
row_22	Plscr1	3484	2.133193254470825	0.18461129	No	
row_23	Ripk2	3531	2.0878396034240723	0.187202	No	
row_24	Trim14	3643	1.986631989479065	0.18626706	No	
row_25	Irf9	3701	1.9317278861999512	0.18793382	No	
row_26	Tmem140	3816	1.8425638675689697	0.18650785	No	
row_27	Mov10	3889	1.7773057222366333	0.1870523	No	
row_28	Lpar6	3908	1.7563964128494263	0.1902785	No	
row_29	Rnf31	3933	1.736019492149353	0.19315328	No	
row_30	Parp12	4061	1.6228660345077515	0.19055243	No	
row_31	Adar	4245	1.4813213348388672	0.18478608	No	
row_32	Eif2ak2	4714	1.1560157537460327	0.16384001	No	
row_33	Ddx60	4967	0.9876581430435181	0.15342142	No	
row_34	Ifi27	5519	0.6200990676879883	0.12701555	No	
row_35	Ogfr	6377	0.2324778288602829	0.08422113	No	
row_36	Cmtr1	6636	0.12234336137771606	0.07146117	No	
row_37	Parp9	6650	0.11804303526878357	0.07108172	No	
row_38	Trim21	6789	0.06983430683612823	0.06426697	No	
row_39	Batf2	6905	0.016026530414819717	0.058488704	No	
row_40	Trim26	6973	-0.00907568447291851	0.05512162	No	
row_41	Irf7	7029	-0.029893720522522926	0.052410454	No	
row_42	Casp1	7265	-0.12189624458551407	0.04081264	No	
row_43	Il7	7749	-0.2951028645038605	0.017080398	No	
row_44	Nub1	7788	-0.3087448477745056	0.015885718	No	
row_45	Epsti1	8096	-0.41229724884033203	0.0013305089	No	
row_46	B2m	8288	-0.4768764078617096	-0.007206023	No	
row_47	Helz2	8754	-0.6230515837669373	-0.029255575	No	
row_48	Pnpt1	9462	-0.7940734624862671	-0.06314126	No	
row_49	Stat2	9599	-0.8192725777626038	-0.068089835	No	
row_50	Sp110	10388	-1.004030466079712	-0.105577536	No	
row_51	Parp14	10723	-1.076404094696045	-0.11993419	No	
row_52	Ccrl2	11941	-1.3860827684402466	-0.17821836	No	
row_53	Samd9l	13043	-1.6754059791564941	-0.22995456	No	
row_54	Lamp3	13050	-1.6761066913604736	-0.22631055	No	
row_55	Rtp4	13882	-1.9362198114395142	-0.26377752	No	
row_56	Psmb8	14077	-2.0012216567993164	-0.26887575	No	
row_57	Psmb9	14485	-2.1402018070220947	-0.2844189	No	
row_58	Isg15	14606	-2.1913979053497314	-0.28532678	No	
row_59	Ifi44l	14758	-2.2555203437805176	-0.28765142	No	
row_60	Sell	15395	-2.5177440643310547	-0.31388688	No	
row_61	Oas1a	15608	-2.6184146404266357	-0.31844187	No	
row_62	Dhx58	15984	-2.821742534637451	-0.33076158	No	
row_63	Tdrd7	16524	-3.152306079864502	-0.35059687	Yes	
row_64	Csf1	16527	-3.153658866882324	-0.34327075	Yes	
