NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ly6e	51	19.775487899780273	0.019823214	No	
row_1	Cdkn1a	66	18.687726974487305	0.040293578	No	
row_2	Peli1	67	18.601415634155273	0.06137749	No	
row_3	Isg20	68	18.50981903076172	0.082357585	No	
row_4	Btg1	103	16.931699752807617	0.09982131	No	
row_5	Txnip	185	14.357588768005371	0.11197917	No	
row_6	Ifitm3	205	13.837327003479004	0.12669775	No	
row_7	Arl4a	394	11.013691902160645	0.12962845	No	
row_8	Vamp8	450	10.462156295776367	0.13869216	No	
row_9	Vamp5	477	10.233317375183105	0.14897004	No	
row_10	Sppl2a	580	9.336398124694824	0.15436953	No	
row_11	Ifitm2	791	8.095637321472168	0.15287486	No	
row_12	Tnfsf10	888	7.509546279907227	0.15650856	No	
row_13	Nfkb1	1024	6.938152313232422	0.1575129	No	
row_14	Nampt	1035	6.899496555328369	0.16482507	No	
row_15	Tnfaip2	1055	6.804696559906006	0.17157245	No	
row_16	Lap3	1164	6.400312900543213	0.17333913	No	
row_17	Tap1	1233	6.116086006164551	0.17681617	No	
row_18	Tor1b	1288	5.948030471801758	0.1808141	No	
row_19	Sectm1a	1358	5.6765289306640625	0.18374212	No	
row_20	Lgals3bp	1592	5.00491189956665	0.17757554	No	
row_21	Jak2	1594	5.001885414123535	0.18319415	No	
row_22	Ifih1	1765	4.593685150146484	0.17976269	No	
row_23	Arid5b	1831	4.470081806182861	0.18152648	No	
row_24	Wars1	2020	4.081850528717041	0.17660025	No	
row_25	Irf2	2228	3.7055392265319824	0.17028202	No	
row_26	Casp8	2240	3.6847031116485596	0.17389953	No	
row_27	Myd88	2497	3.2984089851379395	0.16463001	No	
row_28	Ifnar2	2596	3.1459944248199463	0.16321619	No	
row_29	Trim25	2689	3.036212921142578	0.16198282	No	
row_30	Slc25a28	2756	2.940492630004883	0.16196208	No	
row_31	Tapbp	2889	2.7980480194091797	0.15842623	No	
row_32	Trafd1	3077	2.5789222717285156	0.1518473	No	
row_33	Lats2	3399	2.2261691093444824	0.13805959	No	
row_34	Gch1	3446	2.1725032329559326	0.13818464	No	
row_35	Plscr1	3484	2.133193254470825	0.13872243	No	
row_36	Ripk2	3531	2.0878396034240723	0.13875152	No	
row_37	Mvp	3562	2.0611867904663086	0.1395634	No	
row_38	P2ry14	3572	2.053988218307495	0.14143418	No	
row_39	Trim14	3643	1.986631989479065	0.14012903	No	
row_40	Irf9	3701	1.9317278861999512	0.13942222	No	
row_41	Cfh	3919	1.749658226966858	0.13037896	No	
row_42	Nlrc5	3932	1.736291527748108	0.13173722	No	
row_43	Rnf31	3933	1.736019492149353	0.13370493	No	
row_44	Lcp2	3969	1.70814847946167	0.13386258	No	
row_45	Parp12	4061	1.6228660345077515	0.13107805	No	
row_46	Adar	4245	1.4813213348388672	0.12345829	No	
row_47	Ripk1	4287	1.4522464275360107	0.123021014	No	
row_48	Ncoa3	4406	1.3524141311645508	0.11855798	No	
row_49	Tnfaip3	4409	1.350163459777832	0.11998671	No	
row_50	Rbck1	4492	1.2913060188293457	0.11728369	No	
row_51	Pml	4507	1.281024694442749	0.11802429	No	
row_52	Sod2	4650	1.1943820714950562	0.11216263	No	
row_53	Eif2ak2	4714	1.1560157537460327	0.1102717	No	
row_54	Ddx60	4967	0.9876581430435181	0.09858629	No	
row_55	Ifi27	5519	0.6200990676879883	0.07129118	No	
row_56	Oas3	5790	0.48546072840690613	0.058121916	No	
row_57	Stat1	5932	0.42113634943962097	0.05143462	No	
row_58	Ido1	5997	0.3971036672592163	0.04863269	No	
row_59	Samhd1	6324	0.25718554854393005	0.03235916	No	
row_60	Ogfr	6377	0.2324778288602829	0.029980386	No	
row_61	Bpgm	6392	0.228513702750206	0.029528014	No	
row_62	Cmklr1	6423	0.21387015283107758	0.028246038	No	
row_63	Stat4	6578	0.14861087501049042	0.020589279	No	
row_64	Cmtr1	6636	0.12234336137771606	0.017831609	No	
row_65	Trim21	6789	0.06983430683612823	0.010187185	No	
row_66	Batf2	6905	0.016026530414819717	0.004361855	No	
row_67	Casp7	6914	0.012324892915785313	0.0039693206	No	
row_68	Trim26	6973	-0.00907568447291851	0.001032453	No	
row_69	Nod1	6996	-0.018391843885183334	-6.458675E-5	No	
row_70	Irf7	7029	-0.029893720522522926	-0.0016567197	No	
row_71	Casp1	7265	-0.12189624458551407	-0.013459612	No	
row_72	Rigi	7275	-0.12619589269161224	-0.013773891	No	
row_73	St3gal5	7709	-0.28376656770706177	-0.035454284	No	
row_74	Il7	7749	-0.2951028645038605	-0.037101507	No	
row_75	Epsti1	8096	-0.41229724884033203	-0.054215487	No	
row_76	B2m	8288	-0.4768764078617096	-0.06338025	No	
row_77	Rapgef6	8392	-0.5100562572479248	-0.06803586	No	
row_78	Helz2	8754	-0.6230515837669373	-0.08567315	No	
row_79	Cd38	8811	-0.639693021774292	-0.08779362	No	
row_80	Gzma	8847	-0.6474089622497559	-0.088838264	No	
row_81	Fpr1	9158	-0.7221642136573792	-0.10377175	No	
row_82	Pnpt1	9462	-0.7940734624862671	-0.11826805	No	
row_83	Pde4b	9464	-0.7942121624946594	-0.117418654	No	
row_84	Stat2	9599	-0.8192725777626038	-0.12329899	No	
row_85	Fcgr1	10348	-0.9947535991668701	-0.1601796	No	
row_86	Ptpn2	10367	-0.9991809129714966	-0.15996172	No	
row_87	Sp110	10388	-1.004030466079712	-0.15983994	No	
row_88	Il6	10467	-1.0202358961105347	-0.16264696	No	
row_89	Znfx1	10621	-1.0545594692230225	-0.16922605	No	
row_90	Parp14	10723	-1.076404094696045	-0.17313811	No	
row_91	Apol6	10869	-1.1095037460327148	-0.17924842	No	
row_92	St8sia4	11305	-1.2182193994522095	-0.19997127	No	
row_93	Upp1	12001	-1.40090811252594	-0.23369844	No	
row_94	Cd274	12052	-1.4146637916564941	-0.23463564	No	
row_95	Oas2	12246	-1.4657427072525024	-0.24278119	No	
row_96	Samd9l	13043	-1.6754059791564941	-0.28132933	No	
row_97	Marchf1	13383	-1.7802259922027588	-0.29653713	No	
row_98	Fgl2	13435	-1.7945188283920288	-0.29709458	No	
row_99	Stat3	13686	-1.8709489107131958	-0.3076772	No	
row_100	Rtp4	13882	-1.9362198114395142	-0.31539112	No	
row_101	Selp	14065	-1.9976462125778198	-0.32237485	No	
row_102	Psmb8	14077	-2.0012216567993164	-0.32066548	No	
row_103	Rnf213	14456	-2.130650281906128	-0.3374578	No	
row_104	Psmb9	14485	-2.1402018070220947	-0.33645472	No	
row_105	Casp4	14585	-2.185791015625	-0.3390077	No	
row_106	Itgb7	14599	-2.1890578269958496	-0.33718708	No	
row_107	Isg15	14606	-2.1913979053497314	-0.3350081	No	
row_108	Bank1	14625	-2.200423002243042	-0.33342865	No	
row_109	Ifi44l	14758	-2.2555203437805176	-0.33757943	No	
row_110	Socs3	14880	-2.301631212234497	-0.34111902	No	
row_111	Nup93	14971	-2.34039044380188	-0.34303945	No	
row_112	Pim1	15020	-2.359020948410034	-0.3428046	No	
row_113	Cd69	15052	-2.3699512481689453	-0.34169358	No	
row_114	Xcl1	15287	-2.467752695083618	-0.35078675	No	
row_115	Gpr18	15397	-2.518779754638672	-0.3534704	No	
row_116	Pnp	15406	-2.521474838256836	-0.35101894	No	
row_117	Il15ra	15660	-2.649196147918701	-0.36087188	No	
row_118	Sspn	15816	-2.727795362472534	-0.36565605	No	
row_119	Dhx58	15984	-2.821742534637451	-0.37094352	No	
row_120	Cfb	16160	-2.922628164291382	-0.3765231	No	
row_121	Il2rb	16292	-3.009002208709717	-0.37976903	No	
row_122	Tdrd7	16524	-3.152306079864502	-0.38793382	No	
row_123	Hif1a	16654	-3.2572059631347656	-0.3907968	No	
row_124	Herc6	16665	-3.2663891315460205	-0.38760263	No	
row_125	Auts2	16791	-3.358769178390503	-0.3901472	No	
row_126	Sri	16857	-3.3985986709594727	-0.3895979	No	
row_127	Ifi44	16941	-3.4574203491210938	-0.38989654	No	
row_128	Ptpn6	17055	-3.545260190963745	-0.39162	No	
row_129	Bst2	17253	-3.699747085571289	-0.39743668	Yes	
row_130	Irf5	17315	-3.747495174407959	-0.39628863	Yes	
row_131	Cmpk2	17320	-3.749922752380371	-0.3922415	Yes	
row_132	Serping1	17336	-3.761812925338745	-0.38873985	Yes	
row_133	Isoc1	17398	-3.816746950149536	-0.3875133	Yes	
row_134	Mx2	17401	-3.8215723037719727	-0.38328335	Yes	
row_135	Ccl5	17611	-4.007039546966553	-0.38936147	Yes	
row_136	Lysmd2	17703	-4.085533618927002	-0.38935468	Yes	
row_137	Ifit3	17777	-4.159885883331299	-0.38834897	Yes	
row_138	Il10ra	17856	-4.235420227050781	-0.3875117	Yes	
row_139	Rsad2	17968	-4.384589672088623	-0.3881822	Yes	
row_140	C1s1	18007	-4.439273357391357	-0.38508138	Yes	
row_141	Oasl1	18009	-4.4418792724609375	-0.3800975	Yes	
row_142	Ifit2	18081	-4.531844615936279	-0.37856856	Yes	
row_143	Pfkp	18110	-4.578333854675293	-0.374802	Yes	
row_144	Gbp3	18112	-4.580242156982422	-0.3696613	Yes	
row_145	Il18bp	18144	-4.629433631896973	-0.36598924	Yes	
row_146	Ccl7	18218	-4.738234519958496	-0.364328	Yes	
row_147	Irf8	18541	-5.244755744934082	-0.37474507	Yes	
row_148	Cd86	18571	-5.311756610870361	-0.370198	Yes	
row_149	Psma3	18589	-5.350042819976807	-0.36499777	Yes	
row_150	Psma2	18595	-5.355583667755127	-0.35918152	Yes	
row_151	Nfkbia	18608	-5.399282455444336	-0.3536714	Yes	
row_152	Mthfd2	18733	-5.683691501617432	-0.35353	Yes	
row_153	Ptpn1	18841	-5.986649990081787	-0.35218138	Yes	
row_154	Tnfaip6	18955	-6.3615593910217285	-0.3507127	Yes	
row_155	Slamf7	18979	-6.454000473022461	-0.34456605	Yes	
row_156	Psmb2	18997	-6.525453090667725	-0.33803356	Yes	
row_157	Irf1	19030	-6.601602077484131	-0.33217692	Yes	
row_158	Eif4e3	19045	-6.684217929840088	-0.32531205	Yes	
row_159	Zbp1	19065	-6.742868423461914	-0.31863472	Yes	
row_160	Casp3	19120	-6.988710880279541	-0.31345722	Yes	
row_161	Nmi	19124	-6.995736122131348	-0.3056803	Yes	
row_162	Ptgs2	19253	-7.504251956939697	-0.3036786	Yes	
row_163	Icam1	19259	-7.548074722290039	-0.29537725	Yes	
row_164	Irf4	19268	-7.598274230957031	-0.28717142	Yes	
row_165	Pla2g4a	19417	-8.428446769714355	-0.28513846	Yes	
row_166	Ifi35	19440	-8.5697603225708	-0.2765429	Yes	
row_167	Xaf1	19466	-8.7514066696167	-0.26789388	Yes	
row_168	Il4ra	19507	-9.12149715423584	-0.25958756	Yes	
row_169	Psme2	19547	-9.616774559020996	-0.25066906	Yes	
row_170	Psme1	19616	-10.428208351135254	-0.24230441	Yes	
row_171	Usp18	19622	-10.55535888671875	-0.23059443	Yes	
row_172	Il15	19643	-10.948554039001465	-0.21920097	Yes	
row_173	Vcam1	19669	-11.325615882873535	-0.20763418	Yes	
row_174	Ube2l6	19671	-11.328532218933105	-0.19484459	Yes	
row_175	Socs1	19675	-11.35902214050293	-0.18212207	Yes	
row_176	Cxcl9	19710	-12.273396492004395	-0.16993833	Yes	
row_177	Fas	19724	-12.51281452178955	-0.15641615	Yes	
row_178	Ciita	19824	-16.17433738708496	-0.14311372	Yes	
row_179	Cd40	19825	-16.27777099609375	-0.124663554	Yes	
row_180	H2-DMa	19827	-16.694997787475586	-0.10579129	Yes	
row_181	Cd74	19839	-17.761625289916992	-0.086218186	Yes	
row_182	H2-Aa	19844	-18.347217559814453	-0.065625645	Yes	
row_183	Psmb10	19850	-19.22764778137207	-0.04408599	Yes	
row_184	Cxcl11	19851	-19.259920120239258	-0.022255687	Yes	
row_185	Cxcl10	19858	-20.217851638793945	3.55511E-4	Yes	
