NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Serpinb2	9	26.551998138427734	0.039326195	Yes	
row_1	Btg2	85	17.744779586791992	0.062101413	Yes	
row_2	Lypd3	132	15.810014724731445	0.083451815	Yes	
row_3	Krt5	140	15.59488582611084	0.10646229	Yes	
row_4	Sgk1	141	15.566119194030762	0.1297855	Yes	
row_5	Mfsd6	143	15.51816177368164	0.152986	Yes	
row_6	Tfcp2l1	149	15.387968063354492	0.1757881	Yes	
row_7	Scgb1a1	338	11.574297904968262	0.18357399	Yes	
row_8	Pkp1	382	11.147613525390625	0.19809107	Yes	
row_9	Celsr2	422	10.728684425354004	0.21218377	Yes	
row_10	Selenop	463	10.331591606140137	0.22563067	Yes	
row_11	Sidt1	497	10.073728561401367	0.23904702	Yes	
row_12	Fgfr3	709	8.504347801208496	0.241064	Yes	
row_13	Klhdc8a	723	8.441008567810059	0.2530506	Yes	
row_14	Tgm1	824	7.9042134284973145	0.25981063	Yes	
row_15	Htr1b	877	7.59028434753418	0.26854017	Yes	
row_16	Gp2	896	7.465322971343994	0.27881074	Yes	
row_17	Slc6a14	955	7.230058193206787	0.28669554	Yes	
row_18	Sphk2	1006	7.031397819519043	0.29468936	Yes	
row_19	Serpina10	1015	6.992406845092773	0.30475965	Yes	
row_20	Skil	1087	6.660006999969482	0.31112954	Yes	
row_21	Calm4	1127	6.506661415100098	0.31889623	Yes	
row_22	Camk1d	1389	5.584288597106934	0.31399643	Yes	
row_23	Krt4	1430	5.487198829650879	0.32018483	Yes	
row_24	Tcf7l1	1537	5.175558090209961	0.32255146	Yes	
row_25	Sptbn2	1582	5.039653301239014	0.32786596	Yes	
row_26	Cyp39a1	1648	4.872179985046387	0.33186206	Yes	
row_27	Klk8	1670	4.815213203430176	0.3380094	Yes	
row_28	Nr6a1	1793	4.545952320098877	0.33861935	Yes	
row_29	Mast3	1899	4.301297187805176	0.33972684	Yes	
row_30	Thrb	1906	4.296083450317383	0.3458588	Yes	
row_31	Krt1	2035	4.052263259887695	0.34542406	Yes	
row_32	Kmt2d	2066	3.990779399871826	0.34987864	Yes	
row_33	Tff2	2082	3.963907241821289	0.35505542	Yes	
row_34	Tlx1	2296	3.6035408973693848	0.34962767	Yes	
row_35	Pdk2	2298	3.6024556159973145	0.35497454	Yes	
row_36	Edar	2333	3.552795648574829	0.35856953	Yes	
row_37	Cldn8	2402	3.439730167388916	0.36026686	Yes	
row_38	Ybx2	2957	2.7111246585845947	0.33616862	No	
row_39	Mthfr	3103	2.5420939922332764	0.332607	No	
row_40	Capn9	3170	2.481370210647583	0.33297005	No	
row_41	Pax3	3359	2.266470193862915	0.32680973	No	
row_42	Tgfb2	3401	2.2254440784454346	0.32806012	No	
row_43	Hc	3421	2.2063446044921875	0.33040017	No	
row_44	Lgals7	3519	2.101853370666504	0.32861882	No	
row_45	Edn1	3571	2.0545687675476074	0.32910484	No	
row_46	Rgs11	3644	1.9864474534988403	0.32842138	No	
row_47	Atp6v1b1	3810	1.8460780382156372	0.32280028	No	
row_48	Nr4a2	3842	1.8205052614212036	0.32395223	No	
row_49	Cacng1	3974	1.7032519578933716	0.3198454	No	
row_50	Cpeb3	4024	1.6507209539413452	0.319828	No	
row_51	Plag1	4118	1.5795923471450806	0.31746745	No	
row_52	Ptprj	4369	1.3849200010299683	0.30683476	No	
row_53	P2ry4	4521	1.2753316164016724	0.30107012	No	
row_54	Abcg4	4529	1.2709299325942993	0.3026186	No	
row_55	Msh5	4615	1.2166709899902344	0.30012092	No	
row_56	Slc25a23	4738	1.1386703252792358	0.29562563	No	
row_57	Asb7	4756	1.126487135887146	0.29644936	No	
row_58	Krt15	4771	1.1161366701126099	0.29741007	No	
row_59	Edn2	5053	0.9272556900978088	0.28451586	No	
row_60	Prkn	5098	0.8923898935317993	0.2836164	No	
row_61	Idua	5167	0.8362399935722351	0.28141284	No	
row_62	Slc12a3	5334	0.7338756918907166	0.27407447	No	
row_63	Egf	5339	0.7302246689796448	0.27496526	No	
row_64	Grid2	5396	0.6983761191368103	0.2731651	No	
row_65	Klk7	5400	0.6971298456192017	0.27405715	No	
row_66	Ypel1	5895	0.4385245740413666	0.24960364	No	
row_67	Synpo	6118	0.3496687710285187	0.23884307	No	
row_68	Zc2hc1c	6404	0.22313453257083893	0.22469054	No	
row_69	Itgb1bp2	6412	0.21883712708950043	0.22466262	No	
row_70	Ptgfr	6475	0.1935838907957077	0.22180113	No	
row_71	Oxt	6628	0.12707176804542542	0.21426521	No	
row_72	Gprc5c	6684	0.1073971539735794	0.21163042	No	
row_73	Slc16a7	6744	0.08531088382005692	0.2087592	No	
row_74	Alox12b	6773	0.07672730088233948	0.2074509	No	
row_75	Cd40lg	7036	-0.03236834332346916	0.19418165	No	
row_76	Htr1d	7130	-0.06859569996595383	0.18955714	No	
row_77	Insl5	7168	-0.08765950053930283	0.18780772	No	
row_78	Prop1	7786	-0.30808141827583313	0.15690656	No	
row_79	Brdt	7973	-0.3730228841304779	0.14801088	No	
row_80	Slc5a5	8203	-0.4490548074245453	0.1370434	No	
row_81	Gpr19	8216	-0.4547674357891083	0.13711482	No	
row_82	Slc29a3	8358	-0.5010826587677002	0.13069843	No	
row_83	Epha5	8425	-0.5204697251319885	0.1281234	No	
row_84	Mefv	8575	-0.5691201090812683	0.1214023	No	
row_85	Kcnd1	8589	-0.5743899941444397	0.121602125	No	
row_86	Fshb	8603	-0.5782907009124756	0.12180779	No	
row_87	Wnt16	8783	-0.6299299001693726	0.11365287	No	
row_88	Pcdhb1	8904	-0.6629284620285034	0.10854643	No	
row_89	Clps	9015	-0.6886851191520691	0.10398689	No	
row_90	Dtnb	9043	-0.6954862475395203	0.103656515	No	
row_91	Ribc2	9358	-0.7668392062187195	0.08884453	No	
row_92	Slc38a3	9485	-0.7973721027374268	0.08363454	No	
row_93	Tcl1	9694	-0.8437128663063049	0.07432584	No	
row_94	Irs4	9727	-0.8498761653900146	0.073972635	No	
row_95	Gp1ba	9876	-0.8817335963249207	0.067770764	No	
row_96	Efhd1	9981	-0.9046905636787415	0.06383986	No	
row_97	Krt13	10044	-0.9226518869400024	0.06207077	No	
row_98	Gdnf	10158	-0.9527658820152283	0.057754412	No	
row_99	Vps50	10193	-0.9595377445220947	0.057463862	No	
row_100	Cdkal1	10319	-0.9899609684944153	0.052593265	No	
row_101	Fgf22	10515	-1.0309836864471436	0.044225957	No	
row_102	Lfng	10664	-1.0632466077804565	0.03829605	No	
row_103	Cyp11b2	10667	-1.0642222166061401	0.039788947	No	
row_104	Ccdc106	10714	-1.074362874031067	0.039060466	No	
row_105	Pdcd1	10742	-1.0818778276443481	0.03930904	No	
row_106	Gtf3c5	10776	-1.089020013809204	0.039263323	No	
row_107	Copz2	11230	-1.2014107704162598	0.018036952	No	
row_108	Magix	11344	-1.2263628244400024	0.014130537	No	
row_109	Nos1	11389	-1.2379382848739624	0.013748811	No	
row_110	Myo15a	11411	-1.24424147605896	0.014545643	No	
row_111	Pde6b	11483	-1.2620792388916016	0.012827648	No	
row_112	Fggy	11485	-1.2626579999923706	0.014668696	No	
row_113	Ccr8	11673	-1.3109182119369507	0.0071274717	No	
row_114	Cldn16	11756	-1.333475947380066	0.0049573104	No	
row_115	Stag3	11809	-1.3495006561279297	0.004336092	No	
row_116	Adra2c	11813	-1.3515735864639282	0.0062087034	No	
row_117	Gamt	11856	-1.3624799251556396	0.0061152433	No	
row_118	Ambn	12004	-1.4016128778457642	7.431532E-4	No	
row_119	Gpr3	12403	-1.5086041688919067	-0.017227232	No	
row_120	Cpb1	12519	-1.5364161729812622	-0.020770747	No	
row_121	Ntf3	12640	-1.5677582025527954	-0.024521457	No	
row_122	Il12b	12713	-1.5890024900436401	-0.025800444	No	
row_123	P2rx6	13313	-1.7575139999389648	-0.05361493	No	
row_124	Fgf16	13657	-1.8620493412017822	-0.06826003	No	
row_125	Zbtb16	13673	-1.8675391674041748	-0.0662243	No	
row_126	Cacna1f	14058	-1.9949414730072021	-0.08275436	No	
row_127	Ifng	14087	-2.005629777908325	-0.081172526	No	
row_128	Hsd11b2	14134	-2.0215959548950195	-0.08048174	No	
row_129	Kcnmb1	14139	-2.022388458251953	-0.07765485	No	
row_130	Ccna1	14216	-2.0485167503356934	-0.07844866	No	
row_131	Pax4	14379	-2.099867582321167	-0.083537005	No	
row_132	Scn10a	14383	-2.100844621658325	-0.08054174	No	
row_133	Nrip2	14416	-2.1148221492767334	-0.07899963	No	
row_134	Actc1	14450	-2.128380060195923	-0.077488035	No	
row_135	Ryr1	14551	-2.171010971069336	-0.079318255	No	
row_136	Entpd7	14620	-2.1983799934387207	-0.079480864	No	
row_137	Kcnn1	14637	-2.206444263458252	-0.07698818	No	
row_138	Kcne2	14696	-2.23103666305542	-0.076593556	No	
row_139	Myh7	14703	-2.2338128089904785	-0.07355155	No	
row_140	Smpx	14717	-2.238063097000122	-0.07085899	No	
row_141	Ifi44l	14758	-2.2555203437805176	-0.069512725	No	
row_142	Sprr3	14803	-2.2730705738067627	-0.068343475	No	
row_143	Sox10	14894	-2.3085403442382812	-0.06945932	No	
row_144	Clstn3	14937	-2.328463077545166	-0.068105415	No	
row_145	Zfp112	15136	-2.403508424758911	-0.07456872	No	
row_146	Slc30a3	15368	-2.504918336868286	-0.08255751	No	
row_147	Tas2r108	15374	-2.508634567260742	-0.079052895	No	
row_148	Cpa2	15614	-2.621638059616089	-0.08727345	No	
row_149	Slc6a3	15784	-2.7117364406585693	-0.091800824	No	
row_150	Ngb	16063	-2.8700456619262695	-0.10163159	No	
row_151	Tex15	16106	-2.8906936645507812	-0.09943528	No	
row_152	Pnmt	16179	-2.9300074577331543	-0.09870499	No	
row_153	Shox2	16215	-2.955505847930908	-0.09605576	No	
row_154	Col2a1	16358	-3.0493898391723633	-0.09870478	No	
row_155	Dcc	16363	-3.0530412197113037	-0.094333634	No	
row_156	Bmpr1b	16364	-3.053157329559326	-0.089759	No	
row_157	Tg	16445	-3.111027479171753	-0.08916414	No	
row_158	Ryr2	16472	-3.1226768493652344	-0.08580694	No	
row_159	Tshb	16479	-3.127190351486206	-0.08142636	No	
row_160	Cd207	16584	-3.210202693939209	-0.08190285	No	
row_161	Abcb11	16827	-3.3772168159484863	-0.08914378	No	
row_162	Tnni3	16877	-3.4090757369995117	-0.08652659	No	
row_163	Bard1	16957	-3.471266984939575	-0.08534113	No	
row_164	Il5	17005	-3.5054752826690674	-0.08247783	No	
row_165	Cntfr	17115	-3.5911669731140137	-0.08263767	No	
row_166	Ckm	17184	-3.6539461612701416	-0.08061936	No	
row_167	Tent5c	17198	-3.6662371158599854	-0.075786926	No	
row_168	Arpp21	17222	-3.6770832538604736	-0.07144655	No	
row_169	Arhgdig	17274	-3.717639446258545	-0.06846869	No	
row_170	Mx2	17401	-3.8215723037719727	-0.06914742	No	
row_171	Coq8a	17409	-3.82742977142334	-0.06376849	No	
row_172	Kcnq2	17479	-3.883852481842041	-0.061456535	No	
row_173	Myot	17749	-4.12956428527832	-0.06894264	No	
row_174	Dlk2	17771	-4.149694442749023	-0.06379248	No	
row_175	Macroh2a2	17817	-4.188321590423584	-0.05980439	No	
row_176	Rsad2	17968	-4.384589672088623	-0.06085949	No	
row_177	Chrng	18021	-4.452366828918457	-0.056831587	No	
row_178	Itih3	18061	-4.501584529876709	-0.05206914	No	
row_179	Cd80	18146	-4.638335704803467	-0.049389187	No	
row_180	Cdh16	18152	-4.647660255432129	-0.042679608	No	
row_181	Tenm2	18251	-4.785299777984619	-0.040491093	No	
row_182	Thnsl2	18322	-4.900191307067871	-0.036707163	No	
row_183	Atp4a	18331	-4.909097194671631	-0.02975836	No	
row_184	Tfap2b	18432	-5.083971977233887	-0.027223997	No	
row_185	Prodh	18487	-5.169706344604492	-0.022222945	No	
row_186	Igfbp2	18510	-5.200329303741455	-0.015549416	No	
row_187	Nphs1	19057	-6.716921329498291	-0.033239022	No	
row_188	Chst2	19304	-7.739045143127441	-0.034147818	No	
row_189	Sncb	19469	-8.773088455200195	-0.029339127	No	
row_190	Snn	19500	-9.030611991882324	-0.017333217	No	
row_191	Hnf1a	19698	-11.833852767944336	-0.009615915	No	
row_192	Calcb	19703	-12.049283027648926	0.008234572	No	
