NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pcbp1	899	7.456522464752197	-0.03619806	No	
row_1	Hdgf	1068	6.751560211181641	-0.03614835	No	
row_2	Fam120a	1414	5.5090012550354	-0.04667277	No	
row_3	Vdac1	1416	5.508527755737305	-0.03971811	No	
row_4	Etf1	1485	5.310151100158691	-0.03642021	No	
row_5	Ifrd1	1718	4.672275066375732	-0.042266864	No	
row_6	Psmd3	1885	4.335042953491211	-0.045188732	No	
row_7	Ldha	2424	3.4034323692321777	-0.06819782	No	
row_8	Psmd8	2427	3.3979718685150146	-0.06397807	No	
row_9	Psmd1	2573	3.1832115650177	-0.06729771	No	
row_10	Ap3s1	2670	3.0588231086730957	-0.0682857	No	
row_11	Hnrnpu	3124	2.520869255065918	-0.08809808	No	
row_12	Kpnb1	3697	1.9393703937530518	-0.114696726	No	
row_13	Nhp2	3787	1.8658455610275269	-0.11684619	No	
row_14	Got2	3909	1.7562333345413208	-0.120761074	No	
row_15	Rad23b	4058	1.6257237195968628	-0.1262139	No	
row_16	Xpot	4195	1.5219937562942505	-0.13118885	No	
row_17	Tardbp	4308	1.4352391958236694	-0.13505465	No	
row_18	Cul1	4354	1.4025357961654663	-0.13555756	No	
row_19	Rrm1	4420	1.3410087823867798	-0.13715498	No	
row_20	Dhx15	4773	1.114654779434204	-0.1536236	No	
row_21	Smarcc1	4888	1.046160340309143	-0.15808582	No	
row_22	Eif3b	5092	0.8989369869232178	-0.16725764	No	
row_23	Hnrnpc	5111	0.8754433989524841	-0.16705893	No	
row_24	Cdk2	5123	0.8662014007568359	-0.16651629	No	
row_25	Cyc1	5428	0.6812259554862976	-0.18109709	No	
row_26	Cox5a	5645	0.5577568411827087	-0.19136338	No	
row_27	Sf3a1	6005	0.392952561378479	-0.2091055	No	
row_28	Eif2s2	6028	0.38729268312454224	-0.20973085	No	
row_29	Eif4a1	6134	0.34228765964508057	-0.21463092	No	
row_30	Ywhaq	6276	0.27600541710853577	-0.22144453	No	
row_31	Ncbp1	6278	0.2750729024410248	-0.22114553	No	
row_32	G3bp1	6360	0.24147744476795197	-0.22495428	No	
row_33	Pabpc1	6438	0.20879583060741425	-0.22860135	No	
row_34	Prps2	6644	0.11922885477542877	-0.23886639	No	
row_35	Stard7	6761	0.0790126696228981	-0.24466021	No	
row_36	Xrcc6	7229	-0.10835772007703781	-0.26825207	No	
row_37	Myc	7401	-0.1766592115163803	-0.27671644	No	
row_38	Mcm7	7617	-0.24857144057750702	-0.2873251	No	
row_39	Psmc6	8111	-0.4178158640861511	-0.31184456	No	
row_40	Cstf2	8385	-0.5078157782554626	-0.3250707	No	
row_41	Dek	8453	-0.5300893187522888	-0.32780102	No	
row_42	Hsp90ab1	8511	-0.5496398210525513	-0.32999837	No	
row_43	Exosc7	8590	-0.5744070410728455	-0.33323127	No	
row_44	Pcna	8631	-0.5865592956542969	-0.33451784	No	
row_45	Ppm1g	9060	-0.6989493370056152	-0.35537693	No	
row_46	H2az1	9235	-0.7383114695549011	-0.36327943	No	
row_47	Uba2	9380	-0.7725123167037964	-0.36961406	No	
row_48	Psmb3	9496	-0.7997050285339355	-0.37444055	No	
row_49	Eif4g2	9937	-0.8942964673042297	-0.39566094	No	
row_50	Glo1	10027	-0.9175693988800049	-0.39901638	No	
row_51	Hnrnpr	10070	-0.9295045733451843	-0.39996845	No	
row_52	Lsm2	10226	-0.9658775925636292	-0.4066161	No	
row_53	Slc25a3	10227	-0.9661789536476135	-0.40538734	No	
row_54	Syncrip	10817	-1.0986526012420654	-0.433919	No	
row_55	Acp1	10917	-1.121029257774353	-0.4375238	No	
row_56	Hnrnpa3	11028	-1.1490353345870972	-0.44165197	No	
