NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Acsl1	25	22.899417877197266	0.024858527	No	
row_1	Klf5	30	21.997848510742188	0.049756084	No	
row_2	Gsn	41	20.66396141052246	0.07282651	No	
row_3	Ablim1	60	19.07737922668457	0.09367977	No	
row_4	Cdkn1a	66	18.687726974487305	0.114749424	No	
row_5	Plxnb2	76	18.17531394958496	0.135031	No	
row_6	Clu	101	16.977375030517578	0.15318294	No	
row_7	Slc6a8	162	14.930293083190918	0.16716856	No	
row_8	Erbb3	223	13.537800788879395	0.17956525	No	
row_9	Nav2	260	12.788390159606934	0.19232714	No	
row_10	Bag1	303	12.058844566345215	0.2039515	No	
row_11	Vipr1	345	11.444692611694336	0.2149259	No	
row_12	Pcx	414	10.764660835266113	0.2237515	No	
row_13	Notch1	662	8.827971458435059	0.22126566	No	
row_14	Hdac5	688	8.650105476379395	0.22986482	No	
row_15	Hbegf	811	7.96290922164917	0.23274772	No	
row_16	Kifc3	1060	6.787728309631348	0.227883	No	
row_17	Hspb8	1076	6.729776859283447	0.2347994	No	
row_18	Atp6ap1	1180	6.330105781555176	0.23678525	No	
row_19	Spdef	1266	6.011482238769531	0.23932278	No	
row_20	Smtn	1400	5.554446220397949	0.23889816	No	
row_21	Rb1	1566	5.097423553466797	0.23632495	No	
row_22	Ephb3	1574	5.074691295623779	0.24175957	No	
row_23	Myl7	1598	4.99681282043457	0.24629177	No	
row_24	Ifrd1	1718	4.672275066375732	0.24557239	No	
row_25	Mef2d	1761	4.603144645690918	0.24868932	No	
row_26	Tsc2	1773	4.5838775634765625	0.2533605	No	
row_27	Mapk12	1927	4.254877090454102	0.25043607	No	
row_28	Flii	2031	4.05735445022583	0.24982856	No	
row_29	Sphk1	2246	3.671902894973755	0.24313726	No	
row_30	Mybph	2304	3.593676805496216	0.24433962	No	
row_31	Akt2	2347	3.5395126342773438	0.24624287	No	
row_32	Crat	2404	3.437730073928833	0.24731813	No	
row_33	Myo1c	2565	3.19104266166687	0.24282385	No	
row_34	Cryab	2653	3.0818984508514404	0.24191685	No	
row_35	App	2695	3.0279364585876465	0.2432872	No	
row_36	Sptan1	3056	2.606821060180664	0.22795698	No	
row_37	Foxo4	3086	2.5632128715515137	0.22940722	No	
row_38	Ppfia4	3128	2.519383668899536	0.23019728	No	
row_39	Sirt2	3300	2.3306996822357178	0.22416198	No	
row_40	Large1	3333	2.2896251678466797	0.2251475	No	
row_41	Dennd2b	3799	1.8556925058364868	0.2036213	No	
row_42	Cacng1	3974	1.7032519578933716	0.19671752	No	
row_43	Sh2b1	4076	1.605765461921692	0.19341429	No	
row_44	Myh9	4157	1.5468794107437134	0.19111165	No	
row_45	Efs	4246	1.4813114404678345	0.18832742	No	
row_46	Pgam2	4273	1.4615586996078491	0.18867314	No	
row_47	Psen2	4430	1.3302768468856812	0.182259	No	
row_48	Fhl1	4522	1.274078369140625	0.17908576	No	
row_49	Pfkm	5238	0.7906954288482666	0.14363268	No	
row_50	Ak1	5282	0.7660468816757202	0.14232038	No	
row_51	Rit1	5283	0.7655240893363953	0.1431939	No	
row_52	Hspb2	5320	0.7449594736099243	0.14221346	No	
row_53	Svil	5388	0.7002583146095276	0.13960578	No	
row_54	Ocel1	5421	0.6848472356796265	0.13876015	No	
row_55	Dmd	5431	0.6801407933235168	0.1390786	No	
row_56	Chrnb1	5614	0.5737899541854858	0.13047926	No	
row_57	Casq1	6189	0.31477436423301697	0.10165249	No	
row_58	Sorbs1	6298	0.2684391140937805	0.09646737	No	
row_59	Ptp4a3	6389	0.22914932668209076	0.09215265	No	
row_60	Lpin1	6504	0.18233302235603333	0.08656418	No	
row_61	Sorbs3	6553	0.15965652465820312	0.084305726	No	
row_62	Cox7a1	6716	0.09682711213827133	0.076179065	No	
row_63	Tcap	6821	0.0567840151488781	0.07095581	No	
row_64	Gpx3	6856	0.038878992199897766	0.06927139	No	
row_65	Casq2	6863	0.035217806696891785	0.069006495	No	
row_66	Cav3	6867	0.03330513834953308	0.068891965	No	
row_67	Ppp1r3c	7028	-0.029603933915495872	0.060790285	No	
row_68	Cdh13	7241	-0.11166344583034515	0.050138224	No	
row_69	Pick1	7325	-0.14444665610790253	0.04608278	No	
row_70	Tead4	7358	-0.1587909460067749	0.04463688	No	
row_71	Hrc	7667	-0.2703651189804077	0.02928463	No	
row_72	Gabarapl2	8079	-0.40782493352890015	0.008852034	No	
row_73	Tnni2	8303	-0.4837328791618347	-0.0019347876	No	
row_74	Fxyd1	8330	-0.49401068687438965	-0.0026931015	No	
row_75	Tpd52l1	8377	-0.5052633881568909	-0.0044555073	No	
row_76	Fgf2	8869	-0.6517305970191956	-0.02867752	No	
row_77	Tpm3	8923	-0.6679205298423767	-0.03061025	No	
row_78	Adcy9	9125	-0.7139225006103516	-0.040015783	No	
row_79	Agl	10223	-0.9652319550514221	-0.09469311	No	
row_80	Pygm	10337	-0.9933909773826599	-0.09930525	No	
row_81	Myh8	10679	-1.0672755241394043	-0.115426116	No	
row_82	Dtna	10711	-1.0739140510559082	-0.115776956	No	
row_83	Acta1	10731	-1.0780569314956665	-0.11551291	No	
row_84	Sh3bgr	10795	-1.093606948852539	-0.117468365	No	
row_85	Fkbp1b	10871	-1.1099568605422974	-0.12001533	No	
row_86	Mb	10894	-1.115401029586792	-0.119861215	No	
row_87	Wwtr1	10944	-1.1280773878097534	-0.12106549	No	
row_88	Tnnc2	11168	-1.1836357116699219	-0.13105367	No	
row_89	Cfd	11223	-1.1985161304473877	-0.1324318	No	
row_90	Ckmt2	11336	-1.2250964641571045	-0.13672872	No	
row_91	Nos1	11389	-1.2379382848739624	-0.13796017	No	
row_92	Sod3	11528	-1.2743985652923584	-0.14352283	No	
row_93	Myom1	11773	-1.3376401662826538	-0.15440308	No	
row_94	Mapre3	11888	-1.3722888231277466	-0.15863371	No	
row_95	Mef2c	11894	-1.3730801343917847	-0.15732117	No	
row_96	Gja5	11915	-1.378982424736023	-0.1567646	No	
row_97	Myh4	12510	-1.534224510192871	-0.18521683	No	
row_98	Ptgis	12622	-1.5621143579483032	-0.18907833	No	
row_99	Aplnr	12807	-1.6173088550567627	-0.19658865	No	
row_100	Cd36	12880	-1.6355233192443848	-0.19838338	No	
row_101	Myog	13057	-1.6807233095169067	-0.20541456	No	
row_102	Sln	13346	-1.7686548233032227	-0.21804023	No	
row_103	Itgb5	13748	-1.8935415744781494	-0.23626907	No	
row_104	Gnao1	13834	-1.9223073720932007	-0.23839755	No	
