NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hes1	50	19.82765769958496	0.14365149	Yes	
row_1	Jag1	169	14.787834167480469	0.2467202	Yes	
row_2	Notch1	662	8.827971458435059	0.2869954	Yes	
row_3	Notch2	678	8.732166290283203	0.35061395	Yes	
row_4	Notch3	771	8.18657398223877	0.40632808	Yes	
row_5	Heyl	897	7.461670875549316	0.4550343	Yes	
row_6	Ppard	1246	6.089646339416504	0.48238245	Yes	
row_7	Fzd7	1545	5.161101341247559	0.50540614	Yes	
row_8	Fbxw11	1942	4.221346855163574	0.5165608	Yes	
row_9	Aph1a	1992	4.13474702835083	0.54457223	Yes	
row_10	Maml2	2179	3.7850308418273926	0.56309825	Yes	
row_11	Psenen	2952	2.715151786804199	0.54419166	No	
row_12	Fzd5	3117	2.5254998207092285	0.5545414	No	
row_13	Fzd1	4087	1.6007297039031982	0.5174867	No	
row_14	Sap30	4241	1.4830667972564697	0.52070606	No	
row_15	Cul1	4354	1.4025357961654663	0.5253989	No	
row_16	Psen2	4430	1.3302768468856812	0.5314245	No	
row_17	St3gal6	5069	0.9136494398117065	0.50599307	No	
row_18	Tcf7l2	6912	0.013131932355463505	0.41321906	No	
row_19	Rbx1	7041	-0.03360618278384209	0.40701327	No	
row_20	Dtx2	7529	-0.21916216611862183	0.38407516	No	
row_21	Skp1	7902	-0.34363484382629395	0.3678528	No	
row_22	Dtx4	8636	-0.5873503684997559	0.33522612	No	
row_23	Lfng	10664	-1.0632466077804565	0.24086627	No	
row_24	Wnt5a	10862	-1.1079425811767578	0.23910175	No	
row_25	Dll1	14168	-2.034499406814575	0.087467335	No	
row_26	Dtx1	16430	-3.092987537384033	-0.0037268728	No	
row_27	Wnt2	16831	-3.3781960010528564	0.0010102969	No	
row_28	Arrb1	17434	-3.845780372619629	-9.899642E-4	No	
row_29	Ccnd1	18499	-5.183278560638428	-0.016423324	No	
row_30	Prkca	18739	-5.711997032165527	0.013636343	No	
row_31	Kat2a	18787	-5.844231605529785	0.05435121	No	
