NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Perp	11	25.8144474029541	0.021452364	Yes	
row_1	Cdkn2a	22	23.45915412902832	0.04094724	Yes	
row_2	Sfn	29	22.026546478271484	0.05942393	Yes	
row_3	Sdc1	33	21.571212768554688	0.0776649	Yes	
row_4	Nupr1	37	20.805721282958984	0.09525313	Yes	
row_5	Cdkn2b	46	20.12081527709961	0.11200314	Yes	
row_6	Gm2a	62	18.906160354614258	0.12736152	Yes	
row_7	Cdkn1a	66	18.687726974487305	0.14314377	Yes	
row_8	Ctsd	73	18.27267074584961	0.15841958	Yes	
row_9	Plxnb2	76	18.17531394958496	0.17381576	Yes	
row_10	Ldhb	78	18.11212730407715	0.18920888	Yes	
row_11	Klf4	81	17.999643325805664	0.20445526	Yes	
row_12	Btg2	85	17.744779586791992	0.21943347	Yes	
row_13	Btg1	103	16.931699752807617	0.23300657	Yes	
row_14	Tsc22d1	107	16.656335830688477	0.24705668	Yes	
row_15	Sat1	117	16.349388122558594	0.26054	Yes	
row_16	Ephx1	134	15.748855590820312	0.27315533	Yes	
row_17	Cebpa	135	15.748456001281738	0.28658384	Yes	
row_18	Fos	163	14.918479919433594	0.29793185	Yes	
row_19	Txnip	185	14.357588768005371	0.30910668	Yes	
row_20	Pmm1	221	13.582252502441406	0.31890854	Yes	
row_21	Gpx2	232	13.316388130187988	0.3297548	Yes	
row_22	Hras	254	12.870853424072266	0.3396619	Yes	
row_23	Tob1	256	12.856803894042969	0.3505739	Yes	
row_24	H2aj	278	12.470394134521484	0.36013952	Yes	
row_25	Tcn2	282	12.411432266235352	0.37057003	Yes	
row_26	Tchh	299	12.134381294250488	0.38010338	Yes	
row_27	Aen	380	11.15407657623291	0.38554677	Yes	
row_28	Prkab1	409	10.818246841430664	0.39334774	Yes	
row_29	Jun	412	10.78770923614502	0.4024446	Yes	
row_30	Phlda3	444	10.53378963470459	0.40985045	Yes	
row_31	Vamp8	450	10.462156295776367	0.41851717	Yes	
row_32	Osgin1	505	10.034128189086914	0.42432758	Yes	
row_33	Fuca1	514	9.960614204406738	0.4324141	Yes	
row_34	Zfp36l1	530	9.83210563659668	0.44003516	Yes	
row_35	Slc7a11	611	9.103018760681152	0.44372967	Yes	
row_36	Ddit4	625	9.041611671447754	0.45077837	Yes	
row_37	Notch1	662	8.827971458435059	0.45647547	Yes	
row_38	Ccng1	687	8.650167465209961	0.4626311	Yes	
row_39	Baiap2	715	8.481268882751465	0.46849018	Yes	
row_40	Atf3	722	8.443005561828613	0.47538435	Yes	
row_41	Rxra	728	8.420082092285156	0.48230985	Yes	
row_42	Def6	733	8.399009704589844	0.48926818	Yes	
row_43	Tgfa	738	8.360349655151367	0.4961936	Yes	
row_44	Ier5	800	8.031102180480957	0.4999401	Yes	
row_45	Hbegf	811	7.96290922164917	0.50622153	Yes	
row_46	Plk3	827	7.880591869354248	0.51217854	Yes	
row_47	Serpinb5	889	7.503174304962158	0.5154749	Yes	
row_48	Rab40c	928	7.331644058227539	0.51979446	Yes	
row_49	Mxd4	958	7.2257080078125	0.52448124	Yes	
row_50	Ei24	999	7.043798446655273	0.52845365	Yes	
row_51	Tax1bp3	1009	7.0079450607299805	0.5339716	Yes	
row_52	Dcxr	1073	6.742030143737793	0.5365173	Yes	
row_53	Abhd4	1083	6.692106246948242	0.541766	Yes	
row_54	Foxo3	1113	6.5621418952941895	0.54588693	Yes	
row_55	Acvr1b	1203	6.197218894958496	0.5466461	Yes	
row_56	H1f2	1232	6.122146129608154	0.55044276	Yes	
row_57	Tap1	1233	6.116086006164551	0.55565786	Yes	
row_58	St14	1488	5.299537658691406	0.5472624	Yes	
row_59	Clca2	1565	5.1044440269470215	0.5477507	Yes	
row_60	Rb1	1566	5.097423553466797	0.5520972	Yes	
row_61	Mdm2	1589	5.0130228996276855	0.5552532	Yes	
row_62	Hexim1	1603	4.986170291900635	0.55884385	Yes	
row_63	Stom	1656	4.848098278045654	0.56033385	Yes	
row_64	Klk8	1670	4.815213203430176	0.56377876	Yes	
row_65	Fbxw7	1833	4.468594551086426	0.55935234	Yes	
row_66	Sp1	1846	4.43648624420166	0.56252515	Yes	
row_67	Mxd1	1870	4.387633323669434	0.56509703	Yes	
row_68	Rhbdf2	1941	4.222989082336426	0.5651388	Yes	
row_69	Epha2	2100	3.9281373023986816	0.56045496	No	
row_70	Sphk1	2246	3.671902894973755	0.55621356	No	
row_71	Dgka	2269	3.642496109008789	0.5582009	No	
row_72	Ccnd3	2480	3.328571319580078	0.5503619	No	
row_73	Traf4	2485	3.324859857559204	0.5529936	No	
row_74	App	2695	3.0279364585876465	0.54494905	No	
row_75	Cyfip2	2811	2.8825831413269043	0.54155993	No	
row_76	Eps8l2	2831	2.8568522930145264	0.5430299	No	
row_77	Ercc5	3014	2.645941734313965	0.53603244	No	
row_78	Tm4sf1	3036	2.630464792251587	0.5372077	No	
row_79	Trafd1	3077	2.5789222717285156	0.53737295	No	
row_80	Sertad3	3105	2.53460693359375	0.5381614	No	
row_81	Ier3	3125	2.520827293395996	0.53934485	No	
row_82	Blcap	3227	2.4143316745758057	0.53626823	No	
row_83	Ppm1d	3265	2.3724019527435303	0.53641	No	
row_84	Sec61a1	3290	2.345428943634033	0.5371896	No	
row_85	Retsat	3342	2.2829086780548096	0.5365432	No	
row_86	Zmat3	3360	2.2634027004241943	0.5376088	No	
row_87	Vdr	3370	2.252634048461914	0.539072	No	
row_88	Fdxr	3434	2.186830759048462	0.5377335	No	
