NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Syt13	1034	6.904435157775879	0.001117584	No	
row_1	Iapp	1094	6.628469467163086	0.04928142	No	
row_2	Pak3	1105	6.584939002990723	0.09958079	No	
row_3	Dpp4	1237	6.105623245239258	0.14007938	No	
row_4	Gck	1683	4.789367198944092	0.15458588	No	
row_5	Akt3	2540	3.2290568351745605	0.13632506	No	
row_6	Vdr	3370	2.252634048461914	0.111892775	No	
row_7	Foxa2	3419	2.209211826324463	0.12651621	No	
row_8	Foxo1	3944	1.7278331518173218	0.11341808	No	
row_9	Mafb	4426	1.3338217735290527	0.09944886	No	
row_10	Abcc8	4901	1.0354613065719604	0.08353079	No	
row_11	Pax6	4916	1.0238370895385742	0.09072373	No	
row_12	Srprb	5556	0.6005628108978271	0.06312838	No	
row_13	Nkx6-1	6932	0.0036391790490597486	-0.0061934176	No	
row_14	Spcs1	7664	-0.2696947157382965	-0.0409816	No	
row_15	Neurod1	9745	-0.8543527722358704	-0.13929759	No	
row_16	Slc2a2	11362	-1.2321833372116089	-0.21129614	No	
row_17	Nkx2-2	12230	-1.4584097862243652	-0.24377255	No	
row_18	Elp4	13238	-1.7372465133666992	-0.28115878	No	
row_19	Ins2	13528	-1.8211231231689453	-0.28168464	Yes	
row_20	Pcsk1	13564	-1.833924651145935	-0.26930094	Yes	
row_21	Srp14	13653	-1.8604825735092163	-0.25938544	Yes	
row_22	Neurog3	13731	-1.8892991542816162	-0.24869281	Yes	
row_23	Sst	13762	-1.8978203535079956	-0.23556395	Yes	
row_24	G6pc2	13905	-1.9458783864974976	-0.22771318	Yes	
row_25	Pdx1	14359	-2.0905866622924805	-0.23443164	Yes	
row_26	Pax4	14379	-2.099867582321167	-0.21918915	Yes	
row_27	Dcx	14503	-2.1503489017486572	-0.20880257	Yes	
row_28	Isl1	15178	-2.4254305362701416	-0.22408408	Yes	
row_29	Scgn	16143	-2.915830135345459	-0.25020862	Yes	
row_30	Gcg	16305	-3.016153573989868	-0.2350588	Yes	
row_31	Pklr	16537	-3.164348840713501	-0.22229618	Yes	
row_32	Lmo2	17704	-4.085622310638428	-0.24958374	Yes	
row_33	Pcsk2	17715	-4.0999345779418945	-0.21845652	Yes	
row_34	Stxbp1	18271	-4.80487585067749	-0.20937836	Yes	
row_35	Chga	18980	-6.45721435546875	-0.19526893	Yes	
row_36	Sec11a	19133	-7.0213470458984375	-0.14876455	Yes	
row_37	Hnf1a	19698	-11.833852767944336	-0.085910775	Yes	
row_38	Insm1	19707	-12.22054672241211	0.0079689715	Yes	
