NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Acsl1	25	22.899417877197266	0.049255982	Yes	
row_1	Prdx5	32	21.782814025878906	0.0970098	Yes	
row_2	Idh1	54	19.396425247192383	0.13873984	Yes	
row_3	Ide	59	19.093902587890625	0.18066256	Yes	
row_4	Idh2	216	13.700582504272461	0.20299612	Yes	
row_5	Hras	254	12.870853424072266	0.22951989	Yes	
row_6	Acox1	265	12.735953330993652	0.2571121	Yes	
row_7	Scgb1a1	338	11.574297904968262	0.27900457	Yes	
row_8	Dhcr24	392	11.024267196655273	0.30064487	Yes	
row_9	Abcd3	507	10.010900497436523	0.31696323	Yes	
row_10	Sult2b1	608	9.111574172973633	0.3320058	Yes	
row_11	Dhrs3	776	8.156911849975586	0.34155235	Yes	
row_12	Sema3c	1045	6.843643665313721	0.34309152	Yes	
row_13	Slc25a17	1054	6.808111190795898	0.35770684	Yes	
row_14	Acsl4	1125	6.518523216247559	0.36854646	Yes	
row_15	Hsd17b4	1419	5.505928993225098	0.3658695	Yes	
row_16	Cln8	1455	5.394619464874268	0.37600031	Yes	
row_17	Crabp2	1630	4.8994574546813965	0.3780061	Yes	
row_18	Fis1	1778	4.57984733581543	0.38067278	Yes	
row_19	Gstk1	1807	4.518969535827637	0.38922593	Yes	
row_20	Aldh1a1	2384	3.4685657024383545	0.3677359	Yes	
row_21	Crat	2404	3.437730073928833	0.37435892	Yes	
row_22	Pex11a	2492	3.3062047958374023	0.3772514	Yes	
row_23	Ech1	2501	3.290087938308716	0.38410524	Yes	
row_24	Vps4b	2651	3.0828754901885986	0.3833681	Yes	
row_25	Scp2	2654	3.080955743789673	0.39006415	Yes	
row_26	Pex5	2742	2.9643008708953857	0.3922023	Yes	
row_27	Ctbp1	3000	2.661454677581787	0.38507122	No	
row_28	Slc35b2	3160	2.4936885833740234	0.3825283	No	
row_29	Cln6	3223	2.422011375427246	0.3847349	No	
row_30	Hmgcl	3302	2.3300817012786865	0.38592917	No	
row_31	Retsat	3342	2.2829086780548096	0.38899255	No	
row_32	Mvp	3562	2.0611867904663086	0.38245976	No	
row_33	Pex6	3613	2.020402431488037	0.38438746	No	
row_34	Slc27a2	3751	1.898186445236206	0.3816438	No	
row_35	Msh2	3807	1.8482176065444946	0.38293865	No	
row_36	Elovl5	4173	1.5347938537597656	0.36785775	No	
row_37	Prdx1	4413	1.3468525409698486	0.3587371	No	
row_38	Gnpat	4482	1.3009066581726074	0.35816675	No	
row_39	Sod2	4650	1.1943820714950562	0.35235253	No	
row_40	Abcc5	4697	1.1654633283615112	0.35259643	No	
row_41	Acaa1a	4833	1.081425428390503	0.348152	No	
row_42	Acot8	4838	1.079274296760559	0.35033074	No	
row_43	Smarcc1	4888	1.046160340309143	0.35015965	No	
row_44	Abcc8	4901	1.0354613065719604	0.35183695	No	
row_45	Siah1a	5071	0.9128398299217224	0.3453004	No	
row_46	Pex14	5731	0.5175136923789978	0.3131004	No	
row_47	Acsl5	6168	0.32553830742836	0.2917594	No	
row_48	Ercc3	6246	0.2894090712070465	0.28850213	No	
row_49	Pabpc1	6438	0.20879583060741425	0.27929923	No	
row_50	Slc23a2	6463	0.19705313444137573	0.2785197	No	
row_51	Slc25a19	7099	-0.05587568134069443	0.24651547	No	
row_52	Ercc1	7614	-0.24792417883872986	0.22105688	No	
row_53	Abcb4	8021	-0.3895457983016968	0.20137493	No	
row_54	Alb	8044	-0.3965086042881012	0.20113663	No	
row_55	Pex13	8241	-0.46058449149131775	0.19223626	No	
row_56	Ttr	8347	-0.4976585805416107	0.18802178	No	
row_57	Pex2	8361	-0.5013118386268616	0.18847004	No	
row_58	Ehhadh	8547	-0.5618074536323547	0.18034953	No	
row_59	Serpina6	9011	-0.6875112652778625	0.15844107	No	
