NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tspan8	12	25.522146224975586	0.07292459	Yes	
row_1	Atp1a1	18	24.224689483642578	0.14246513	Yes	
row_2	Adam10	164	14.882410049438477	0.17800903	Yes	
row_3	Krt18	315	11.854692459106445	0.20457694	Yes	
row_4	Tpd52	449	10.465445518493652	0.2280021	Yes	
row_5	Pam	620	9.0491361618042	0.24547543	Yes	
row_6	Sgms1	666	8.800580024719238	0.26855472	Yes	
row_7	Golga4	679	8.726190567016602	0.2930887	Yes	
row_8	Arfgef1	806	8.00722599029541	0.30978554	Yes	
row_9	Kif1b	850	7.712489604949951	0.32983112	Yes	
row_10	Clcn3	1132	6.501150131225586	0.33434948	Yes	
row_11	Ap1g1	1263	6.035768985748291	0.3451641	Yes	
row_12	Scamp1	1317	5.847737789154053	0.35933137	Yes	
row_13	Tsg101	1493	5.279877662658691	0.36569226	Yes	
row_14	Egfr	1595	5.000915050506592	0.37499207	Yes	
row_15	Atp7a	1643	4.8842620849609375	0.38668695	Yes	
row_16	Ykt6	1668	4.8236188888549805	0.3993704	Yes	
row_17	Rps6ka3	1669	4.819015979766846	0.41325438	Yes	
row_18	Abca1	1713	4.6918511390686035	0.42459723	Yes	
row_19	Rer1	1746	4.629450798034668	0.4363166	Yes	
row_20	Arfip1	1876	4.356172561645508	0.44234276	Yes	
row_21	Mapk1	1979	4.15322208404541	0.44914973	Yes	
row_22	Ctsc	2284	3.6189677715301514	0.44420102	Yes	
row_23	Rab14	2350	3.5355727672576904	0.4510998	Yes	
row_24	Arf1	2351	3.5330679416656494	0.4612789	Yes	
row_25	Snx2	2437	3.389287233352661	0.46674472	Yes	
row_26	Yipf6	2601	3.1384849548339844	0.46754298	Yes	
row_27	Vps4b	2651	3.0828754901885986	0.47394675	Yes	
row_28	Ap3s1	2670	3.0588231086730957	0.4818491	Yes	
row_29	Igf2r	2719	2.9968013763427734	0.48805547	Yes	
row_30	Tmed10	2931	2.7378177642822266	0.48527172	Yes	
row_31	Scamp3	2943	2.724759578704834	0.49256563	Yes	
row_32	Cln5	2971	2.6950631141662598	0.4989648	Yes	
row_33	Rab9	3127	2.520385503768921	0.49838686	Yes	
row_34	Ap3b1	3202	2.444655656814575	0.50168747	Yes	
row_35	Rab22a	3255	2.38520884513855	0.50592947	Yes	
row_36	Stam	3316	2.313971996307373	0.5095616	Yes	
