NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mgst1	660	8.843809127807617	0.010738674	No	
row_1	Pdlim1	663	8.820314407348633	0.054562487	No	
row_2	G6pdx	743	8.347434997558594	0.092146024	No	
row_3	Ndufa6	904	7.431366920471191	0.12108039	No	
row_4	Atox1	1048	6.82834529876709	0.14786956	No	
row_5	Mbp	1256	6.057305812835693	0.16758959	No	
row_6	Ptpa	1465	5.365608215332031	0.18381454	No	
row_7	Junb	1536	5.177126884460449	0.20606424	No	
row_8	Glrx	2686	3.042241096496582	0.16323686	No	
row_9	Egln2	2964	2.701321601867676	0.16271211	No	
row_10	Sbno2	2965	2.7011539936065674	0.17616372	No	
row_11	Prdx6	3012	2.646360397338867	0.18702134	No	
row_12	Prdx2	3055	2.6089625358581543	0.19789456	No	
row_13	Gsr	3221	2.426757335662842	0.20165393	No	
row_14	Oxsr1	3499	2.119239091873169	0.19823045	No	
row_15	Glrx2	3782	1.8693602085113525	0.19331028	No	
row_16	Prdx1	4413	1.3468525409698486	0.16822825	No	
row_17	Gclc	4441	1.3236109018325806	0.17345737	No	
row_18	Sod2	4650	1.1943820714950562	0.16890983	No	
row_19	Hmox2	5079	0.9082221388816833	0.1518362	No	
row_20	Gpx3	6856	0.038878992199897766	0.06241432	No	
row_21	Scaf4	7588	-0.23947495222091675	0.026721235	No	
row_22	Hhex	7972	-0.3723231554031372	0.009249521	No	
row_23	Srxn1	9514	-0.8019179105758667	-0.06451456	No	
row_24	Abcc1	9776	-0.8605265021324158	-0.07339902	No	
row_25	Gpx4	10325	-0.9913760423660278	-0.09611365	No	
row_26	Ercc2	10750	-1.0834335088729858	-0.112112895	No	
row_27	Msra	11188	-1.1889598369598389	-0.1282426	No	
row_28	Stk25	12860	-1.6311347484588623	-0.20443691	No	
row_29	Fes	13209	-1.72618567943573	-0.21340038	No	
row_30	Ndufs2	13893	-1.9406051635742188	-0.23819989	No	
row_31	Sod1	14247	-2.058410406112671	-0.24576119	No	
row_32	Selenos	14805	-2.2737550735473633	-0.26254377	No	
row_33	Gclm	15126	-2.3989105224609375	-0.26674426	No	
row_34	Nqo1	15747	-2.685537099838257	-0.2846551	No	
row_35	Cdkn2d	15884	-2.763007402420044	-0.2777579	No	
row_36	Txnrd1	16453	-3.1130928993225098	-0.29091567	No	
row_37	Txnrd2	17064	-3.5539586544036865	-0.30399722	No	
row_38	Pfkp	18110	-4.578333854675293	-0.33392718	Yes	
row_39	Mpo	18174	-4.6729960441589355	-0.31383485	Yes	
row_40	Lamtor5	18440	-5.094691753387451	-0.3018352	Yes	
row_41	Cat	19118	-6.982229232788086	-0.30122492	Yes	
row_42	Txn1	19139	-7.044632434844971	-0.26715216	Yes	
row_43	Ipcef1	19272	-7.622671127319336	-0.23585226	Yes	
row_44	Prdx4	19649	-11.055516242980957	-0.19976898	Yes	
row_45	Prnp	19695	-11.770685195922852	-0.14342222	Yes	
row_46	Lsp1	19747	-13.046706199645996	-0.08102368	Yes	
row_47	Ftl1	19836	-17.45548439025879	0.0014633662	Yes	
