NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cftr	44	20.155624389648438	0.04664091	No	
row_1	Ide	59	19.093902587890625	0.0922275	No	
row_2	Slc12a2	126	15.945537567138672	0.12754579	No	
row_3	Arl4a	394	11.013691902160645	0.1407222	No	
row_4	Csnk2a2	621	9.048498153686523	0.15121101	No	
row_5	Braf	629	9.011672019958496	0.17270644	No	
row_6	Map7	880	7.5628862380981445	0.1783772	No	
row_7	Prkar2a	1347	5.72796106338501	0.16865498	No	
row_8	Il12rb2	1936	4.237401485443115	0.14913742	No	
row_9	Mllt10	2421	3.4077303409576416	0.13287748	No	
row_10	Gpr182	2623	3.11445689201355	0.13024502	No	
row_11	Strbp	2675	3.0551860332489014	0.13506877	No	
row_12	Ybx2	2957	2.7111246585845947	0.12740506	No	
row_13	Taldo1	2981	2.681687831878662	0.13274188	No	
row_14	Ip6k1	3054	2.6106276512145996	0.13542375	No	
row_15	Mast2	3383	2.237959384918213	0.12423148	No	
row_16	Acrbp	3823	1.835113525390625	0.10643849	No	
row_17	Nf2	4333	1.4159622192382812	0.084082566	No	
row_18	Chfr	4520	1.2759214639663696	0.0777523	No	
row_19	Tle4	5315	0.7470040917396545	0.039334502	No	
row_20	Tsn	5749	0.5088115334510803	0.0186297	No	
row_21	Pcsk4	5842	0.4635296165943146	0.015092298	No	
row_22	Clvs1	5865	0.45494332909584045	0.015080716	No	
row_23	Adad1	5901	0.4362698793411255	0.014365196	No	
row_24	Pacrg	6029	0.38611188530921936	0.008866766	No	
row_25	Mtor	6270	0.2779814600944519	-0.0026191312	No	
row_26	Spata6	6346	0.24679137766361237	-0.0058207195	No	
row_27	Zc2hc1c	6404	0.22313453257083893	-0.008167675	No	
row_28	Lpin1	6504	0.18233302235603333	-0.0127415415	No	
row_29	Gstm5	6634	0.12369092553853989	-0.018977582	No	
row_30	Actl7b	7062	-0.04323603957891464	-0.040507246	No	
row_31	Stam2	7151	-0.07963260263204575	-0.044772796	No	
row_32	Htr5a	7228	-0.10798932611942291	-0.048361596	No	
row_33	Pgs1	7441	-0.19003348052501678	-0.05864208	No	
row_34	Hspa1l	7497	-0.2079887092113495	-0.060924426	No	
row_35	Prm2	7685	-0.27619507908821106	-0.06972934	No	
row_36	Agfg1	7721	-0.2866625189781189	-0.070807606	No	
row_37	Phkg2	7726	-0.2890635132789612	-0.07030939	No	
row_38	Pias2	7941	-0.3612096309661865	-0.08027617	No	
row_39	Oaz3	8862	-0.65056312084198	-0.12531175	No	
row_40	Tnp1	8958	-0.6769358515739441	-0.12848371	No	
row_41	Tktl1	9017	-0.6891810894012451	-0.12975134	No	
row_42	Chrm4	9517	-0.8032453060150146	-0.15308622	No	
row_43	Nphp1	9642	-0.8304147720336914	-0.15735537	No	
row_44	Rad17	9651	-0.8324958086013794	-0.1557422	No	
row_45	Mtnr1a	9703	-0.8449755907058716	-0.1562774	No	
row_46	H1f6	9907	-0.8890877366065979	-0.16440694	No	
row_47	Akap4	9909	-0.8894414305686951	-0.16230102	No	
row_48	Npy5r	9988	-0.9065207839012146	-0.164055	No	
row_49	Alox15	10336	-0.9933019280433655	-0.17922778	No	
row_50	Art3	10534	-1.0349286794662476	-0.18669972	No	
row_51	Hoxb1	10551	-1.0399303436279297	-0.18498892	No	
row_52	Dpep3	10741	-1.0818679332733154	-0.1919417	No	
row_53	Znrf4	10883	-1.1121392250061035	-0.1963891	No	
row_54	Gmcl1	11069	-1.156416416168213	-0.20295845	No	
row_55	Sycp1	11285	-1.2142491340637207	-0.21090758	No	
row_56	Nos1	11389	-1.2379382848739624	-0.21312463	No	
row_57	Coil	11549	-1.2786996364593506	-0.21808018	No	
row_58	Crisp2	11597	-1.2922002077102661	-0.21732837	No	
row_59	Papolb	11861	-1.3631757497787476	-0.22734837	No	
row_60	Cnih2	11959	-1.3899359703063965	-0.22889291	No	
row_61	Pcsk1n	12072	-1.4191999435424805	-0.23112647	No	
row_62	Tuba3a	12094	-1.4252588748931885	-0.22873472	No	
row_63	Odf1	12543	-1.5423455238342285	-0.24769357	No	
row_64	Elovl3	12699	-1.5854853391647339	-0.2517026	No	
row_65	Tcp11	12842	-1.626338243484497	-0.25495392	No	
row_66	She	13216	-1.7290318012237549	-0.26966015	No	
row_67	Dmrt1	13361	-1.772413730621338	-0.27265862	No	
row_68	Zpbp	13367	-1.7754197120666504	-0.26860717	No	
row_69	Phf7	13756	-1.895825743675232	-0.283669	No	
row_70	Cct6b	13776	-1.9027931690216064	-0.28001803	No	
row_71	Scg3	13928	-1.9529147148132324	-0.28293353	No	
row_72	Clpb	14053	-1.9932479858398438	-0.28438324	No	
row_73	Clgn	14179	-2.0376946926116943	-0.2857758	Yes	
row_74	Ccna1	14216	-2.0485167503356934	-0.2826329	Yes	
row_75	Adam2	14225	-2.0506420135498047	-0.27806613	Yes	
row_76	Rpl39l	14256	-2.0613296031951904	-0.27458814	Yes	
row_77	Acrv1	14410	-2.1122992038726807	-0.2772185	Yes	
row_78	Gsg1	14432	-2.11955189704895	-0.27314332	Yes	
row_79	Zc3h14	14590	-2.1865482330322266	-0.27579632	Yes	
row_80	Parp2	14829	-2.2819366455078125	-0.28232202	Yes	
row_81	Tekt2	14852	-2.2890827655792236	-0.27788645	Yes	
row_82	Ddx4	14867	-2.2958898544311523	-0.27302906	Yes	
row_83	Gfi1	14989	-2.348170280456543	-0.2734662	Yes	
row_84	Dmc1	15153	-2.4104223251342773	-0.2758804	Yes	
row_85	Hba-x	15158	-2.4141898155212402	-0.2702295	Yes	
row_86	Nefh	15220	-2.4397311210632324	-0.26740468	Yes	
row_87	Ldhc	15433	-2.535944700241089	-0.27199715	Yes	
row_88	Scg5	15461	-2.5492820739746094	-0.26718402	Yes	
row_89	Psmg1	15709	-2.6695127487182617	-0.273226	Yes	
