NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdh1	27	22.052614212036133	0.09520117	Yes	
row_1	Sptbn1	350	11.400748252868652	0.12887077	Yes	
row_2	Ltbp2	372	11.227686882019043	0.17697462	Yes	
row_3	Ctnnb1	467	10.291783332824707	0.21729589	Yes	
row_4	Tgif1	865	7.634291172027588	0.23068754	Yes	
row_5	Bmpr2	1033	6.908776760101318	0.25251088	Yes	
row_6	Tjp1	1051	6.8233866691589355	0.28153107	Yes	
row_7	Skil	1087	6.660006999969482	0.30892736	Yes	
row_8	Ifngr2	1228	6.135997295379639	0.32872957	Yes	
row_9	Pmepa1	1271	5.9955315589904785	0.35286298	Yes	
row_10	Smad3	1427	5.493502140045166	0.36909476	Yes	
row_11	Junb	1536	5.177126884460449	0.38631338	Yes	
row_12	Cdkn1c	1614	4.950726509094238	0.40410528	Yes	
row_13	Acvr1	1959	4.1928606033325195	0.4051026	Yes	
row_14	Smad7	2127	3.878242015838623	0.41365585	Yes	
row_15	Klf10	2336	3.548125743865967	0.4186942	Yes	
row_16	Smurf1	2420	3.4094502925872803	0.42943433	Yes	
row_17	Map3k7	2484	3.324864149093628	0.44081348	Yes	
row_18	Arid4b	2486	3.3228158950805664	0.45531297	Yes	
row_19	Ube2d3	2544	3.2251617908477783	0.4665584	Yes	
row_20	Ppm1a	2553	3.215594530105591	0.48023504	Yes	
row_21	Xiap	2624	3.111420154571533	0.4903263	Yes	
row_22	Smurf2	2637	3.098283052444458	0.5032874	Yes	
row_23	Bmpr1a	2649	3.0834317207336426	0.5162339	Yes	
row_24	Apc	2748	2.959787368774414	0.52424794	Yes	
row_25	Cdk9	2825	2.8611128330230713	0.5329403	Yes	
row_26	Smad6	3557	2.066939115524292	0.5050961	No	
row_27	Rhoa	3722	1.9144774675369263	0.50520176	No	
row_28	Rab31	3921	1.7491954565048218	0.5028677	No	
row_29	Id1	4209	1.512247920036316	0.4950041	No	
row_30	Ski	4438	1.3264095783233643	0.48930457	No	
row_31	Furin	4828	1.0834861993789673	0.47441536	No	
row_32	Bmp2	5036	0.9398888349533081	0.46808326	No	
row_33	Trim33	8003	-0.3821973204612732	0.32005712	No	
row_34	Nog	8262	-0.46827638149261475	0.30908588	No	
row_35	Thbs1	8883	-0.655979335308075	0.2806657	No	
row_36	Hdac1	9841	-0.8744520545005798	0.2361931	No	
row_37	Wwtr1	10944	-1.1280773878097534	0.18551268	No	
row_38	Smad1	13595	-1.84453284740448	0.059838943	No	
row_39	Bcar3	13761	-1.8970603942871094	0.059817918	No	
row_40	Id3	14443	-2.125612497329712	0.03475417	No	
row_41	Ppp1r15a	15105	-2.3941404819488525	0.011875689	No	
row_42	Fnta	15243	-2.450498342514038	0.015691271	No	
row_43	Hipk2	15261	-2.4585814476013184	0.025598876	No	
row_44	Eng	15442	-2.53997540473938	0.027635967	No	
row_45	Ncor2	15790	-2.714421510696411	0.022008114	No	
row_46	Tgfb1	16783	-3.3529603481292725	-0.013378093	No	
row_47	Ppp1ca	17385	-3.80405592918396	-0.027054526	No	
row_48	Tgfbr1	17662	-4.053597927093506	-0.023234894	No	
row_49	Slc20a1	17748	-4.128495216369629	-0.009447165	No	
row_50	Id2	18343	-4.927204132080078	-0.017852256	No	
row_51	Serpine1	19400	-8.29652214050293	-0.034821812	No	
row_52	Fkbp1a	19757	-13.30064868927002	0.0054510213	No	
