NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Serpinb2	9	26.551998138427734	0.021482706	Yes	
row_1	Hes1	50	19.82765769958496	0.035833	Yes	
row_2	Cebpb	65	18.7352237701416	0.05060241	Yes	
row_3	Cdkn1a	66	18.687726974487305	0.06604432	Yes	
row_4	Klf4	81	17.999643325805664	0.08020591	Yes	
row_5	Btg2	85	17.744779586791992	0.09471613	Yes	
row_6	Trib1	96	17.16158103942871	0.10838858	Yes	
row_7	Btg1	103	16.931699752807617	0.122074425	Yes	
row_8	Tsc22d1	107	16.656335830688477	0.13568525	Yes	
row_9	Sdc4	111	16.46880531311035	0.14914112	Yes	
row_10	Sat1	117	16.349388122558594	0.16239664	Yes	
row_11	Ets2	123	16.060550689697266	0.17541349	Yes	
row_12	Sgk1	141	15.566119194030762	0.18741171	Yes	
row_13	Fos	163	14.918479919433594	0.19867143	Yes	
row_14	Jag1	169	14.787834167480469	0.2106366	Yes	
row_15	Fosl2	171	14.690225601196289	0.22272448	Yes	
row_16	Dusp1	175	14.5949125289917	0.23463194	Yes	
row_17	Dusp4	359	11.33462905883789	0.23469438	Yes	
row_18	Dusp5	368	11.256574630737305	0.24358912	Yes	
row_19	F3	373	11.21065616607666	0.25264928	Yes	
row_20	Ier2	377	11.17905044555664	0.26173416	Yes	
row_21	Egr1	381	11.147881507873535	0.27079326	Yes	
row_22	Jun	412	10.78770923614502	0.27818212	Yes	
row_23	Phlda1	413	10.769464492797852	0.28708106	Yes	
row_24	Serpinb8	430	10.649785995483398	0.2950677	Yes	
row_25	Zfp36	452	10.459465026855469	0.30264288	Yes	
row_26	Cxcl5	485	10.17288875579834	0.30942202	Yes	
row_27	Nfe2l2	566	9.464966773986816	0.31317595	Yes	
row_28	B4galt1	653	8.888463973999023	0.31614846	Yes	
row_29	Fosb	684	8.700484275817871	0.3218126	Yes	
row_30	Bcl6	700	8.598377227783203	0.32815498	Yes	
row_31	Atf3	722	8.443005561828613	0.33406392	Yes	
row_32	Ier5	800	8.031102180480957	0.33678553	Yes	
row_33	Hbegf	811	7.96290922164917	0.342857	Yes	
row_34	Tank	822	7.905706882476807	0.3488812	Yes	
row_35	Tgif1	865	7.634291172027588	0.35305429	Yes	
row_36	Egr2	905	7.426666259765625	0.3572083	Yes	
row_37	Egr3	920	7.356163501739502	0.36257505	Yes	
row_38	Il7r	1012	6.99737548828125	0.36373076	Yes	
row_39	Nfkb1	1024	6.938152313232422	0.36890462	Yes	
row_40	Nampt	1035	6.899496555328369	0.37409738	Yes	
row_41	Tnfaip2	1055	6.804696559906006	0.37875423	Yes	
row_42	Nfil3	1075	6.738978385925293	0.3833568	Yes	
row_43	Atp2b1	1080	6.708943843841553	0.38869712	Yes	
row_44	Nfat5	1116	6.5473456382751465	0.39232793	Yes	
row_45	Tnfaip8	1118	6.538913726806641	0.39768028	Yes	
row_46	Plau	1124	6.523514747619629	0.40281653	Yes	
row_47	Gfpt2	1146	6.443086624145508	0.40707293	Yes	
row_48	Ifngr2	1228	6.135997295379639	0.40802523	Yes	
row_49	Tap1	1233	6.116086006164551	0.41287568	Yes	
row_50	Pmepa1	1271	5.9955315589904785	0.41594884	Yes	
row_51	Nr4a1	1285	5.95017147064209	0.42020464	Yes	
row_52	Mcl1	1294	5.934841156005859	0.42470196	Yes	
row_53	Kdm6b	1304	5.910506248474121	0.42912835	Yes	
row_54	Smad3	1427	5.493502140045166	0.42746535	Yes	
row_55	Ccnl1	1443	5.442758083343506	0.43120018	Yes	
row_56	Junb	1536	5.177126884460449	0.43080094	Yes	
row_57	Zc3h12a	1590	5.00974702835083	0.4322461	Yes	
row_58	Nr4a3	1678	4.800119876861572	0.43178952	Yes	
row_59	Abca1	1713	4.6918511390686035	0.43393794	Yes	
row_60	Ifih1	1765	4.593685150146484	0.43514097	Yes	
row_61	Mxd1	1870	4.387633323669434	0.4334793	No	
row_62	Fosl1	1993	4.132559299468994	0.43069175	No	
row_63	Efna1	2159	3.824103832244873	0.42546323	No	
row_64	Map2k3	2178	3.7856340408325195	0.42767626	No	
row_65	Plaur	2191	3.7702438831329346	0.4301816	No	
row_66	Sphk1	2246	3.671902894973755	0.43047044	No	
row_67	Klf10	2336	3.548125743865967	0.42887765	No	
row_68	Per1	2346	3.540666341781616	0.4313458	No	
row_69	Maff	2390	3.4590277671813965	0.43201795	No	
row_70	Sqstm1	2495	3.2990851402282715	0.4294568	No	
row_71	Rel	2516	3.26826548576355	0.43114063	No	
row_72	Fjx1	2628	3.1054039001464844	0.42806354	No	
row_73	Bcl3	2657	3.0772340297698975	0.42918283	No	
row_74	Klf9	2664	3.0655274391174316	0.43141088	No	
row_75	Vegfa	2772	2.9210126399993896	0.42838478	No	
row_76	Plpp3	2774	2.9186642169952393	0.4307457	No	
row_77	Pdlim5	2788	2.901322603225708	0.43248218	No	
row_78	Areg	2867	2.8143951892852783	0.4308423	No	
row_79	Eif1	2985	2.6780569553375244	0.4271071	No	
row_80	Ier3	3125	2.520827293395996	0.4221235	No	
row_81	Tubb2a	3254	2.386237382888794	0.41758788	No	
row_82	Tiparp	3263	2.374101400375366	0.41914293	No	
row_83	Rcan1	3304	2.327913522720337	0.41903296	No	
row_84	Rela	3346	2.2805416584014893	0.41883302	No	
row_85	Gch1	3446	2.1725032329559326	0.4155951	No	
row_86	Plk2	3522	2.100602626800537	0.41351798	No	
row_87	Ripk2	3531	2.0878396034240723	0.41483647	No	
row_88	Edn1	3571	2.0545687675476074	0.41455147	No	
row_89	Ldlr	3733	1.9101903438568115	0.40794483	No	
row_90	Nr4a2	3842	1.8205052614212036	0.40395853	No	
row_91	Rnf19b	4315	1.4322911500930786	0.38114613	No	
row_92	Tnfaip3	4409	1.350163459777832	0.37753376	No	
row_93	Phlda2	4423	1.33549964427948	0.37797642	No	
row_94	Sod2	4650	1.1943820714950562	0.36747375	No	
row_95	Slc16a6	4722	1.1534219980239868	0.3648173	No	
row_96	Bmp2	5036	0.9398888349533081	0.34968138	No	
row_97	Il6st	5074	0.9113810062408447	0.34855342	No	
row_98	Pnrc1	5278	0.770086407661438	0.33886948	No	
row_99	Cebpd	5543	0.6085646748542786	0.3259509	No	
row_100	Ccn1	5810	0.47769781947135925	0.3128225	No	
row_101	Inhba	6205	0.30930155515670776	0.29304755	No	
row_102	Csf2	6331	0.2555677592754364	0.2869039	No	
row_103	Btg3	6753	0.08226461708545685	0.2655687	No	
row_104	Dnajb4	6791	0.06890100985765457	0.2637446	No	
row_105	Il18	6858	0.037227846682071686	0.26042	No	
row_106	Birc3	7245	-0.11423022300004959	0.2408906	No	
row_107	Rigi	7275	-0.12619589269161224	0.23952055	No	
row_108	Ptger4	7372	-0.16413462162017822	0.23477565	No	
row_109	Myc	7401	-0.1766592115163803	0.23349814	No	
row_110	Marcks	7408	-0.18013852834701538	0.23334196	No	
row_111	Olr1	8131	-0.4247322380542755	0.19698727	No	
row_112	Lif	8315	-0.489690899848938	0.1880884	No	
row_113	Irs2	8605	-0.5788853168487549	0.17387432	No	
row_114	Rhob	8987	-0.6826854944229126	0.15506883	No	
row_115	Ackr3	9225	-0.7372535467147827	0.14362924	No	
row_116	Pde4b	9464	-0.7942121624946594	0.13218586	No	
row_117	Ptx3	9790	-0.8626682162284851	0.116376065	No	
row_118	Tlr2	10390	-1.00443434715271	0.08675358	No	
row_119	Il6	10467	-1.0202358961105347	0.08373286	No	
row_120	Nfkb2	11409	-1.243861198425293	0.03692133	No	
row_121	Il1a	11664	-1.3088308572769165	0.025089769	No	
row_122	Ccrl2	11941	-1.3860827684402466	0.012203586	No	
