NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cebpb	65	18.7352237701416	0.040590823	No	
row_1	Nabp1	139	15.621854782104492	0.07348473	No	
row_2	Dnaja4	252	12.87820816040039	0.097978614	No	
row_3	Xbp1	369	11.254083633422852	0.11846609	No	
row_4	Serp1	506	10.032419204711914	0.13507992	No	
row_5	Herpud1	607	9.11160659790039	0.15135923	No	
row_6	Ddit4	625	9.041611671447754	0.17167562	No	
row_7	Kif5b	641	8.940265655517578	0.19185588	No	
row_8	Atf3	722	8.443005561828613	0.20758152	No	
row_9	Eif2ak3	1639	4.8936896324157715	0.17267998	No	
row_10	Eif4g1	1760	4.603423595428467	0.17738812	No	
row_11	Tatdn2	1782	4.569074630737305	0.18702668	No	
row_12	Ern1	2058	4.012051582336426	0.1825044	No	
row_13	Edem1	2230	3.7009382247924805	0.18251741	No	
row_14	Khsrp	2503	3.287116527557373	0.17644908	No	
row_15	Vegfa	2772	2.9210126399993896	0.16972573	No	
row_16	Shc1	2999	2.661907434463501	0.16452135	No	
row_17	Fus	3181	2.471912145614624	0.16114964	No	
row_18	Atp6v0d1	3186	2.467015266418457	0.16672531	No	
row_19	Tubb2a	3254	2.386237382888794	0.16892304	No	
row_20	Cxxc1	3327	2.2983639240264893	0.17066188	No	
row_21	Dctn1	3350	2.2773993015289307	0.17488238	No	
row_22	Atf6	3550	2.0737197399139404	0.16966698	No	
row_23	Nhp2	3787	1.8658455610275269	0.16209194	No	
row_24	Wfs1	3890	1.7766169309616089	0.16109033	No	
row_25	Cnot2	4131	1.5660614967346191	0.15261069	No	
row_26	Xpot	4195	1.5219937562942505	0.15298669	No	
row_27	Slc30a5	4374	1.3784185647964478	0.1472057	No	
row_28	Edc4	4470	1.3081833124160767	0.14546125	No	
row_29	Cnot6	4715	1.1556341648101807	0.13581786	No	
row_30	Ywhaz	4914	1.0257242918014526	0.1281985	No	
row_31	Zbtb17	5028	0.9501076340675354	0.12470431	No	
row_32	Sec31a	5128	0.8639998435974121	0.12171705	No	
row_33	Srprb	5556	0.6005628108978271	0.10151107	No	
row_34	Yif1a	5805	0.47981464862823486	0.090082355	No	
row_35	Eif4a1	6134	0.34228765964508057	0.07428233	No	
row_36	Gemin4	6207	0.30895304679870605	0.07136167	No	
row_37	Arfgap1	6262	0.2794715166091919	0.06928302	No	
row_38	Dcp1a	6350	0.24562101066112518	0.0654548	No	
row_39	Exosc10	6459	0.1987381875514984	0.060453866	No	
row_40	Ero1a	6740	0.08663211017847061	0.04648458	No	
row_41	Exosc4	6830	0.050082508474588394	0.042097148	No	
row_42	Nfya	6897	0.022137168794870377	0.038808405	No	
row_43	Atf4	7345	-0.1530797779560089	0.016542051	No	
row_44	Cebpg	7398	-0.17616744339466095	0.014322683	No	
row_45	Bag3	7403	-0.17760169506072998	0.014536194	No	
row_46	Srpr	7491	-0.20616339147090912	0.010615557	No	
row_47	Spcs1	7664	-0.2696947157382965	0.002541449	No	
row_48	Psat1	7700	-0.28117284178733826	0.0014284753	No	
row_49	Parn	8128	-0.42300131916999817	-0.019193385	No	
row_50	Dcp2	8807	-0.6387505531311035	-0.052014284	No	
row_51	Pdia5	9104	-0.7096928954124451	-0.065334104	No	
row_52	Ssr1	10313	-0.9877720475196838	-0.12416348	No	
row_53	Preb	10357	-0.9967775940895081	-0.12400532	No	
row_54	Exosc5	10608	-1.052398681640625	-0.13419418	No	
row_55	Paip1	10857	-1.1068401336669922	-0.1441543	No	
row_56	Dnajc3	10888	-1.113735556602478	-0.1430642	No	
row_57	Hspa9	11226	-1.1999398469924927	-0.157311	No	
row_58	Gosr2	11309	-1.218646764755249	-0.15860717	No	
row_59	Eif4a3	11590	-1.2906988859176636	-0.16975635	No	
row_60	Mtrex	11602	-1.2931187152862549	-0.16728443	No	
row_61	Fkbp14	11759	-1.3344846963882446	-0.1720548	No	
row_62	Nfyb	12481	-1.5272910594940186	-0.20497105	No	
row_63	Skic3	13426	-1.791846513748169	-0.2485548	No	
row_64	Exoc2	13455	-1.7995067834854126	-0.2457573	No	
row_65	Ddx10	13497	-1.8135197162628174	-0.24358496	No	
row_66	Pop4	13871	-1.9325698614120483	-0.25793797	No	
row_67	Eif4e	13956	-1.961828351020813	-0.25759473	No	
row_68	Tspyl2	14434	-2.1199817657470703	-0.27677274	No	
row_69	Kdelr3	14489	-2.1417927742004395	-0.27448952	No	
row_70	Lsm1	14929	-2.322997808456421	-0.29126868	No	
row_71	Igfbp1	14963	-2.337686777114868	-0.28746375	No	
row_72	Nop14	15351	-2.4961466789245605	-0.3012054	No	
row_73	Cnot4	15558	-2.5967907905578613	-0.30554998	No	
row_74	Eif4a2	15819	-2.7287492752075195	-0.31231874	No	
row_75	Chac1	15903	-2.772066354751587	-0.31002715	No	
row_76	Slc1a4	15985	-2.822967529296875	-0.30751514	No	
row_77	Stc2	16256	-2.9790189266204834	-0.31420386	No	
row_78	Exosc1	16280	-3.0021650791168213	-0.30833647	No	
row_79	Exosc2	16880	-3.4100887775421143	-0.33066788	No	
row_80	Hyou1	17088	-3.571368932723999	-0.33278048	Yes	
row_81	Rrp9	17137	-3.6118526458740234	-0.3267505	Yes	
row_82	Dkc1	17307	-3.7417831420898438	-0.3265406	Yes	
row_83	Nolc1	17493	-3.894193410873413	-0.32678354	Yes	
row_84	Imp3	17540	-3.9344630241394043	-0.31989673	Yes	
row_85	Lsm4	17549	-3.946920156478882	-0.31105733	Yes	
row_86	Dnajb9	17665	-4.0557732582092285	-0.3073788	Yes	
row_87	Eef2	17819	-4.18890905380249	-0.30531183	Yes	
row_88	Slc7a5	18154	-4.648399353027344	-0.31132996	Yes	
row_89	Arxes2	18203	-4.718050003051758	-0.30270907	Yes	
row_90	Sdad1	18222	-4.742187976837158	-0.2925132	Yes	
row_91	Exosc9	18281	-4.823853015899658	-0.28415066	Yes	
row_92	Asns	18360	-4.9453206062316895	-0.27651593	Yes	
row_93	H2ax	18521	-5.217887878417969	-0.27239323	Yes	
row_94	Eif4ebp1	18590	-5.350872993469238	-0.26330245	Yes	
row_95	Mthfd2	18733	-5.683691501617432	-0.2571777	Yes	
row_96	Aldh18a1	18788	-5.849627494812012	-0.24621017	Yes	
row_97	Nop56	19121	-6.990164756774902	-0.24664229	Yes	
row_98	Sec11a	19133	-7.0213470458984375	-0.23075397	Yes	
row_99	Eif2s1	19147	-7.072105884552002	-0.21484801	Yes	
row_100	Banf1	19501	-9.042529106140137	-0.2115361	Yes	
row_101	Cks1b	19502	-9.062029838562012	-0.19031142	Yes	
row_102	Npm1	19526	-9.441338539123535	-0.16936249	Yes	
row_103	Wipi1	19654	-11.088899612426758	-0.14981866	Yes	
row_104	Hspa5	19728	-12.604442596435547	-0.123991996	Yes	
row_105	Rps14	19732	-12.686594009399414	-0.09442987	Yes	
row_106	Calr	19767	-13.490152359008789	-0.06455476	Yes	
row_107	Pdia6	19775	-13.769502639770508	-0.032658752	Yes	
row_108	Hsp90b1	19819	-15.867289543151855	0.002328452	Yes	
