NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2b	46	20.12081527709961	0.028090728	Yes	
row_1	Btg2	85	17.744779586791992	0.052994546	Yes	
row_2	Mark2	98	17.045534133911133	0.07816011	Yes	
row_3	Btg1	103	16.931699752807617	0.1035594	Yes	
row_4	Ephx1	134	15.748855590820312	0.12585106	Yes	
row_5	Slc6a8	162	14.930293083190918	0.1470572	Yes	
row_6	Fos	163	14.918479919433594	0.16961527	Yes	
row_7	Cltb	215	13.72063159942627	0.18777469	Yes	
row_8	Tmbim6	224	13.533172607421875	0.20783217	Yes	
row_9	Alas1	244	12.989278793334961	0.22650918	Yes	
row_10	Tchh	299	12.134381294250488	0.24211785	Yes	
row_11	Tst	423	10.719114303588867	0.25208592	Yes	
row_12	Tyro3	493	10.091629028320312	0.2638448	Yes	
row_13	Cdo1	532	9.797686576843262	0.2767319	Yes	
row_14	Dnajb1	665	8.805197715759277	0.28334936	Yes	
row_15	Fosb	684	8.700484275817871	0.29559207	Yes	
row_16	Creg1	695	8.611804008483887	0.30810654	Yes	
row_17	Atf3	722	8.443005561828613	0.31955406	Yes	
row_18	Grina	950	7.24502420425415	0.31899276	Yes	
row_19	Prkcd	1208	6.1907548904418945	0.31531534	Yes	
row_20	Tap1	1233	6.116086006164551	0.3233458	Yes	
row_21	Eif5	1240	6.100334644317627	0.33226565	Yes	
row_22	Nr4a1	1285	5.95017147064209	0.33903056	Yes	
row_23	Aldoa	1368	5.639481067657471	0.34339786	Yes	
row_24	Stard3	1531	5.188088417053223	0.34302396	Yes	
row_25	Junb	1536	5.177126884460449	0.3506493	Yes	
row_26	Cdkn1c	1614	4.950726509094238	0.35422876	Yes	
row_27	Cdc34	1627	4.909895420074463	0.36104417	Yes	
row_28	Ykt6	1668	4.8236188888549805	0.3663086	Yes	
row_29	Bsg	2198	3.7652029991149902	0.3451641	No	
row_30	Aqp3	2209	3.738738775253296	0.3503101	No	
row_31	Polr2h	2371	3.4967336654663086	0.34742942	No	
row_32	Cyb5b	2465	3.349292039871216	0.34777567	No	
