NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Idh1	54	19.396425247192383	0.018887034	Yes	
row_1	Por	55	19.329669952392578	0.04044436	Yes	
row_2	Jup	95	17.2235164642334	0.057670493	Yes	
row_3	Atp2a2	110	16.55608558654785	0.075422995	Yes	
row_4	Gsto1	115	16.378875732421875	0.093486145	Yes	
row_5	Ets2	123	16.060550689697266	0.1110418	Yes	
row_6	Gcnt2	133	15.801346778869629	0.12820671	Yes	
row_7	Ephx1	134	15.748855590820312	0.14577056	Yes	
row_8	Pmm1	221	13.582252502441406	0.15654685	Yes	
row_9	Tmbim6	224	13.533172607421875	0.171538	Yes	
row_10	Alas1	244	12.989278793334961	0.18505849	Yes	
row_11	Acox1	265	12.735953330993652	0.19824563	Yes	
row_12	Smox	267	12.66561222076416	0.21232007	Yes	
row_13	Cbr1	308	11.9751615524292	0.22364217	Yes	
row_14	Pcx	414	10.764660835266113	0.23031043	Yes	
row_15	Aldh3a1	434	10.63001823425293	0.24119976	Yes	
row_16	Slc46a3	461	10.364302635192871	0.25143695	Yes	
row_17	Ptgr1	495	10.07595443725586	0.2609968	Yes	
row_18	Cdo1	532	9.797686576843262	0.27009377	Yes	
row_19	Il1r1	534	9.781254768371582	0.28095144	Yes	
row_20	Fmo3	573	9.401371002197266	0.2895048	Yes	
row_21	Entpd5	703	8.534026145935059	0.29246545	Yes	
row_22	Pgd	767	8.21971321105957	0.29843026	Yes	
row_23	Aqp9	768	8.212569236755371	0.3075893	Yes	
row_24	Acsm1	773	8.174941062927246	0.31650302	Yes	
row_25	Ces1d	819	7.913295745849609	0.32304102	Yes	
row_26	Marchf6	924	7.3464789390563965	0.32594797	Yes	
row_27	Dcxr	1073	6.742030143737793	0.32594436	Yes	
row_28	Crot	1225	6.1509528160095215	0.3251291	Yes	
row_29	Ppard	1246	6.089646339416504	0.33090398	Yes	
row_30	Cyp2j6	1422	5.500656604766846	0.32814357	Yes	
row_31	Abcc3	1520	5.220519542694092	0.32903537	Yes	
row_32	Ndrg2	1580	5.057222366333008	0.3316765	Yes	
row_33	F11	1652	4.8619842529296875	0.33349	Yes	
row_34	Tnfrsf1a	1696	4.761923313140869	0.3366151	Yes	
row_35	Slc6a6	1705	4.720738410949707	0.34147325	Yes	
row_36	Hsd17b2	1758	4.6066155433654785	0.34396768	Yes	
row_37	Vnn1	1835	4.466297149658203	0.3450857	Yes	
row_38	Fetub	1844	4.43831729888916	0.3496289	Yes	
row_39	Blvrb	1905	4.297802448272705	0.3513723	Yes	
row_40	Pdk4	1931	4.2454118728637695	0.35483626	Yes	
row_41	Bcar1	1986	4.142352104187012	0.35671127	Yes	
