NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	198		
HALLMARK_ALLOGRAFT_REJECTION	192	186		
HALLMARK_ANDROGEN_RESPONSE	96	95		
HALLMARK_ANGIOGENESIS	36	36		
HALLMARK_APICAL_JUNCTION	199	198		
HALLMARK_APICAL_SURFACE	44	44		
HALLMARK_APOPTOSIS	161	160		
HALLMARK_BILE_ACID_METABOLISM	111	111		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	71	71		
HALLMARK_COAGULATION	134	133		
HALLMARK_COMPLEMENT	185	185		
HALLMARK_DNA_REPAIR	148	147		
HALLMARK_E2F_TARGETS	199	198		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194	193		
HALLMARK_ESTROGEN_RESPONSE_EARLY	197	197		
HALLMARK_ESTROGEN_RESPONSE_LATE	194	193		
HALLMARK_FATTY_ACID_METABOLISM	155	151		
HALLMARK_G2M_CHECKPOINT	195	195		
HALLMARK_GLYCOLYSIS	200	199		
HALLMARK_HEDGEHOG_SIGNALING	36	36		
HALLMARK_HEME_METABOLISM	189	186		
HALLMARK_HYPOXIA	199	198		
HALLMARK_IL2_STAT5_SIGNALING	199	199		
HALLMARK_IL6_JAK_STAT3_SIGNALING	85	85		
HALLMARK_INFLAMMATORY_RESPONSE	197	197		
HALLMARK_INTERFERON_ALPHA_RESPONSE	94	93		
HALLMARK_INTERFERON_GAMMA_RESPONSE	188	186		
HALLMARK_KRAS_SIGNALING_DN	194	193		
HALLMARK_KRAS_SIGNALING_UP	198	198		
HALLMARK_MITOTIC_SPINDLE	199	199		
HALLMARK_MTORC1_SIGNALING	199	193		
HALLMARK_MYC_TARGETS_V1	197	186		
HALLMARK_MYC_TARGETS_V2	58	57		
HALLMARK_MYOGENESIS	199	199		
HALLMARK_NOTCH_SIGNALING	32	32		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	195	181		
HALLMARK_P53_PATHWAY	200	198		
HALLMARK_PANCREAS_BETA_CELLS	39	39		
HALLMARK_PEROXISOME	103	101		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	105		
HALLMARK_PROTEIN_SECRETION	94	94		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	48	48		
HALLMARK_SPERMATOGENESIS	135	129		
HALLMARK_TGF_BETA_SIGNALING	53	53		
HALLMARK_TNFA_SIGNALING_VIA_NFKB	196	196		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	111	109		
HALLMARK_UV_RESPONSE_DN	144	144		
HALLMARK_UV_RESPONSE_UP	156	155		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	42		
HALLMARK_XENOBIOTIC_METABOLISM	196	192		
