NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	186	-0.61353165	-2.6433666	0.0	0.0	0.0	3170	tags=47%, list=16%, signal=55%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	-0.55171007	-2.354994	0.0	0.0	0.0	4107	tags=53%, list=21%, signal=66%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	186	-0.5032589	-2.1376731	0.0	0.0	0.0	3615	tags=41%, list=18%, signal=50%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	-0.49326676	-2.1244605	0.0	0.0	0.0	3289	tags=43%, list=17%, signal=51%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	-0.489294	-2.0915196	0.0	0.0	0.0	3145	tags=45%, list=16%, signal=53%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.5747522	-2.0387268	0.0	0.0	0.0	4598	tags=58%, list=23%, signal=75%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	186	-0.40163016	-1.7218311	0.0025839794	0.003600956	0.029	2614	tags=31%, list=13%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	-0.34730828	-1.4378489	0.0073710075	0.03733135	0.283	3928	tags=30%, list=20%, signal=37%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	-0.37603113	-1.4213204	0.024774775	0.038676195	0.328	2023	tags=24%, list=10%, signal=26%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	-0.35802096	-1.3820813	0.016018307	0.049473535	0.428	3343	tags=32%, list=17%, signal=39%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.311331	-1.3495543	0.005037783	0.059078913	0.52	1759	tags=24%, list=9%, signal=26%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	109	-0.3411452	-1.3321143	0.04524887	0.062229376	0.561	2779	tags=27%, list=14%, signal=31%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	-0.28593636	-1.2280781	0.07310705	0.14094934	0.878	3686	tags=34%, list=19%, signal=42%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	198	-0.28228706	-1.2102329	0.07462686	0.14997585	0.902	1400	tags=18%, list=7%, signal=19%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.35672706	-1.1964204	0.20125785	0.15558042	0.922	1757	tags=21%, list=9%, signal=23%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	129	-0.2907165	-1.183059	0.115	0.16101594	0.936	5688	tags=43%, list=29%, signal=60%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.3328772	-1.0612092	0.3577586	0.35129467	1.0	4438	tags=44%, list=22%, signal=57%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	-0.29573485	-0.9663719	0.5193133	0.56628865	1.0	6339	tags=51%, list=32%, signal=75%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.2743094	-0.87718594	0.6652893	0.76587147	1.0	2752	tags=28%, list=14%, signal=32%	
