NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	198	0.5651388	2.2949612	0.0	0.0	0.0	1941	tags=35%, list=10%, signal=38%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	197	0.5421795	2.1928837	0.0	0.0	0.0	2506	tags=36%, list=13%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	193	0.52716005	2.114932	0.0	0.0	0.0	2018	tags=32%, list=10%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	0.47877955	1.9205455	0.0	8.5085985E-4	0.003	3489	tags=41%, list=18%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.51368976	1.8789849	0.0	6.806879E-4	0.003	3364	tags=40%, list=17%, signal=48%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	71	0.507164	1.78271	0.0	0.003157087	0.017	1588	tags=27%, list=8%, signal=29%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	0.5329403	1.7783751	0.0	0.0027060746	0.017	2825	tags=49%, list=14%, signal=57%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	0.43514097	1.7586579	0.0	0.0033338184	0.024	1765	tags=31%, list=9%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.56309825	1.723058	0.0116054155	0.004416348	0.037	2179	tags=34%, list=11%, signal=39%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	186	0.41330865	1.6830343	0.0	0.005436847	0.05	2370	tags=28%, list=12%, signal=31%	
