NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Acadl	65	11.475403785705566	0.02083882	No	
row_1	Por	83	10.73185920715332	0.042553775	No	
row_2	Tst	165	8.820295333862305	0.056992874	No	
row_3	Ubc	350	6.782158851623535	0.061906904	No	
row_4	Ifngr1	386	6.413058757781982	0.07362012	No	
row_5	Taldo1	497	5.692712783813477	0.08000446	No	
row_6	Cd151	513	5.615993976593018	0.091057576	No	
row_7	Acaa2	551	5.476044654846191	0.100697674	No	
row_8	Sqor	632	5.159106731414795	0.10748466	No	
row_9	Stom	634	5.143071174621582	0.11825458	No	
row_10	Chchd10	671	5.024109840393066	0.12699468	No	
row_11	Acadm	698	4.926786422729492	0.13603845	No	
row_12	Atl2	814	4.505324840545654	0.13967037	No	
row_13	Orm1	920	4.194451808929443	0.14315666	No	
row_14	Hspb8	949	4.109414100646973	0.15037903	No	
row_15	Bcl6	950	4.103327751159668	0.15901223	No	
row_16	Slc1a5	962	4.082629680633545	0.1670426	No	
row_17	Atp1b3	1029	3.916278839111328	0.17192656	No	
row_18	Adig	1135	3.637326240539551	0.1742407	No	
row_19	Cmpk1	1150	3.6101129055023193	0.18112437	No	
row_20	Angpt1	1169	3.5688297748565674	0.18771783	No	
row_21	Lifr	1274	3.31516432762146	0.18940498	No	
row_22	Ech1	1353	3.202301025390625	0.19217664	No	
row_23	Cavin1	1375	3.176624059677124	0.19779237	No	
row_24	Aldoa	1378	3.1758835315704346	0.20437258	No	
row_25	Aldh2	1408	3.1171929836273193	0.20945652	No	
row_26	Ppp1r15b	1468	3.0175962448120117	0.2128056	No	
row_27	Idh1	1487	2.988849639892578	0.2181788	No	
row_28	Gpd2	1584	2.80434250831604	0.21919797	No	
row_29	Crat	1608	2.7737131118774414	0.22386432	No	
row_30	Dram2	1640	2.724729299545288	0.22802085	No	
row_31	Esrra	1650	2.710230588912964	0.23326544	No	
row_32	Adcy6	1677	2.6722309589385986	0.23756574	No	
row_33	Rnf11	1788	2.500993013381958	0.23723486	No	
row_34	Cyp4b1	1824	2.4538583755493164	0.24061812	No	
row_35	Reep6	1861	2.4076850414276123	0.24385339	No	
row_36	Rtn3	1924	2.32643461227417	0.24559577	No	
row_37	Map4k3	2021	2.220381736755371	0.2453863	No	
row_38	Dhcr7	2068	2.1589272022247314	0.24758977	No	
row_39	C3	2084	2.14180850982666	0.25133336	No	
row_40	Rreb1	2141	2.075026035308838	0.25285184	No	
row_41	Arl4a	2246	1.9431043863296509	0.25165227	No	
row_42	Abca1	2250	1.9379334449768066	0.25557706	No	
row_43	Tob1	2398	1.7784453630447388	0.25184473	No	
row_44	Uqcr10	2411	1.769349217414856	0.25495723	No	
row_45	Gpx4	2447	1.7334293127059937	0.25682473	No	
row_46	Pim3	2527	1.647844910621643	0.25627506	No	
row_47	Cd36	2684	1.508030652999878	0.25151622	No	
row_48	Ucp2	2757	1.456763744354248	0.2509204	No	
row_49	Nabp1	2834	1.4033313989639282	0.2500088	No	
row_50	Pex14	2839	1.398054599761963	0.25274685	No	
row_51	Gpam	2909	1.3451788425445557	0.25206882	No	
row_52	Cavin2	2995	1.2905921936035156	0.2504624	No	
row_53	Retsat	3077	1.238077998161316	0.2489489	No	
row_54	G3bp2	3173	1.179308533668518	0.24659993	No	
row_55	Bckdha	3256	1.1277339458465576	0.24480341	No	
row_56	Cmbl	3380	1.0517576932907104	0.24076244	No	
row_57	Sod1	3472	0.9983558058738708	0.23823613	No	
row_58	Sorbs1	3708	0.8760178089141846	0.22813089	No	
row_59	Elovl6	3901	0.7838931083679199	0.2200181	No	
row_60	Ppm1b	3985	0.7448322772979736	0.21736515	No	
row_61	Ndufb7	4151	0.6815275549888611	0.21040979	No	
row_62	Elmod3	4176	0.6725335717201233	0.2106045	No	
row_63	Miga2	4365	0.5993736386299133	0.20230688	No	
row_64	Fzd4	4520	0.5466899275779724	0.19562712	No	
row_65	Esyt1	4658	0.4979400932788849	0.18970913	No	
row_66	Sowahc	4863	0.42883923649787903	0.18023922	No	
row_67	Dlat	4885	0.4199393689632416	0.18005502	No	
row_68	Aplp2	4943	0.3977554738521576	0.17799376	No	
row_69	Grpel1	5077	0.35009029507637024	0.17196809	No	
row_70	Dhrs7b	5349	0.25808337330818176	0.15873235	No	
row_71	Acads	5693	0.15675947070121765	0.14162268	No	
row_72	Ndufs3	5914	0.09011775255203247	0.13062659	No	
row_73	Acox1	5944	0.08343251049518585	0.12932765	No	
row_74	Acly	5978	0.07477053254842758	0.12780711	No	
row_75	Ghitm	6007	0.06646588444709778	0.12652333	No	
row_76	Sdhc	6025	0.06109871342778206	0.12578753	No	
row_77	Uck1	6065	0.04981634393334389	0.12390942	No	
row_78	Cox8a	6135	0.03165386617183685	0.12046778	No	
row_79	Vegfb	6284	-0.0123536866158247	0.112968855	No	
row_80	Uqcrc1	6310	-0.019644536077976227	0.11173909	No	
row_81	Dgat1	6366	-0.03474040329456329	0.10901576	No	
row_82	Etfb	6416	-0.04560152441263199	0.10662035	No	
row_83	Cyc1	6526	-0.07905136048793793	0.10124467	No	
row_84	Slc25a1	6544	-0.08491901308298111	0.10055899	No	
row_85	Decr1	6717	-0.13074944913387299	0.09208891	No	
row_86	Preb	6792	-0.15163308382034302	0.08864548	No	
row_87	Mrap	6807	-0.1552741825580597	0.08826035	No	
row_88	Bcl2l13	6998	-0.20298907160758972	0.07902707	No	
row_89	Plin2	7170	-0.24395178258419037	0.070846006	No	
row_90	Scp2	7233	-0.2602909505367279	0.06824132	No	
