NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Irf7	19	15.069114685058594	0.026401168	No	
row_1	Cdkn2a	199	8.396800994873047	0.032554843	No	
row_2	Tpd52	265	7.690096855163574	0.043217774	No	
row_3	Cd47	280	7.512021541595459	0.056148775	No	
row_4	Tlr3	292	7.404865741729736	0.06903761	No	
row_5	Ifnar2	377	6.4737982749938965	0.07652621	No	
row_6	Ifngr1	386	6.413058757781982	0.08776629	No	
row_7	Tap1	543	5.51200532913208	0.089849666	No	
row_8	Inhba	601	5.2749834060668945	0.096533075	No	
row_9	Tapbp	701	4.911727428436279	0.10042265	No	
row_10	Stat1	702	4.910663604736328	0.10934077	No	
row_11	Il18	742	4.798772811889648	0.11607399	No	
row_12	Socs5	844	4.429760456085205	0.118986644	No	
row_13	Egfr	861	4.391933917999268	0.12614971	No	
row_14	Ets1	1034	3.90199875831604	0.124496184	No	
row_15	Eif4g3	1097	3.7251503467559814	0.12811093	No	
row_16	Tap2	1128	3.65118408203125	0.13321735	No	
row_17	Bcl3	1186	3.5478270053863525	0.13676412	No	
row_18	B2m	1384	3.1621761322021484	0.1324967	No	
row_19	Abi1	1575	2.8142082691192627	0.12795304	No	
row_20	Acvr2a	1632	2.74027681350708	0.13008405	No	
row_21	Jak2	1638	2.7285706996917725	0.13478528	No	
row_22	F2r	2042	2.198042869567871	0.11829944	No	
row_23	Gzma	2153	2.05495285987854	0.11644196	No	
row_24	Csf1	2376	1.8006951808929443	0.10843166	No	
row_25	Timp1	2433	1.7499560117721558	0.10876418	No	
row_26	Ube2d1	2456	1.7183233499526978	0.110766895	No	
row_27	Akt1	2534	1.6372177600860596	0.1098276	No	
row_28	Ube2n	2564	1.607617735862732	0.11127357	No	
row_29	Prkcg	2629	1.5538325309753418	0.11084341	No	
row_30	Ripk2	2792	1.4341317415237427	0.1052162	No	
row_31	Ccr2	2820	1.414293885231018	0.10641271	No	
row_32	Flna	2877	1.3702409267425537	0.10605564	No	
row_33	Dyrk3	3014	1.2733116149902344	0.10145749	No	
row_34	Tgfb2	3085	1.2314682006835938	0.10013702	No	
row_35	Lyn	3146	1.1967304944992065	0.09926159	No	
row_36	Ccnd3	3162	1.186210036277771	0.10065364	No	
row_37	Pf4	3212	1.1546452045440674	0.10026072	No	
row_38	Ifngr2	3332	1.0772632360458374	0.096170366	No	
row_39	Apbb1	3508	0.9776399731636047	0.08905356	No	
row_40	Degs1	3750	0.8570266366004944	0.078364044	No	
row_41	Ctss	3856	0.8031999468803406	0.07448734	No	
row_42	Capg	4065	0.7150561213493347	0.06521683	No	
row_43	Itgb2	4186	0.6670277118682861	0.060330644	No	
row_44	Gpr65	4604	0.516812264919281	0.04008019	No	
row_45	Cd8b1	4854	0.43242791295051575	0.02821307	No	
row_46	Inhbb	4874	0.42474132776260376	0.028018985	No	
row_47	Lcp2	4965	0.39003172516822815	0.024154142	No	
row_48	Tlr2	4976	0.3851676285266876	0.024345504	No	
row_49	Map3k7	5261	0.2878633439540863	0.010437391	No	
row_50	Gcnt1	5288	0.27845117449760437	0.009621941	No	
row_51	Il18rap	5674	0.1608462929725647	-0.009648959	No	
row_52	Ereg	6263	-0.007446685805916786	-0.039513484	No	
row_53	Lif	6549	-0.08659260720014572	-0.053837933	No	
row_54	Krt1	6658	-0.11359437555074692	-0.05911944	No	
row_55	Tlr6	6716	-0.13038109242916107	-0.061779	No	
row_56	Ccr1	6774	-0.14579810202121735	-0.06441056	No	
row_57	C2	6863	-0.1698506474494934	-0.068573646	No	
row_58	Rpl9	7177	-0.24613894522190094	-0.08403111	No	
row_59	Wars1	7306	-0.27591463923454285	-0.0900341	No	
row_60	Ncr1	7704	-0.35090795159339905	-0.10956959	No	
row_61	Il6	7751	-0.35716885328292847	-0.111258335	No	
row_62	Ccnd2	8099	-0.40884774923324585	-0.12814796	No	
row_63	Il11	8148	-0.4179782271385193	-0.1298279	No	
row_64	Ccl11	8347	-0.4463128447532654	-0.13907833	No	
row_65	Cxcr3	8408	-0.45616671442985535	-0.14129868	No	
row_66	Fasl	8607	-0.4836708605289459	-0.15048128	No	
row_67	Il12rb1	8702	-0.4984425902366638	-0.15435249	No	
row_68	Il2	8943	-0.5332868099212646	-0.16557913	No	
row_69	Ccr5	8998	-0.5416063666343689	-0.16733943	No	
row_70	Cd40lg	9185	-0.5680582523345947	-0.17575902	No	
row_71	Glmn	9483	-0.6134645342826843	-0.18973638	No	
row_72	Icam1	9523	-0.6186834573745728	-0.19059451	No	
row_73	Il1b	10048	-0.6947630047798157	-0.21595879	No	
row_74	Hcls1	10338	-0.7393978238105774	-0.22930095	No	
row_75	Elane	10355	-0.7422258853912354	-0.22876602	No	
row_76	Tlr1	10825	-0.8122034072875977	-0.2511223	No	
row_77	Cd8a	10853	-0.8162727952003479	-0.25101185	No	
row_78	Mtif2	11241	-0.8772262334823608	-0.26908338	No	
row_79	Fcgr2b	11313	-0.8883840441703796	-0.27107772	No	
row_80	Cd28	11430	-0.9083660244941711	-0.27532238	No	
