NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hspb1	31	13.829299926757812	0.11291788	Yes	
row_1	Mal	95	10.400184631347656	0.19583447	Yes	
row_2	Adam10	276	7.541392803192139	0.24918287	Yes	
row_3	Sulf2	537	5.5182294845581055	0.28174716	Yes	
row_4	App	568	5.4024176597595215	0.32495603	Yes	
row_5	Atp8b1	587	5.322414398193359	0.368108	Yes	
row_6	Cx3cl1	645	5.123040676116943	0.40764198	Yes	
row_7	Plaur	647	5.108414173126221	0.44988003	Yes	
row_8	Lypd3	761	4.72150993347168	0.48326495	Yes	
row_9	B4galt1	1635	2.7374768257141113	0.46188438	No	
row_10	Flot2	2046	2.191685199737549	0.45934352	No	
row_11	Gstm5	2425	1.757533073425293	0.45482302	No	
row_12	Afap1l2	3100	1.225590467453003	0.43096608	No	
row_13	Lyn	3146	1.1967304944992065	0.43860266	No	
row_14	Gata3	3693	0.8809698820114136	0.41835037	No	
row_15	Ncoa6	3714	0.873741865158081	0.4245744	No	
row_16	Efna5	3902	0.7836817502975464	0.4216279	No	
row_17	Crocc	4974	0.38613685965538025	0.37079355	No	
row_18	Srpx	6854	-0.16822543740272522	0.2773925	No	
row_19	Tmem8b	7149	-0.23936820030212402	0.26454204	No	
row_20	Atp6v0a4	9715	-0.6462791562080383	0.1404904	No	
row_21	Dcbld2	10237	-0.7244192957878113	0.12020337	No	
row_22	Ntng1	10785	-0.806108295917511	0.099280894	No	
row_23	Cd160	10880	-0.820968747138977	0.10133484	No	
row_24	Ghrl	10991	-0.8391519784927368	0.10273212	No	
row_25	Slc2a4	11175	-0.8656297326087952	0.10066582	No	
row_26	Shroom2	11973	-0.9972863793373108	0.06871372	No	
row_27	Pcsk9	12690	-1.1256835460662842	0.041910876	No	
row_28	Slc34a3	12748	-1.1374688148498535	0.048451483	No	
row_29	Akap7	13227	-1.2313302755355835	0.034530073	No	
row_30	Slc22a12	13453	-1.2784521579742432	0.03376234	No	
row_31	Adipor2	14737	-1.5668468475341797	-0.017993039	No	
row_32	Ephb4	14862	-1.5970789194107056	-0.0110277645	No	
row_33	Rtn4rl1	15390	-1.7508379220962524	-0.023120588	No	
row_34	Crybg1	15691	-1.8520114421844482	-0.022923952	No	
row_35	Scube1	15745	-1.8722302913665771	-0.010099039	No	
row_36	Rhcg	15760	-1.8769724369049072	0.004732641	No	
row_37	Mdga1	15821	-1.8981281518936157	0.017418798	No	
row_38	Pkhd1	15889	-1.9235082864761353	0.029961914	No	
row_39	Il2rb	16665	-2.2178330421447754	0.009223623	No	
row_40	Brca1	16966	-2.363377332687378	0.013653452	No	
row_41	Thy1	18571	-3.583352565765381	-0.037603002	No	
row_42	Gas1	18824	-3.9284791946411133	-0.017795386	No	
row_43	Il2rg	19772	-8.487640380859375	0.004691855	No	
