NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mal2	18	15.226909637451172	0.06017763	Yes	
row_1	S100a11	20	15.030640602111816	0.12042668	Yes	
row_2	Cd9	29	13.996777534484863	0.17617448	Yes	
row_3	Alcam	87	10.610565185546875	0.21586217	Yes	
row_4	Clu	133	9.470293045043945	0.25158155	Yes	
row_5	Cxcl16	147	9.187705993652344	0.28778386	Yes	
row_6	Lgals3	150	9.114398956298828	0.32424775	Yes	
row_7	Errfi1	180	8.641557693481445	0.35745072	Yes	
row_8	Plscr1	244	7.898658275604248	0.38595575	Yes	
row_9	Atf3	259	7.704720497131348	0.4161581	Yes	
row_10	Tnfrsf12a	294	7.391720294952393	0.44409442	Yes	
row_11	Gpx8	342	6.900274753570557	0.46940243	Yes	
row_12	Plaur	647	5.108414173126221	0.47453883	Yes	
row_13	Ctnnb1	674	5.018877029418945	0.49335998	Yes	
row_14	Fbxo6	710	4.884411811828613	0.511187	Yes	
row_15	Cpeb2	788	4.596589088439941	0.52573764	Yes	
row_16	Ebp	835	4.4514689445495605	0.5412721	Yes	
row_17	Actg1	863	4.384457588195801	0.5574976	Yes	
row_18	Lgmn	994	4.010270595550537	0.5670186	Yes	
row_19	Jag1	1064	3.794449806213379	0.5787554	Yes	
row_20	Ech1	1353	3.202301025390625	0.5770531	No	
row_21	Aldoc	1982	2.2577645778656006	0.5543856	No	
row_22	Nfil3	2017	2.226550579071045	0.56160045	No	
row_23	Dhcr7	2068	2.1589272022247314	0.5677357	No	
row_24	Trp53inp1	2098	2.1272947788238525	0.5748049	No	
row_25	Sc5d	2289	1.8986225128173828	0.57282335	No	
row_26	Abca2	2747	1.4670974016189575	0.5556224	No	
row_27	Hmgcr	2865	1.3791335821151733	0.55524457	No	
row_28	Gusb	2951	1.318907618522644	0.5562417	No	
row_29	Mvk	3044	1.258402943611145	0.55664253	No	
row_30	Ldlr	3133	1.2028239965438843	0.5570224	No	
row_31	Gnai1	3175	1.1790982484817505	0.5596814	No	
row_32	Nsdhl	4355	0.6036684513092041	0.50254273	No	
row_33	Fdft1	4401	0.5851894617080688	0.50261706	No	
row_34	Pnrc1	4984	0.3832567632198334	0.47475326	No	
row_35	Avpr1a	5120	0.3360872268676758	0.46928167	No	
row_36	Fdps	5421	0.2383590191602707	0.45508257	No	
row_37	Atxn2	6340	-0.027870021760463715	0.40881902	No	
row_38	Pcyt2	7056	-0.21680304408073425	0.37356856	No	
row_39	Srebf2	7102	-0.22758810222148895	0.3722083	No	
row_40	Lss	7207	-0.2531619071960449	0.36797005	No	
row_41	Pmvk	7280	-0.2711513936519623	0.36542058	No	
row_42	Gldc	8591	-0.4812066853046417	0.30117273	No	
row_43	Stx5a	8695	-0.4961671829223633	0.29795992	No	
row_44	Hsd17b7	9187	-0.5687366127967834	0.27543733	No	
row_45	Ethe1	9698	-0.6439714431762695	0.25225672	No	
row_46	Acat2	10392	-0.7473363280296326	0.22024602	No	
row_47	Fasn	10721	-0.7951356172561646	0.20686609	No	
row_48	Mvd	10885	-0.8212783932685852	0.20192647	No	
row_49	Cyp51	11463	-0.9121586084365845	0.17643707	No	
row_50	Chka	12861	-1.158458948135376	0.11051117	No	
row_51	Tm7sf2	13117	-1.2121772766113281	0.10249212	No	
row_52	Sqle	13968	-1.385190486907959	0.06510905	No	
row_53	Hmgcs1	14078	-1.4096482992172241	0.0652578	No	
row_54	Acss2	15349	-1.7391357421875	0.008077212	No	
row_55	Adh4	15374	-1.747613549232483	0.013875819	No	
row_56	Niban1	15458	-1.7788276672363281	0.016819099	No	
row_57	Pdk3	15846	-1.9078208208084106	0.004922458	No	
row_58	Gstm7	16398	-2.1006672382354736	-0.014485447	No	
row_59	Stard4	16904	-2.329188346862793	-0.030652758	No	
row_60	Trib3	17050	-2.402750015258789	-0.028338544	No	
row_61	Fads2	17121	-2.43564772605896	-0.022103518	No	
row_62	Sema3b	17427	-2.6066136360168457	-0.027054299	No	
row_63	Lpl	17987	-2.9938313961029053	-0.043283172	No	
row_64	Tmem97	18069	-3.063439130783081	-0.035085283	No	
row_65	Idi1	18127	-3.1094002723693848	-0.02549058	No	
row_66	Pparg	18131	-3.110917091369629	-0.013161832	No	
row_67	Atf5	19227	-4.834627628326416	-0.049083386	No	
row_68	Anxa5	19295	-5.06180477142334	-0.032161254	No	
row_69	Antxr2	19609	-6.607362747192383	-0.021466065	No	
row_70	Fabp5	19775	-8.561861991882324	0.0045467676	No	
