NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Timp2	14	15.582085609436035	0.027255662	Yes	
row_1	Irf7	19	15.069114685058594	0.05409874	Yes	
row_2	Ltf	40	12.727456092834473	0.075926	Yes	
row_3	Ctsd	43	12.640595436096191	0.09851195	Yes	
row_4	F3	54	11.959488868713379	0.11946895	Yes	
row_5	Cp	84	10.721344947814941	0.13723831	Yes	
row_6	Cebpb	112	9.98928451538086	0.15379538	Yes	
row_7	Dusp6	113	9.965734481811523	0.17168206	Yes	
row_8	Itgam	114	9.960991859436035	0.18956022	Yes	
row_9	Mmp15	121	9.806879997253418	0.20685692	Yes	
row_10	Clu	133	9.470293045043945	0.22329547	Yes	
row_11	Lgals3	150	9.114398956298828	0.23884119	Yes	
row_12	Ctsb	152	9.088045120239258	0.25510177	Yes	
row_13	Serpinb2	200	8.3944730758667	0.2677802	Yes	
row_14	Plscr1	244	7.898658275604248	0.27977204	Yes	
row_15	Ctsh	339	6.912871837615967	0.2874032	Yes	
row_16	Hspa1a	407	6.293313026428223	0.29529426	Yes	
row_17	Cpq	415	6.242671489715576	0.30614305	Yes	
row_18	Dusp5	636	5.141075611114502	0.30419204	Yes	
row_19	Plaur	647	5.108414173126221	0.31285262	Yes	
row_20	Fdx1	719	4.875182151794434	0.31799513	Yes	
row_21	F5	730	4.835514068603516	0.32616588	Yes	
row_22	Ctsl	770	4.6916680335998535	0.33260497	Yes	
row_23	Plat	808	4.524763107299805	0.33884612	Yes	
row_24	Cfh	847	4.423878192901611	0.34485537	Yes	
row_25	Lgmn	994	4.010270595550537	0.34463477	Yes	
row_26	Gnb2	1023	3.9380693435668945	0.3502802	Yes	
row_27	Lap3	1191	3.5298874378204346	0.34813035	Yes	
row_28	Dpp4	1231	3.4096500873565674	0.35226846	Yes	
row_29	Cpm	1260	3.3528389930725098	0.3568635	Yes	
row_30	Psmb9	1325	3.2400636672973633	0.35942695	Yes	
row_31	Ang	1431	3.0872159004211426	0.35963285	Yes	
row_32	Psen1	1496	2.9558908939361572	0.36168626	Yes	
row_33	Irf2	1538	2.8855295181274414	0.36478204	Yes	
row_34	Gpd2	1584	2.80434250831604	0.36752886	Yes	
row_35	Jak2	1638	2.7285706996917725	0.36973318	Yes	
row_36	Xpnpep1	1799	2.4782557487487793	0.36605152	Yes	
row_37	Maff	1822	2.454982280731201	0.36933994	Yes	
row_38	Adam9	1836	2.4340639114379883	0.37304813	Yes	
row_39	Pla2g7	2025	2.215719699859619	0.3674726	Yes	
row_40	Rhog	2055	2.181424617767334	0.36991432	Yes	
row_41	C3	2084	2.14180850982666	0.3723358	Yes	
row_42	Gzma	2153	2.05495285987854	0.37256896	Yes	
row_43	Msrb1	2221	1.9677263498306274	0.37269637	Yes	
