NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sdcbp	289	7.438108444213867	0.016908338	No	
row_1	Bcam	519	5.593277454376221	0.02903073	No	
row_2	Bcap31	749	4.775381088256836	0.037682306	No	
row_3	Ak3	786	4.6089768409729	0.055415243	No	
row_4	Tsg101	1195	3.522779941558838	0.04967376	No	
row_5	Polr2f	1585	2.80397891998291	0.04184552	No	
row_6	Adcy6	1677	2.6722309589385986	0.04857052	No	
row_7	Vps37b	1683	2.666203498840332	0.059631225	No	
row_8	Nudt9	1709	2.623217821121216	0.06949526	No	
row_9	Rbx1	1966	2.273176908493042	0.06615928	No	
row_10	Polr1d	2119	2.1052498817443848	0.06738479	No	
row_11	Nme3	2211	1.9840871095657349	0.0711896	No	
row_12	Cmpk2	2230	1.959951400756836	0.07859399	No	
row_13	Vps28	2424	1.7583469152450562	0.076268174	No	
row_14	Gpx4	2447	1.7334293127059937	0.08250845	No	
row_15	Polb	2506	1.6730661392211914	0.08666693	No	
row_16	Cant1	2638	1.548309564590454	0.08659398	No	
row_17	Xpc	2712	1.490827202796936	0.089218415	No	
row_18	Dad1	2752	1.4612033367156982	0.09344137	No	
row_19	Polr2a	2797	1.4297386407852173	0.09727724	No	
row_20	Taf6	2876	1.3705923557281494	0.09913789	No	
row_21	Polr2j	2911	1.3444410562515259	0.10311891	No	
row_22	Polr2e	2948	1.322348952293396	0.10690477	No	
row_23	Snapc5	3016	1.2727452516555786	0.108908035	No	
row_24	Polr1h	3138	1.1985920667648315	0.107858144	No	
row_25	Polr2i	3237	1.1372454166412354	0.10771432	No	
row_26	Mpc2	3399	1.0437602996826172	0.103978895	No	
row_27	Cda	3402	1.0432665348052979	0.10830466	No	
row_28	Tk2	3451	1.0115020275115967	0.110162854	No	
row_29	Pold3	3452	1.0113284587860107	0.114454515	No	
row_30	Pde6g	3469	0.9998007416725159	0.11788585	No	
row_31	Nelfb	3562	0.9530871510505676	0.11726481	No	
row_32	Cstf3	3752	0.855849027633667	0.11131202	No	
row_33	Ercc4	3929	0.7719711661338806	0.10566254	No	
row_34	Stx3	4140	0.6863829493522644	0.09792563	No	
row_35	Brf2	4175	0.6725980639457703	0.09905564	No	
row_36	Pold4	4423	0.5796645283699036	0.0889895	No	
row_37	Surf1	4536	0.5425387620925903	0.085612014	No	
row_38	Arl6ip1	4660	0.4974104166030884	0.081485175	No	
row_39	Nelfe	4661	0.49699199199676514	0.0835942	No	
row_40	Polr2k	4914	0.40850329399108887	0.07254817	No	
row_41	Ell	5102	0.3407351076602936	0.064510874	No	
row_42	Dguok	5129	0.333794504404068	0.064608835	No	
row_43	Ago4	5318	0.26946452260017395	0.056218375	No	
row_44	Adrm1	5326	0.2662236988544464	0.05699313	No	
row_45	Zfp707	5531	0.20407134294509888	0.04751377	No	
row_46	Eif1b	5786	0.12858590483665466	0.03517846	No	
row_47	Taf1c	5886	0.09986709803342819	0.030581716	No	
row_48	Gtf2h3	5980	0.0746677815914154	0.026182313	No	
row_49	Polr2c	6055	0.053137294948101044	0.02265508	No	
row_50	Ercc1	6079	0.045035190880298615	0.021679802	No	
row_51	Ercc8	6114	0.03566163405776024	0.02010691	No	
row_52	Edf1	6390	-0.04022250697016716	0.006331656	No	
row_53	Taf10	6515	-0.07639993727207184	3.675146E-4	No	
row_54	Prim1	6563	-0.08854891359806061	-0.0016402085	No	
row_55	Pcna	6567	-0.09049531072378159	-0.0014083214	No	
row_56	Polr3c	6726	-0.1329837441444397	-0.00885657	No	
row_57	Pole4	6810	-0.15633079409599304	-0.012402305	No	
row_58	Rfc5	6845	-0.16677400469779968	-0.013418811	No	
row_59	Rae1	6877	-0.17371490597724915	-0.014253724	No	
row_60	Polr2h	6911	-0.18142054975032806	-0.015157364	No	
row_61	Ercc5	6967	-0.19483682513237	-0.017119745	No	
row_62	Sf3a3	7070	-0.21988445520401	-0.021359323	No	
row_63	Rfc3	7397	-0.2941810190677643	-0.03664322	No	
row_64	Smad5	7406	-0.29549986124038696	-0.03579494	No	
row_65	Gmpr2	7858	-0.37299662828445435	-0.05708344	No	
row_66	Pnp	7901	-0.37932392954826355	-0.057603672	No	
row_67	Pom121	7974	-0.38915106654167175	-0.059603576	No	
row_68	Clp1	8276	-0.43558579683303833	-0.073019594	No	
row_69	Tarbp2	8797	-0.5116773843765259	-0.09721875	No	
row_70	Sac3d1	9132	-0.5598894357681274	-0.11178079	No	
row_71	Ercc3	9245	-0.5792457461357117	-0.11500252	No	
