NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2a	199	8.396800994873047	0.010855547	No	
row_1	Cdkn1a	423	6.1719970703125	0.01493373	No	
row_2	Lsm8	1979	2.2586238384246826	-0.05848712	No	
row_3	Rfc1	2385	1.7909557819366455	-0.0746055	No	
row_4	Lmnb1	2542	1.6271950006484985	-0.07847276	No	
row_5	Hus1	2799	1.4293874502182007	-0.08791851	No	
row_6	Stag1	3105	1.2238340377807617	-0.10036904	No	
row_7	Dclre1b	3401	1.0435532331466675	-0.112761445	No	
row_8	Eed	3415	1.030599594116211	-0.11084819	No	
row_9	Pold3	3452	1.0113284587860107	-0.110152476	No	
row_10	Cenpm	3952	0.7576243281364441	-0.13363124	No	
row_11	Wee1	3979	0.7465030550956726	-0.13308857	No	
row_12	Lbr	4036	0.7267968654632568	-0.13412045	No	
row_13	Hmgb2	4339	0.6091055274009705	-0.14795393	No	
row_14	Nup153	4472	0.5623492002487183	-0.1532607	No	
row_15	Dck	4689	0.48661014437675476	-0.16302755	No	
row_16	Pold2	4852	0.432576447725296	-0.1701838	No	
row_17	Ctcf	4981	0.38398659229278564	-0.1757327	No	
row_18	Ccne1	5332	0.2639421224594116	-0.19286883	No	
row_19	Mlh1	5727	0.14754076302051544	-0.21253285	No	
row_20	Cdc25b	5767	0.13254521787166595	-0.21418469	No	
row_21	Cdc25a	5815	0.12026797235012054	-0.21627395	No	
row_22	Pttg1	5840	0.11117172241210938	-0.21721652	No	
row_23	Chek2	5900	0.09519077837467194	-0.21997856	No	
row_24	Ubr7	5964	0.07787691801786423	-0.2229872	No	
row_25	Tcf19	6089	0.04245521128177643	-0.22918582	No	
row_26	Chek1	6423	-0.04779798910021782	-0.24599749	No	
row_27	Pcna	6567	-0.09049531072378159	-0.25304213	No	
row_28	Pole4	6810	-0.15633079409599304	-0.2649559	No	
row_29	Asf1a	6860	-0.169243723154068	-0.26702452	No	
row_30	Tra2b	7014	-0.20788154006004333	-0.27428442	No	
row_31	Usp1	7068	-0.21960307657718658	-0.27643064	No	
row_32	Paics	7303	-0.27496737241744995	-0.28764132	No	
row_33	Mad2l1	7341	-0.28319674730300903	-0.28881517	No	
row_34	Tubg1	7391	-0.2931889593601227	-0.2905742	No	
row_35	Rfc3	7397	-0.2941810190677643	-0.29009363	No	
row_36	Ing3	7412	-0.2969050705432892	-0.29006383	No	
row_37	Rpa1	7499	-0.31352153420448303	-0.2936533	No	
row_38	Cit	7545	-0.3229564428329468	-0.2951346	No	
row_39	Srsf2	7846	-0.3708733022212982	-0.30946144	No	
row_40	Kif18b	7887	-0.37661585211753845	-0.31055447	No	
row_41	Slbp	8252	-0.43247711658477783	-0.32798147	No	
row_42	Hmga1b	8353	-0.44767361879348755	-0.33194765	No	
row_43	Pan2	8561	-0.47652408480644226	-0.34128213	No	
row_44	Dnmt1	8687	-0.4955669641494751	-0.34639978	No	
row_45	Tbrg4	8751	-0.5057297945022583	-0.34833977	No	
row_46	Smc3	8847	-0.5188913345336914	-0.35187384	No	
row_47	Ipo7	9253	-0.5805049538612366	-0.3710157	No	
row_48	Msh2	9798	-0.6558951139450073	-0.39703652	No	
row_49	Atad2	9884	-0.6694015860557556	-0.39968625	No	
row_50	Lig1	9939	-0.6783593893051147	-0.40073743	No	
row_51	Ube2t	10107	-0.7019698023796082	-0.407475	No	
row_52	Snrpb	10161	-0.7103817462921143	-0.40839535	No	
row_53	Hmgb3	10985	-0.838526725769043	-0.44814548	No	
row_54	Espl1	11079	-0.8512591123580933	-0.4507477	No	
row_55	Tipin	11096	-0.8540041446685791	-0.44942808	No	
row_56	Mcm2	11142	-0.8616275191307068	-0.4495639	No	
row_57	Zw10	11161	-0.8638482093811035	-0.44832137	No	
row_58	Cdkn1b	11333	-0.8921628594398499	-0.45478725	No	
row_59	Timeless	11557	-0.926502525806427	-0.46381125	No	
row_60	Nbn	11642	-0.9419265389442444	-0.46572942	No	
row_61	Gins3	11703	-0.9513761401176453	-0.4664037	No	
row_62	Tubb5	11764	-0.9620096683502197	-0.46705145	No	
row_63	Mcm7	11810	-0.9684624671936035	-0.4669204	No	
row_64	Ilf3	11961	-0.9958273768424988	-0.4720596	No	
row_65	Mybl2	12154	-1.0289350748062134	-0.4792516	No	
row_66	Mxd3	12183	-1.0332708358764648	-0.47809434	No	
row_67	Donson	12295	-1.0505578517913818	-0.48111394	No	
row_68	Ppm1d	12423	-1.0732831954956055	-0.48489028	No	
row_69	Cse1l	12425	-1.0737711191177368	-0.48225906	No	
row_70	Mcm4	12545	-1.0962531566619873	-0.4855713	No	
row_71	Mms22l	12601	-1.1080782413482666	-0.48559994	No	
row_72	Pms2	12602	-1.108137607574463	-0.48283204	No	
row_73	Dlgap5	12658	-1.1185438632965088	-0.48283458	No	
row_74	Ssrp1	12718	-1.1321429014205933	-0.4830065	No	
row_75	Rad51ap1	12846	-1.1560845375061035	-0.48657602	No	
row_76	Dek	12888	-1.1641534566879272	-0.48575282	No	
row_77	Asf1b	12942	-1.1763405799865723	-0.48550928	No	
row_78	Rnaseh2a	12996	-1.188023328781128	-0.4852366	No	
row_79	Cbx5	13347	-1.2579052448272705	-0.49989	No	
row_80	Kif4	13374	-1.2631608247756958	-0.49805683	No	
row_81	Nap1l1	13398	-1.2672998905181885	-0.49606076	No	
row_82	Mre11a	13533	-1.2926790714263916	-0.49964502	No	
row_83	Gins4	13730	-1.3313329219818115	-0.5062851	No	
row_84	Mcm3	13738	-1.333031177520752	-0.50331134	No	
row_85	Brca2	13760	-1.3389972448349	-0.5010345	No	
row_86	Ncapd2	13822	-1.3505356311798096	-0.5007626	No	
row_87	E2f8	14381	-1.478588581085205	-0.52544034	Yes	
row_88	Nup107	14408	-1.4847478866577148	-0.5230537	Yes	
row_89	Gins1	14432	-1.4905104637145996	-0.5205001	Yes	
row_90	Smc6	14453	-1.4946049451828003	-0.51778376	Yes	
row_91	Orc6	14507	-1.508484125137329	-0.51671064	Yes	
row_92	Trip13	14529	-1.513521432876587	-0.51399785	Yes	
row_93	Cdc20	14713	-1.5615252256393433	-0.51940197	Yes	
row_94	Spc24	14786	-1.5789684057235718	-0.5191188	Yes	
row_95	Ppp1r8	14816	-1.585755467414856	-0.5166324	Yes	
row_96	Mcm6	14835	-1.590262532234192	-0.51357543	Yes	
row_97	Rpa2	15052	-1.6488826274871826	-0.52043915	Yes	
row_98	Hells	15068	-1.6547658443450928	-0.5170685	Yes	
row_99	Ccp110	15084	-1.6591179370880127	-0.5136871	Yes	
row_100	Smc1a	15253	-1.7079455852508545	-0.51796275	Yes	
row_101	Tk1	15298	-1.7217533588409424	-0.5158993	Yes	
row_102	Orc2	15329	-1.7342506647109985	-0.5130928	Yes	
row_103	Brms1l	15371	-1.7465591430664062	-0.51081485	Yes	
row_104	Bard1	15389	-1.7505048513412476	-0.5073068	Yes	
row_105	Prdx4	15439	-1.771431565284729	-0.5053735	Yes	
row_106	Psmc3ip	15516	-1.7992736101150513	-0.5047434	Yes	
row_107	Rfc2	15540	-1.8069549798965454	-0.5013994	Yes	
row_108	Kif2c	15552	-1.8115962743759155	-0.4974337	Yes	
row_109	Ranbp1	15558	-1.8129944801330566	-0.4931594	Yes	
row_110	Pole	15590	-1.824974536895752	-0.49017715	Yes	
row_111	Ung	15822	-1.8986111879348755	-0.49717978	Yes	
row_112	Aurkb	15850	-1.908615231513977	-0.49378523	Yes	
row_113	Plk1	15918	-1.933241844177246	-0.49236295	Yes	
row_114	Kif22	15946	-1.9428215026855469	-0.48888296	Yes	
row_115	Hnrnpd	16013	-1.9693118333816528	-0.48731974	Yes	
row_116	Xrcc6	16018	-1.9705383777618408	-0.4826011	Yes	
row_117	H2ax	16047	-1.9809895753860474	-0.47907662	Yes	
row_118	Cdk4	16056	-1.9819414615631104	-0.47453287	Yes	
row_119	Cdkn3	16149	-2.0149691104888916	-0.47417754	Yes	
row_120	Dut	16221	-2.040764093399048	-0.47269005	Yes	
row_121	Depdc1a	16236	-2.044288396835327	-0.46829566	Yes	
row_122	Rad51c	16253	-2.0536081790924072	-0.46397966	Yes	
row_123	Rad21	16320	-2.073969602584839	-0.462155	Yes	
row_124	Mcm5	16324	-2.076773166656494	-0.45712018	Yes	
row_125	Suv39h1	16417	-2.1106483936309814	-0.45652586	Yes	
row_126	Cnot9	16436	-2.1220884323120117	-0.4521405	Yes	
row_127	Shmt1	16462	-2.1340317726135254	-0.44808123	Yes	
row_128	Nudt21	16492	-2.1442034244537354	-0.44419992	Yes	
row_129	Prim2	16703	-2.2305784225463867	-0.44930562	Yes	
row_130	Tacc3	16742	-2.249593496322632	-0.4456187	Yes	
row_131	Cdca3	16747	-2.252263069152832	-0.44019637	Yes	
row_132	Dscc1	16794	-2.2714462280273438	-0.43686157	Yes	
row_133	Aurka	16846	-2.2986414432525635	-0.43371308	Yes	
row_134	Birc5	16911	-2.3333356380462646	-0.4311389	Yes	
row_135	Pa2g4	16915	-2.3352625370025635	-0.4254584	Yes	
row_136	Srsf1	16938	-2.349658489227295	-0.420708	Yes	
row_137	Brca1	16966	-2.363377332687378	-0.41617757	Yes	
row_138	Rrm2	17069	-2.413424015045166	-0.41533542	Yes	
row_139	Cenpe	17087	-2.421187400817871	-0.41015214	Yes	
row_140	Xpo1	17190	-2.475735664367676	-0.40915433	Yes	
row_141	Syncrip	17220	-2.4879512786865234	-0.40441442	Yes	
row_142	Luc7l3	17225	-2.4924583435058594	-0.39839214	Yes	
row_143	Cdca8	17247	-2.5067150592803955	-0.39319858	Yes	
row_144	Prkdc	17269	-2.5142571926116943	-0.3879862	Yes	
row_145	Spag5	17282	-2.519455671310425	-0.38230324	Yes	
row_146	Gspt1	17298	-2.527273416519165	-0.3767533	Yes	
row_147	Rad1	17345	-2.5580475330352783	-0.37270263	Yes	
row_148	Ccnb2	17386	-2.5828359127044678	-0.368285	Yes	
row_149	Tfrc	17390	-2.5852270126342773	-0.36198014	Yes	
row_150	Spc25	17448	-2.6187477111816406	-0.35833716	Yes	
row_151	Rbbp7	17512	-2.6629786491394043	-0.35488874	Yes	
row_152	Myc	17621	-2.734912633895874	-0.35354865	Yes	
row_153	Phf5a	17633	-2.740140438079834	-0.3472636	Yes	
row_154	Nasp	17702	-2.7900891304016113	-0.34375194	Yes	
row_155	Nup205	17828	-2.881904363632202	-0.342909	Yes	
row_156	Pnn	17933	-2.95904278755188	-0.3408057	Yes	
row_157	Rpa3	17997	-2.9973835945129395	-0.336522	Yes	
row_158	Lyar	18109	-3.09798002243042	-0.3344276	Yes	
row_159	Bub1b	18138	-3.1246349811553955	-0.3280465	Yes	
row_160	Tmpo	18148	-3.128788948059082	-0.32068902	Yes	
row_161	Hmmr	18162	-3.1484768390655518	-0.31348574	Yes	
row_162	H2az1	18177	-3.163836717605591	-0.30629495	Yes	
row_163	Cdkn2c	18191	-3.1768178939819336	-0.29902086	Yes	
row_164	Nop56	18192	-3.176900863647461	-0.2910856	Yes	
row_165	Top2a	18202	-3.182683229446411	-0.2835935	Yes	
row_166	Diaph3	18245	-3.21781849861145	-0.2776915	Yes	
row_167	Nolc1	18251	-3.225579261779785	-0.26988888	Yes	
row_168	Jpt1	18354	-3.3171019554138184	-0.26678953	Yes	
row_169	Anp32e	18388	-3.357553720474243	-0.26008087	Yes	
