NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ecm1	53	12.062329292297363	0.018124245	No	
row_1	Sdc4	74	11.066147804260254	0.036206614	No	
row_2	Cxcl5	128	9.591214179992676	0.05006598	No	
row_3	Sat1	136	9.307852745056152	0.06577452	No	
row_4	Qsox1	179	8.655644416809082	0.07857834	No	
row_5	Tgm2	197	8.435219764709473	0.0922725	No	
row_6	Jun	201	8.39263916015625	0.1066048	No	
row_7	Pcolce	203	8.373611450195312	0.12100593	No	
row_8	Pmepa1	293	7.400397300720215	0.12925427	No	
row_9	Tnfrsf12a	294	7.391720294952393	0.14201158	No	
row_10	Fuca1	422	6.175341606140137	0.14621401	No	
row_11	Ccn1	428	6.13584566116333	0.15654968	No	
row_12	Sdc1	507	5.646200180053711	0.16232958	No	
row_13	Slc6a8	557	5.454217910766602	0.16925226	No	
row_14	Inhba	601	5.2749834060668945	0.17617059	No	
row_15	Plaur	647	5.108414173126221	0.18269977	No	
row_16	Thbs1	747	4.7875213623046875	0.18593024	No	
row_17	Itgb5	772	4.688816547393799	0.19280268	No	
row_18	Colgalt1	856	4.4112725257873535	0.19619709	No	
row_19	Tpm1	928	4.164120674133301	0.1997749	No	
row_20	Cxcl15	937	4.134288787841797	0.2065036	No	
row_21	Tpm4	986	4.027719020843506	0.21101512	No	
row_22	Cd44	1176	3.560920476913452	0.20755382	No	
row_23	Lama1	1179	3.5570180416107178	0.21359119	No	
row_24	Wnt5a	1247	3.37743878364563	0.21601461	No	
row_25	Lox	1374	3.1787688732147217	0.2150961	No	
row_26	Rhob	1580	2.8084030151367188	0.20952274	No	
row_27	Basp1	1594	2.7937374114990234	0.21368362	No	
row_28	Cadm1	1621	2.7593045234680176	0.21712428	No	
row_29	Abi3bp	1655	2.697571277618408	0.22010258	No	
row_30	Nt5e	1678	2.6688265800476074	0.2235904	No	
row_31	Pvr	1729	2.589317798614502	0.22551773	No	
row_32	Areg	1786	2.503084897994995	0.22699125	No	
row_33	Efemp2	2057	2.1773018836975098	0.21702465	No	
row_34	Fermt2	2158	2.052454710006714	0.21548386	No	
row_35	Ccn2	2333	1.8457766771316528	0.20982486	No	
row_36	Timp1	2433	1.7499560117721558	0.20781282	No	
row_37	Itgb1	2483	1.6965348720550537	0.20825014	No	
row_38	Itga2	2604	1.5787012577056885	0.20487508	No	
row_39	Notch2	2639	1.5471185445785522	0.20581698	No	
row_40	Flna	2877	1.3702409267425537	0.1961349	No	
row_41	Slit2	2886	1.3647565841674805	0.19808368	No	
row_42	Lamc2	2950	1.3190360069274902	0.19715783	No	
row_43	Ppib	3061	1.2491217851638794	0.19372226	No	
row_44	Vegfa	3200	1.1605554819107056	0.18871057	No	
row_45	Lrp1	3234	1.139286994934082	0.18899943	No	
row_46	Calu	3269	1.1182302236557007	0.18920112	No	
row_47	Mmp3	3649	0.9042623043060303	0.1714968	No	
row_48	Igfbp3	3718	0.8726379871368408	0.16954637	No	
row_49	Lama3	3739	0.8615949749946594	0.17001677	No	
row_50	Tnfaip3	4061	0.7160511612892151	0.1549358	No	
row_51	Capg	4065	0.7150561213493347	0.15601744	No	
row_52	Anpep	4445	0.5717501640319824	0.13773923	No	
row_53	Ecm2	4571	0.5273895263671875	0.13229556	No	
row_54	Vegfc	4756	0.46556606888771057	0.12374616	No	
row_55	Cap2	4862	0.4301574230194092	0.1191513	No	
row_56	Dpysl3	5195	0.31076306104660034	0.102811724	No	
row_57	Plod1	5373	0.2498048096895218	0.094245754	No	
row_58	Dcn	6043	0.05738947540521622	0.060338806	No	
row_59	Col7a1	6048	0.05498068407177925	0.060230374	No	
row_60	Crlf1	6131	0.03268515691161156	0.056118634	No	
row_61	Lamc1	6226	0.003644162556156516	0.0513468	No	
row_62	Pfn2	6350	-0.030979961156845093	0.045148045	No	
row_63	Cdh6	6801	-0.1535595953464508	0.022539085	No	
row_64	Edil3	6899	-0.1791890263557434	0.01791773	No	
row_65	Sfrp4	7718	-0.3531460165977478	-0.023052609	No	
row_66	Il6	7751	-0.35716885328292847	-0.024062768	No	
row_67	Fbn2	8482	-0.4678643047809601	-0.060361978	No	
row_68	Prrx1	8787	-0.5109916925430298	-0.07493271	No	
row_69	Itga5	8904	-0.5265803337097168	-0.07992029	No	
row_70	Dkk1	8947	-0.5344256162643433	-0.08113284	No	
row_71	Fzd8	9312	-0.5873528122901917	-0.098621644	No	
