NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Add3	37	13.048442840576172	0.020963412	Yes	
row_1	Elf3	52	12.093374252319336	0.04142409	Yes	
row_2	Krt19	56	11.909666061401367	0.062122397	Yes	
row_3	Fos	61	11.65576171875	0.08232534	Yes	
row_4	Myof	78	10.936670303344727	0.10065924	Yes	
row_5	Mlph	88	10.592942237854004	0.11874724	Yes	
row_6	Hes1	100	10.278382301330566	0.13618286	Yes	
row_7	Ablim1	117	9.860596656799316	0.15263282	Yes	
row_8	Krt18	131	9.506802558898926	0.1686159	Yes	
row_9	Klf4	162	8.82917594909668	0.18254833	Yes	
row_10	Tgm2	197	8.435219764709473	0.19558766	Yes	
row_11	Wwc1	207	8.344579696655273	0.20973936	Yes	
row_12	Scnn1a	249	7.818609714508057	0.22134328	Yes	
row_13	Clic3	251	7.768893241882324	0.23489381	Yes	
row_14	Frk	279	7.518712520599365	0.24668448	Yes	
row_15	Bhlhe40	319	7.099650859832764	0.25713137	Yes	
row_16	Endod1	338	6.91794490814209	0.2683278	Yes	
row_17	Tjp3	369	6.557718753814697	0.27828348	Yes	
row_18	Sfn	383	6.429089069366455	0.28887826	Yes	
row_19	Il6st	531	5.529443264007568	0.29108524	Yes	
row_20	Foxc1	593	5.294294357299805	0.2972529	Yes	
row_21	Ptges	598	5.282190799713135	0.3062973	Yes	
row_22	Xbp1	624	5.179231643676758	0.3140938	Yes	
row_23	Kcnk5	631	5.159942626953125	0.3228225	Yes	
row_24	Pmaip1	651	5.095034122467041	0.33077666	Yes	
row_25	Fhl2	744	4.794136047363281	0.33449256	Yes	
row_26	Elf1	764	4.717796802520752	0.34178627	Yes	
row_27	Cldn7	797	4.559781551361084	0.34814236	Yes	
row_28	Snx24	806	4.536048889160156	0.35567713	Yes	
row_29	Klf10	811	4.515305519104004	0.3633789	Yes	
row_30	Dhrs3	816	4.499397277832031	0.37105286	Yes	
row_31	Slc1a1	829	4.473283290863037	0.37827435	Yes	
row_32	Eeig1	875	4.346272945404053	0.38359573	Yes	
row_33	Blvrb	904	4.248730182647705	0.38961062	Yes	
row_34	Mindy1	908	4.2264909744262695	0.39685762	Yes	
row_35	Farp1	932	4.15153169631958	0.40295658	Yes	
row_36	Hspb8	949	4.109414100646973	0.40933764	Yes	
row_37	Aff1	1048	3.8499596118927	0.4110955	Yes	
row_38	Cd44	1176	3.560920476913452	0.41087294	Yes	
row_39	Muc1	1219	3.451655864715576	0.41478056	Yes	
row_40	Lrig1	1249	3.3732717037200928	0.41921192	Yes	
row_41	Dynlt3	1256	3.3628504276275635	0.42479438	Yes	
row_42	Amfr	1352	3.202613353729248	0.4255714	Yes	
row_43	Zfp185	1362	3.1943514347076416	0.43070635	Yes	
row_44	Nherf1	1411	3.1115334033966064	0.43371347	Yes	
row_45	Celsr2	1534	2.896615982055664	0.43258205	Yes	
row_46	Syngr1	1541	2.8756144046783447	0.4373115	Yes	
row_47	Slc37a1	1601	2.782809019088745	0.43918383	Yes	
row_48	Nav2	1614	2.765805959701538	0.44341597	Yes	
row_49	Pdzk1	1615	2.7643637657165527	0.4482557	Yes	
row_50	B4galt1	1635	2.7374768257141113	0.45208234	Yes	
row_51	Jak2	1638	2.7285706996917725	0.4567577	Yes	
row_52	Anxa9	1649	2.71285343170166	0.4609988	Yes	
row_53	Wfs1	1664	2.6855180263519287	0.46498868	Yes	
row_54	Nxt1	1670	2.678501605987549	0.46942386	Yes	
row_55	Rapgefl1	1701	2.6376256942749023	0.47251645	Yes	
row_56	Areg	1786	2.503084897994995	0.47262803	Yes	
row_57	Rhod	1859	2.409292221069336	0.4731855	Yes	
row_58	Nrip1	1920	2.3276009559631348	0.47421008	Yes	
