NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Isg20	23	14.512524604797363	0.022730717	Yes	
row_1	Cd9	29	13.996777534484863	0.04552704	Yes	
row_2	Add3	37	13.048442840576172	0.06665995	Yes	
row_3	Emp2	38	12.954381942749023	0.08799376	Yes	
row_4	Ltf	40	12.727456092834473	0.10890304	Yes	
row_5	Krt19	56	11.909666061401367	0.12775391	Yes	
row_6	Fos	61	11.65576171875	0.14674579	Yes	
row_7	Myof	78	10.936670303344727	0.16394345	Yes	
row_8	St14	110	10.055179595947266	0.17892699	Yes	
row_9	Perp	125	9.711812973022461	0.19420917	Yes	
row_10	Klf4	162	8.82917594909668	0.2069195	Yes	
row_11	Tst	165	8.820295333862305	0.22134347	Yes	
row_12	Agr2	186	8.523114204406738	0.23436308	Yes	
row_13	Cdh1	223	8.079689025878906	0.24583912	Yes	
row_14	Scnn1a	249	7.818609714508057	0.25744435	Yes	
row_15	Clic3	251	7.768893241882324	0.27018768	Yes	
row_16	Frk	279	7.518712520599365	0.28119737	Yes	
row_17	Lsr	315	7.137753963470459	0.29117304	Yes	
row_18	Fgfr3	364	6.600703239440918	0.29960346	Yes	
row_19	Tjp3	369	6.557718753814697	0.31019965	Yes	
row_20	Sfn	383	6.429089069366455	0.32012653	Yes	
row_21	Sgk1	451	5.930809497833252	0.32648796	Yes	
row_22	Mapk13	462	5.8722686767578125	0.33565035	Yes	
row_23	Il6st	531	5.529443264007568	0.34129995	Yes	
row_24	Zfp36	575	5.3680853843688965	0.3479546	Yes	
row_25	Foxc1	593	5.294294357299805	0.35580933	Yes	
row_26	Ptges	598	5.282190799713135	0.36430496	Yes	
row_27	Tspan13	619	5.192444801330566	0.37183946	Yes	
row_28	Xbp1	624	5.179231643676758	0.38016552	Yes	
row_29	Kcnk5	631	5.159942626953125	0.38835815	Yes	
row_30	Eeig1	875	4.346272945404053	0.3831638	Yes	
row_31	Blvrb	904	4.248730182647705	0.38873753	Yes	
row_32	Farp1	932	4.15153169631958	0.394202	Yes	
row_33	Hspb8	949	4.109414100646973	0.40015626	Yes	
row_34	Idh2	976	4.052249908447266	0.40550807	Yes	
row_35	Aff1	1048	3.8499596118927	0.40823933	Yes	
row_36	Cd44	1176	3.560920476913452	0.40764806	Yes	
row_37	Gjb3	1204	3.4919722080230713	0.41202635	Yes	
row_38	St6galnac2	1217	3.454758882522583	0.41710582	Yes	
row_39	Homer2	1240	3.390676975250244	0.42157143	Yes	
row_40	Dynlt3	1256	3.3628504276275635	0.42634705	Yes	
row_41	Unc13b	1339	3.2166779041290283	0.42747626	Yes	
row_42	Amfr	1352	3.202613353729248	0.4321405	Yes	
row_43	Nherf1	1411	3.1115334033966064	0.4343165	Yes	
row_44	Trim29	1462	3.029412269592285	0.4367639	Yes	
row_45	Celsr2	1534	2.896615982055664	0.43792516	Yes	
row_46	Pdzk1	1615	2.7643637657165527	0.43841115	Yes	
row_47	Jak2	1638	2.7285706996917725	0.44178638	Yes	
row_48	Anxa9	1649	2.71285343170166	0.4457457	Yes	
row_49	Wfs1	1664	2.6855180263519287	0.4494567	Yes	
row_50	Nxt1	1670	2.678501605987549	0.4536136	Yes	
row_51	Rapgefl1	1701	2.6376256942749023	0.45643243	Yes	
row_52	Areg	1786	2.503084897994995	0.45628482	Yes	
row_53	Nrip1	1920	2.3276009559631348	0.45335746	Yes	
row_54	Slc27a2	1944	2.2993454933166504	0.455975	Yes	
row_55	Fkbp4	1991	2.252211093902588	0.4573458	Yes	
row_56	Dhcr7	2068	2.1589272022247314	0.45703807	Yes	
row_57	Dcxr	2120	2.1031241416931152	0.4579092	Yes	
row_58	Aldh3a2	2292	1.898062825202942	0.4523429	No	
row_59	Tob1	2398	1.7784453630447388	0.44993445	No	
row_60	Chpt1	2451	1.7286138534545898	0.45013797	No	
row_61	Plaat3	2467	1.7111252546310425	0.45219347	No	
row_62	Ccnd1	2475	1.7044535875320435	0.45464462	No	
row_63	Aldh3b1	2479	1.6995704174041748	0.45729104	No	
row_64	Pkp3	2616	1.570658802986145	0.45296463	No	
row_65	Nab2	2641	1.5458048582077026	0.4542904	No	
row_66	Klk10	2705	1.49259352684021	0.4535461	No	
row_67	Sult2b1	2764	1.4550937414169312	0.4529942	No	
row_68	Ass1	2813	1.4162929058074951	0.45288673	No	
row_69	Lamc2	2950	1.3190360069274902	0.44814593	No	
row_70	Cish	2962	1.3112773895263672	0.44974625	No	
row_71	Pdlim3	3003	1.2856571674346924	0.4498303	No	
row_72	Abca3	3042	1.259230375289917	0.44997245	No	
row_73	Tpd52l1	3157	1.189666986465454	0.44613692	No	
row_74	Bag1	3167	1.1834670305252075	0.4476284	No	
row_75	Klk11	3270	1.118180513381958	0.44428512	No	
row_76	Acox2	3536	0.9658775329589844	0.43240553	No	
row_77	Cdc6	3538	0.9655256271362305	0.43394476	No	
row_78	Car12	3592	0.9395251870155334	0.43279797	No	
row_79	Rab31	3762	0.8495408892631531	0.42560658	No	
row_80	Cpe	3768	0.8470898270606995	0.42674744	No	
row_81	Gfus	3815	0.8234020471572876	0.42576522	No	
row_82	Slc2a8	3816	0.823032796382904	0.42712063	No	
row_83	Slc22a5	3970	0.7509159445762634	0.42058012	No	
row_84	Tfap2c	4024	0.7301796674728394	0.41908854	No	
row_85	Prkar2b	4045	0.7207422852516174	0.41925886	No	
row_86	Cav1	4391	0.5890439748764038	0.4026922	No	
row_87	Fdft1	4401	0.5851894617080688	0.40319845	No	
row_88	Impa2	4416	0.5815057754516602	0.40344447	No	
row_89	Gper1	4703	0.48303788900375366	0.38970226	No	
row_90	Large1	4761	0.4642939865589142	0.3875695	No	
row_91	Plxnb1	4988	0.3822087347507477	0.3767111	No	
row_92	Llgl2	5196	0.309217244386673	0.3666983	No	
row_93	Ccn5	5611	0.17924964427947998	0.34594944	No	
row_94	Mocs2	5806	0.12306591123342514	0.33629087	No	
row_95	Nmu	5887	0.09977554529905319	0.3323887	No	
row_96	Elovl5	6173	0.01768765226006508	0.31793097	No	
row_97	Etfb	6416	-0.04560152441263199	0.30570495	No	
row_98	Krt13	6745	-0.13866548240184784	0.28926072	No	
row_99	Ovol2	6908	-0.18062517046928406	0.28132352	No	
row_100	Dlg5	7195	-0.2498919665813446	0.26719737	No	
row_101	Tmprss3	7705	-0.350956529378891	0.24190232	No	
row_102	Mettl3	7715	-0.3523232936859131	0.24202506	No	
row_103	Btg3	7912	-0.38041284680366516	0.23268865	No	
row_104	Ccna1	8091	-0.40756145119667053	0.2243119	No	
row_105	Tpbg	8744	-0.5046460032463074	0.1920011	No	
row_106	Gale	9110	-0.5574673414230347	0.17436582	No	
row_107	Scube2	9569	-0.6252414584159851	0.15211485	No	
row_108	Npy1r	9573	-0.6256436705589294	0.1529927	No	
row_109	Slc24a3	9635	-0.6343598961830139	0.1509367	No	
row_110	Hr	9652	-0.6371938586235046	0.15117276	No	
row_111	Rabep1	9677	-0.6410291194915771	0.15100849	No	
row_112	Calcr	9976	-0.6844944357872009	0.13698807	No	
row_113	Bcl2	10225	-0.7209174036979675	0.1255692	No	
row_114	S100a9	10427	-0.752038836479187	0.11659064	No	
row_115	Tfpi2	10499	-0.7638359665870667	0.11423955	No	
row_116	Dnajc1	10895	-0.8232179284095764	0.09551698	No	
row_117	Siah2	10954	-0.8318517804145813	0.09393871	No	
row_118	Abhd2	11015	-0.8430989980697632	0.09227729	No	
row_119	Serpina5	11157	-0.8627879023551941	0.08653098	No	
row_120	Flnb	11785	-0.965409517288208	0.056249768	No	
row_121	Gla	11809	-0.9683745503425598	0.05667541	No	
row_122	Sox3	12163	-1.0310434103012085	0.040430002	No	
row_123	Batf	12434	-1.0750137567520142	0.028475987	No	
row_124	Slc26a2	12451	-1.0786750316619873	0.029439097	No	
row_125	Stil	12826	-1.1517952680587769	0.012325095	No	
row_126	Ppif	12934	-1.1747422218322754	0.008820783	No	
row_127	Rnaseh2a	12996	-1.188023328781128	0.0076765735	No	
row_128	Xrcc3	13143	-1.2171788215637207	0.0022597355	No	
row_129	Scarb1	13284	-1.2426334619522095	-0.0028101958	No	
row_130	Plac1	13663	-1.3168495893478394	-0.019855704	No	
row_131	Gins2	13682	-1.3212367296218872	-0.018594796	No	
row_132	Gal	13709	-1.3258774280548096	-0.017732894	No	
row_133	Fkbp5	13783	-1.3428759574890137	-0.019232059	No	
row_134	Igsf1	13902	-1.368969440460205	-0.02297565	No	
row_135	Prss23	13922	-1.372868299484253	-0.021680543	No	
row_136	Th	14001	-1.3913631439208984	-0.023354014	No	
row_137	Id2	14162	-1.4270983934402466	-0.029136783	No	
row_138	Ret	14486	-1.5015673637390137	-0.04308238	No	
row_139	Cdc20	14713	-1.5615252256393433	-0.05199862	No	
row_140	Dhrs2	14958	-1.6237671375274658	-0.06172732	No	
row_141	Car2	15181	-1.6883271932601929	-0.070231415	No	
row_142	Hmgcs2	15343	-1.7370457649230957	-0.07555458	No	
row_143	Itpk1	15508	-1.7984834909439087	-0.080929056	No	
row_144	Mest	15517	-1.7993826866149902	-0.07837241	No	
row_145	Olfm1	15665	-1.844104528427124	-0.08280763	No	
row_146	Cyp26b1	15734	-1.868016004562378	-0.08318782	No	
row_147	Pdcd4	15770	-1.8794529438018799	-0.08187174	No	
row_148	Tpsb2	15982	-1.958165168762207	-0.089372315	No	
row_149	Mapt	16186	-2.0294909477233887	-0.09634877	No	
row_150	Sord	16437	-2.1226706504821777	-0.10556084	No	
