NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Slc12a2	10	16.815916061401367	0.04024601	No	
row_1	Meis2	1025	3.9329288005828857	-0.0017702663	No	
row_2	Meis1	1026	3.92753529548645	0.0077483486	No	
row_3	Mapk14	1058	3.814143419265747	0.015416228	No	
row_4	Bcl3	1186	3.5478270053863525	0.017558392	No	
row_5	Smad3	1434	3.0819151401519775	0.012471042	No	
row_6	Chmp1a	1592	2.7955322265625	0.011264888	No	
row_7	Pml	1862	2.407546043395996	0.0034247655	No	
row_8	Tent4a	1866	2.404515027999878	0.0090997415	No	
row_9	Rbl1	1898	2.360170841217041	0.013243832	No	
row_10	Pura	1973	2.266174077987671	0.014974156	No	
row_11	Nup50	2073	2.1549034118652344	0.015163904	No	
row_12	Fancc	2126	2.09747576713562	0.017603775	No	
row_13	Tle3	2198	2.0025882720947266	0.018847793	No	
row_14	Sap30	2450	1.7311102151870728	0.010283341	No	
row_15	Ccnd1	2475	1.7044535875320435	0.013194116	No	
row_16	Lmnb1	2542	1.6271950006484985	0.013782526	No	
row_17	Numa1	2615	1.5710397958755493	0.013929824	No	
row_18	Notch2	2639	1.5471185445785522	0.016510123	No	
row_19	Hus1	2799	1.4293874502182007	0.011891365	No	
row_20	Katna1	2860	1.3820666074752808	0.01219071	No	
row_21	Nup98	3076	1.239269495010376	0.004264358	No	
row_22	Stag1	3105	1.2238340377807617	0.0058069774	No	
row_23	Foxn3	3413	1.0308377742767334	-0.007301457	No	
row_24	Upf1	3488	0.9917412996292114	-0.008659796	No	
row_25	Cdc6	3538	0.9655256271362305	-0.008810764	No	
row_26	Cul1	3808	0.8264753818511963	-0.020482706	No	
row_27	Amd1	3838	0.8146079182624817	-0.019982707	No	
row_28	Lig3	3893	0.7857769727706909	-0.020823486	No	
row_29	Efna5	3902	0.7836817502975464	-0.019330878	No	
row_30	Lbr	4036	0.7267968654632568	-0.024330664	No	
row_31	Dmd	4384	0.5911070108413696	-0.040538263	No	
