NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cldn3	21	14.951432228088379	0.030398952	Yes	
row_1	Isg20	23	14.512524604797363	0.06089111	Yes	
row_2	Elf3	52	12.093374252319336	0.08491908	Yes	
row_3	Gfpt1	134	9.423519134521484	0.10063321	Yes	
row_4	Met	164	8.827093124389648	0.11773612	Yes	
row_5	Qsox1	179	8.655644416809082	0.13524091	Yes	
row_6	Gne	215	8.220741271972656	0.15076262	Yes	
row_7	Ier3	233	7.972142219543457	0.16667637	Yes	
row_8	Egln3	368	6.565471172332764	0.17368059	Yes	
row_9	Taldo1	497	5.692712783813477	0.1791531	Yes	
row_10	Sdc1	507	5.646200180053711	0.19057845	Yes	
row_11	Capn5	615	5.2118330001831055	0.19610667	Yes	
row_12	Dsc2	663	5.054891586303711	0.20435539	Yes	
row_13	P4ha2	691	4.950535774230957	0.2134014	Yes	
row_14	Tgfa	738	4.820326328277588	0.2212073	Yes	
row_15	Glrx	766	4.716518878936768	0.22976081	Yes	
row_16	Cyb5a	778	4.655549049377441	0.23899956	Yes	
row_17	Pkm	780	4.628280162811279	0.24868937	Yes	
row_18	Ak3	786	4.6089768409729	0.25813517	Yes	
row_19	Egfr	861	4.391933917999268	0.26361576	Yes	
row_20	G6pdx	869	4.3722147941589355	0.2724616	Yes	
row_21	Mxi1	889	4.302707195281982	0.28055096	Yes	
row_22	Cited2	963	4.078920841217041	0.28542364	Yes	
row_23	Tpi1	990	4.021092414855957	0.29256442	Yes	
row_24	Gpr87	1081	3.7551193237304688	0.29589123	Yes	
row_25	Pygb	1119	3.6798787117004395	0.30175456	Yes	
row_26	Pgm2	1151	3.6075961589813232	0.30777085	Yes	
row_27	Cd44	1176	3.560920476913452	0.31404483	Yes	
row_28	Hk2	1267	3.3258447647094727	0.3164682	Yes	
row_29	Pam	1291	3.291499137878418	0.32222602	Yes	
row_30	Aldoa	1378	3.1758835315704346	0.32453716	Yes	
row_31	Rragd	1406	3.1194956302642822	0.3297296	Yes	
row_32	Adora2b	1409	3.115825891494751	0.33618546	Yes	
row_33	Ang	1431	3.0872159004211426	0.34161502	Yes	
row_34	Idh1	1487	2.988849639892578	0.34510878	Yes	
row_35	Agrn	1593	2.794673204421997	0.34565154	Yes	
row_36	B4galt4	1618	2.762566089630127	0.3502453	Yes	
row_37	B4galt1	1635	2.7374768257141113	0.35519305	Yes	
row_38	Pcx	1662	2.6867222785949707	0.3595255	Yes	
row_39	Nt5e	1678	2.6688265800476074	0.36437958	Yes	
row_40	Pmm2	1700	2.639218330383301	0.3688663	Yes	
row_41	Alg1	1706	2.6277575492858887	0.37414244	Yes	
row_42	Gpc3	1868	2.402313709259033	0.37101203	Yes	
row_43	Efna3	1931	2.3231098651885986	0.37274876	Yes	
row_44	Fkbp4	1991	2.252211093902588	0.3744888	Yes	
row_45	Pgam1	1999	2.2376835346221924	0.3788423	Yes	
row_46	Pkp2	2077	2.1514687538146973	0.3794551	Yes	
row_47	Slc35a3	2106	2.1239163875579834	0.38250136	Yes	
row_48	B3gat3	2124	2.097745418548584	0.3860519	Yes	
