NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Adgrg1	177	8.660063743591309	0.090640865	No	
row_1	Cdk6	1201	3.4946937561035156	0.07923166	No	
row_2	Ets2	1324	3.2411394119262695	0.110343486	No	
row_3	Pml	1862	2.407546043395996	0.110943414	No	
row_4	Tle3	2198	2.0025882720947266	0.117074035	No	
row_5	Ptch1	2244	1.9443714618682861	0.13715963	No	
row_6	Ldb1	2674	1.5152361392974854	0.13294676	No	
row_7	L1cam	2824	1.4111344814300537	0.14165702	No	
row_8	Ophn1	3118	1.2160344123840332	0.14086246	No	
row_9	Vegfa	3200	1.1605554819107056	0.15012091	No	
row_10	Nrp1	3459	1.0077943801879883	0.14869717	No	
row_11	Shh	3581	0.9436162114143372	0.15344428	No	
row_12	Myh9	4212	0.6559939980506897	0.12921634	No	
row_13	Amot	5635	0.17393414676189423	0.05950657	No	
row_14	Nkx6-1	6069	0.04772761091589928	0.0382197	No	
row_15	Hey1	6618	-0.10355380922555923	0.011775386	No	
row_16	Gli1	9757	-0.65138179063797	-0.13898061	No	
row_17	Nf1	12393	-1.0688364505767822	-0.25957143	No	
row_18	Vldlr	12396	-1.0704628229141235	-0.24736494	No	
row_19	Plg	13052	-1.1992011070251465	-0.2666082	No	
row_20	Celsr1	14181	-1.4302564859390259	-0.30704772	No	
row_21	Scg2	15535	-1.8045482635498047	-0.35453036	No	
row_22	Rasa1	16626	-2.2007553577423096	-0.384195	Yes	
row_23	Hey2	16824	-2.289396047592163	-0.36780775	Yes	
row_24	Rtn1	16882	-2.3187873363494873	-0.34402254	Yes	
row_25	Cntfr	17471	-2.6338531970977783	-0.34339258	Yes	
row_26	Cdk5r1	17767	-2.83742356300354	-0.32564652	Yes	
row_27	Crmp1	17836	-2.8856475353240967	-0.2958987	Yes	
row_28	Tle1	17856	-2.89733624458313	-0.2635455	Yes	
row_29	Slit1	18087	-3.0831470489501953	-0.23969646	Yes	
row_30	Thy1	18571	-3.583352565765381	-0.22285487	Yes	
row_31	Nrp2	18722	-3.763108968734741	-0.18715383	Yes	
row_32	Nrcam	18923	-4.092257022857666	-0.15018995	Yes	
row_33	Unc5c	18995	-4.255008697509766	-0.10484957	Yes	
row_34	Dpysl2	19345	-5.229095458984375	-0.062329054	Yes	
row_35	Ache	19721	-7.6976423263549805	0.0072617605	Yes	
