NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gsto1	16	15.429086685180664	0.022533411	Yes	
row_1	St3gal4	27	14.337808609008789	0.043720603	Yes	
row_2	Ifitm3	44	12.625082015991211	0.062011056	Yes	
row_3	Ecm1	53	12.062329292297363	0.07985674	Yes	
row_4	Phlda1	55	11.929638862609863	0.09785756	Yes	
row_5	Ahnak	73	11.070902824401855	0.11374541	Yes	
row_6	Alcam	87	10.610565185546875	0.12914008	Yes	
row_7	Ckap4	185	8.541435241699219	0.13713267	Yes	
row_8	Tgm2	197	8.435219764709473	0.14933735	Yes	
row_9	Tnfsf10	202	8.3817138671875	0.161817	Yes	
row_10	Ahr	234	7.971358776092529	0.17230284	Yes	
row_11	Plscr1	244	7.898658275604248	0.1837973	Yes	
row_12	Socs2	247	7.848568916320801	0.19557188	Yes	
row_13	Hopx	275	7.551486015319824	0.20562577	Yes	
row_14	Cd81	317	7.121958255767822	0.21431786	Yes	
row_15	Bhlhe40	319	7.099650859832764	0.22501004	Yes	
row_16	Tnfrsf21	343	6.884872913360596	0.2342586	Yes	
row_17	Ikzf2	360	6.661044597625732	0.24352442	Yes	
row_18	Ifngr1	386	6.413058757781982	0.25195736	Yes	
row_19	Sh3bgrl2	434	6.069137096405029	0.25875124	Yes	
row_20	Mapkapk2	435	6.059319496154785	0.26792008	Yes	
row_21	Rnh1	453	5.916614532470703	0.27600858	Yes	
row_22	Xbp1	624	5.179231643676758	0.27520174	Yes	
row_23	Wls	672	5.022701740264893	0.2804122	Yes	
row_24	Gbp3	709	4.886940956115723	0.28597653	Yes	
row_25	Dhrs3	816	4.499397277832031	0.28739518	Yes	
row_26	Nfkbiz	857	4.411046981811523	0.29203603	Yes	
row_27	Slc1a5	962	4.082629680633545	0.29292572	Yes	
row_28	Prkch	967	4.073017120361328	0.29888552	Yes	
row_29	Klf6	1016	3.9574904441833496	0.30243328	Yes	
row_30	Twsg1	1017	3.9569854736328125	0.30842093	Yes	
row_31	Emp1	1044	3.8717446327209473	0.31295756	Yes	
row_32	F2rl2	1056	3.8298349380493164	0.31819344	Yes	
row_33	Bmpr2	1160	3.587759017944336	0.31838518	Yes	
row_34	Cd44	1176	3.560920476913452	0.32301077	Yes	
