NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ly6e	9	16.838808059692383	0.027749265	Yes	
row_1	Irf7	19	15.069114685058594	0.052534103	Yes	
row_2	Cd14	22	14.617074966430664	0.07691761	Yes	
row_3	F3	54	11.959488868713379	0.09537498	Yes	
row_4	Rtp4	70	11.292814254760742	0.11352905	Yes	
row_5	Bst2	81	10.852154731750488	0.13119918	Yes	
row_6	Ifitm1	91	10.512150764465332	0.1483506	Yes	
row_7	Btg2	122	9.763673782348633	0.16318057	Yes	
row_8	Cxcl5	128	9.591214179992676	0.1789927	Yes	
row_9	Met	164	8.827093124389648	0.1919996	Yes	
row_10	Tnfsf10	202	8.3817138671875	0.20415875	Yes	
row_11	Ahr	234	7.971358776092529	0.21593556	Yes	
row_12	Hbegf	291	7.4132513999938965	0.22550644	Yes	
row_13	Tlr3	292	7.404865741729736	0.2379104	Yes	
row_14	Eif2ak2	384	6.420750617980957	0.24403928	Yes	
row_15	Cdkn1a	423	6.1719970703125	0.2524461	Yes	
row_16	Scn1b	478	5.806946277618408	0.2594279	Yes	
row_17	Osmr	512	5.6237592697143555	0.26717055	Yes	
row_18	Slc4a4	571	5.387381076812744	0.2732462	Yes	
row_19	Inhba	601	5.2749834060668945	0.28060797	Yes	
row_20	Cx3cl1	645	5.123040676116943	0.28700343	Yes	
row_21	Plaur	647	5.108414173126221	0.29550976	Yes	
row_22	Tapbp	701	4.911727428436279	0.30104282	Yes	
row_23	Il18	742	4.798772811889648	0.30704764	Yes	
row_24	Cxcl15	937	4.134288787841797	0.30410978	Yes	
row_25	Sgms2	942	4.120783805847168	0.3108092	Yes	
row_26	Rnf144b	993	4.01887845993042	0.31499916	Yes	
row_27	Klf6	1016	3.9574904441833496	0.32050988	Yes	
row_28	Pdpn	1078	3.7567195892333984	0.32370147	Yes	
row_29	Atp2b1	1098	3.7232048511505127	0.32897228	Yes	
row_30	Atp2a2	1254	3.3651821613311768	0.32672888	Yes	
row_31	Edn1	1264	3.3364360332489014	0.3318602	Yes	
row_32	Tnfrsf1b	1293	3.2880876064300537	0.33594456	Yes	
row_33	Gch1	1296	3.280344009399414	0.3413378	Yes	
row_34	Hpn	1311	3.2609262466430664	0.34608844	Yes	
row_35	Rela	1360	3.197603464126587	0.3490044	Yes	
row_36	Gna15	1389	3.1547281742095947	0.35286534	Yes	
row_37	Adora2b	1409	3.115825891494751	0.3571187	Yes	
row_38	Tacr1	1430	3.0876259803771973	0.36127397	Yes	
row_39	Il1r1	1472	3.0117905139923096	0.36423457	Yes	
row_40	Psen1	1496	2.9558908939361572	0.36801666	Yes	
row_41	Abi1	1575	2.8142082691192627	0.36876512	Yes	
row_42	Acvr2a	1632	2.74027681350708	0.37050825	Yes	
row_43	Pvr	1729	2.589317798614502	0.36996487	Yes	
row_44	Il18r1	1747	2.5656540393829346	0.37339833	Yes	
row_45	Mxd1	1816	2.458334445953369	0.37405908	Yes	
row_46	Ccrl2	1829	2.448620557785034	0.3775507	Yes	
row_47	Gpc3	1868	2.402313709259033	0.37964284	Yes	
row_48	Rhog	2055	2.181424617767334	0.37384048	No	
row_49	Slc31a1	2138	2.0775933265686035	0.37315166	No	
row_50	Acvr1b	2175	2.0324487686157227	0.37472597	No	
row_51	Abca1	2250	1.9379334449768066	0.37420994	No	
row_52	Csf1	2376	1.8006951808929443	0.37087113	No	
row_53	Timp1	2433	1.7499560117721558	0.37095538	No	
row_54	P2ry2	2603	1.5788476467132568	0.3650079	No	
row_55	Irak2	2618	1.5658519268035889	0.3669191	No	
row_56	P2rx4	2632	1.5528481006622314	0.36885935	No	
row_57	Aqp9	2675	1.5137840509414673	0.36925977	No	
row_58	P2rx7	2699	1.4986329078674316	0.3706008	No	
row_59	Slc11a2	2707	1.4921860694885254	0.37274447	No	
row_60	Ripk2	2792	1.4341317415237427	0.3708761	No	
row_61	Nmi	2807	1.4219775199890137	0.37254632	No	
row_62	Irf1	2907	1.34734046459198	0.36976996	No	
row_63	Raf1	2912	1.3443939685821533	0.3718186	No	
row_64	Cmklr1	2970	1.3069612979888916	0.37110993	No	
row_65	Sphk1	3034	1.2631665468215942	0.37002286	No	
row_66	Csf3	3060	1.249956727027893	0.37084565	No	
row_67	Ldlr	3133	1.2028239965438843	0.36919993	No	
row_68	Lyn	3146	1.1967304944992065	0.37059447	No	
row_69	Slc7a2	3210	1.1550043821334839	0.36932623	No	
row_70	Nod2	3228	1.1426951885223389	0.37037605	No	
row_71	Lamp3	3248	1.1295984983444214	0.37130228	No	
row_72	Ifngr2	3332	1.0772632360458374	0.36888698	No	
row_73	Il1a	3513	0.9746079444885254	0.3613681	No	
row_74	Fzd5	3533	0.9660449624061584	0.3620203	No	
row_75	Sema4d	3928	0.772291898727417	0.3432825	No	
row_76	Icam4	4135	0.6886902451515198	0.33396277	No	
row_77	Kif1b	4800	0.45103180408477783	0.3009596	No	
row_78	Lcp2	4965	0.39003172516822815	0.29327494	No	
row_79	Tlr2	4976	0.3851676285266876	0.29341173	No	
row_80	Sell	5202	0.30735987424850464	0.28248727	No	
row_81	Rgs1	5301	0.2751624882221222	0.27796572	No	
row_82	Adrm1	5326	0.2662236988544464	0.2771915	No	
row_83	Il18rap	5674	0.1608462929725647	0.25981897	No	
row_84	Olr1	5865	0.10418954491615295	0.2503336	No	
row_85	Hrh1	5897	0.09603910893201828	0.24891841	No	
row_86	Tacr3	5915	0.08964831382036209	0.24820428	No	
row_87	Ereg	6263	-0.007446685805916786	0.23057477	No	
row_88	Scarf1	6270	-0.00954659003764391	0.23028572	No	
row_89	Npffr2	6293	-0.014930670149624348	0.22919221	No	
row_90	Slc31a2	6506	-0.0755721926689148	0.21854043	No	
row_91	Lif	6549	-0.08659260720014572	0.21655014	No	
row_92	Ptpre	6552	-0.0869017019867897	0.21659403	No	
row_93	Cd69	6640	-0.10914744436740875	0.21235365	No	
row_94	Ptger4	6663	-0.1146765649318695	0.21142724	No	
row_95	Gnai3	6718	-0.1310134083032608	0.20890126	No	
row_96	Nfkb1	6978	-0.19823506474494934	0.1960654	No	
row_97	Rasgrp1	7231	-0.25941887497901917	0.18368791	No	
row_98	C3ar1	7309	-0.27693673968315125	0.18023703	No	
row_99	Il6	7751	-0.35716885328292847	0.15841424	No	
row_100	Osm	7763	-0.3586953580379486	0.15845585	No	
row_101	Csf3r	7862	-0.3733927607536316	0.15409887	No	
row_102	Atp2c1	7954	-0.38646987080574036	0.15011968	No	
row_103	Slc1a2	8137	-0.41560208797454834	0.14156272	No	
row_104	Tpbg	8744	-0.5046460032463074	0.11159814	No	
row_105	Gpr183	8887	-0.5240145921707153	0.10525644	No	
row_106	Itga5	8904	-0.5265803337097168	0.10532506	No	
row_107	Nampt	9255	-0.5807587504386902	0.08850339	No	
row_108	Icam1	9523	-0.6186834573745728	0.07596509	No	
row_109	Clec5a	9742	-0.6496791839599609	0.065969944	No	
row_110	Cd48	9764	-0.6520373821258545	0.06599451	No	
row_111	Cxcr6	10028	-0.6927648782730103	0.05378367	No	
row_112	Oprk1	10045	-0.6945072412490845	0.054133583	No	
row_113	Il1b	10048	-0.6947630047798157	0.055195704	No	
row_114	Fpr1	10095	-0.7009561657905579	0.05403118	No	
row_115	Dcbld2	10237	-0.7244192957878113	0.04807602	No	
row_116	Best1	10282	-0.7318839430809021	0.04706498	No	
row_117	Gabbr1	10375	-0.745350182056427	0.04363611	No	
row_118	Msr1	10402	-0.7486039996147156	0.043568227	No	
row_119	Ebi3	10459	-0.7573914527893066	0.041989822	No	
row_120	Mefv	10507	-0.764991283416748	0.040881716	No	
row_121	Ifnar1	10635	-0.7827833890914917	0.035736103	No	
row_122	Tlr1	10825	-0.8122034072875977	0.027487604	No	
row_123	Aplnr	10892	-0.8227663040161133	0.025510293	No	
row_124	Sele	11478	-0.9141019582748413	-0.002700722	No	
row_125	Kcna3	11822	-0.9706109166145325	-0.018513452	No	
row_126	Ndp	11956	-0.9947862029075623	-0.023608986	No	
row_127	Sri	12289	-1.049540638923645	-0.038730245	No	
row_128	Gp1ba	12426	-1.073899507522583	-0.04384578	No	
row_129	Ros1	12583	-1.1041324138641357	-0.049927503	No	
row_130	Ptger2	12733	-1.1349726915359497	-0.05560167	No	
row_131	Nmur1	12855	-1.1571877002716064	-0.059815068	No	
row_132	Ptafr	12920	-1.1708413362503052	-0.06110763	No	
row_133	Stab1	13008	-1.1912217140197754	-0.06353541	No	
row_134	Ccl24	13470	-1.2815110683441162	-0.08482664	No	
row_135	Ccl5	13584	-1.3025233745574951	-0.08838985	No	
row_136	Nlrp3	14014	-1.3940365314483643	-0.10786566	No	
row_137	Prok2	14218	-1.4381134510040283	-0.11577747	No	
row_138	Mmp14	14383	-1.479092001914978	-0.12163783	No	
row_139	Tnfsf15	14463	-1.4972317218780518	-0.12314627	No	
row_140	Lck	14483	-1.5011534690856934	-0.12159766	No	
row_141	Il12b	14488	-1.5021225214004517	-0.11928481	No	
row_142	Vip	15104	-1.664711356163025	-0.14776371	No	
row_143	Slc28a2	15217	-1.6980317831039429	-0.15061356	No	
row_144	Adgre1	15627	-1.8353136777877808	-0.16833337	No	
row_145	Ccl20	15911	-1.9308909177780151	-0.17948703	No	
row_146	Kcnj2	16078	-1.9896340370178223	-0.18459386	No	
row_147	Il7r	16079	-1.9896363019943237	-0.18126099	No	
row_148	Ffar2	16112	-2.002035140991211	-0.1795343	No	
row_149	Il2rb	16665	-2.2178330421447754	-0.20388365	No	
row_150	Ccl17	16668	-2.218503475189209	-0.2002691	No	
row_151	Cybb	16689	-2.2251250743865967	-0.1975586	No	
row_152	Kcnmb2	16843	-2.2976107597351074	-0.20148858	No	
row_153	Slamf1	16856	-2.3027143478393555	-0.19824138	No	
row_154	Lta	17107	-2.4302682876586914	-0.20688078	No	
row_155	Selenos	17250	-2.5083398818969727	-0.20989852	No	
row_156	Ccl22	17274	-2.5160624980926514	-0.2068532	No	
row_157	Ccl7	17407	-2.594555616378784	-0.2092181	No	
row_158	Marco	17439	-2.6133358478546143	-0.20641656	No	
