NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ly6e	9	16.838808059692383	0.037509676	Yes	
row_1	Irf7	19	15.069114685058594	0.071029395	Yes	
row_2	Isg20	23	14.512524604797363	0.10359767	Yes	
row_3	Isg15	35	13.21880054473877	0.13284452	Yes	
row_4	Lgals3bp	36	13.073877334594727	0.16232093	Yes	
row_5	Ifitm3	44	12.625082015991211	0.19043148	Yes	
row_6	Ifi44	63	11.49500560760498	0.21543783	Yes	
row_7	Rtp4	70	11.292814254760742	0.2405952	Yes	
row_8	Bst2	81	10.852154731750488	0.26455677	Yes	
row_9	Ddx60	86	10.61610221862793	0.28828958	Yes	
row_10	Ifitm1	91	10.512150764465332	0.31178802	Yes	
row_11	Samd9l	132	9.476325035095215	0.33113042	Yes	
row_12	Ifit3	139	9.271775245666504	0.35173115	Yes	
row_13	Parp9	163	8.828815460205078	0.37047344	Yes	
row_14	Tent5a	178	8.658102035522461	0.38928598	Yes	
row_15	Parp14	231	7.979174613952637	0.404646	Yes	
row_16	Plscr1	244	7.898658275604248	0.42184746	Yes	
row_17	Cd47	280	7.512021541595459	0.437014	Yes	
row_18	Parp12	304	7.3036065101623535	0.45231757	Yes	
row_19	Psmb8	314	7.157464027404785	0.46799964	Yes	
row_20	Stat2	348	6.805685043334961	0.48167482	Yes	
row_21	Trim25	352	6.75792932510376	0.49675953	Yes	
row_22	Oas1a	357	6.711450099945068	0.5116889	Yes	
row_23	Trafd1	370	6.555014610290527	0.52586097	Yes	
row_24	Eif2ak2	384	6.420750617980957	0.53967977	Yes	
row_25	Irf9	446	5.970256805419922	0.5500553	Yes	
row_26	Tap1	543	5.51200532913208	0.5576276	Yes	
row_27	Gbp3	709	4.886940956115723	0.560301	Yes	
row_28	Tmem140	725	4.852049350738525	0.57048184	Yes	
row_29	Elf1	764	4.717796802520752	0.5791968	Yes	
row_30	Ifih1	775	4.675695419311523	0.5892329	Yes	
row_31	Herc6	779	4.645299911499023	0.5995545	Yes	
row_32	Txnip	860	4.3952507972717285	0.60541815	Yes	
row_33	Ifitm2	929	4.1626973152160645	0.6113643	Yes	
row_34	Dhx58	1085	3.7508275508880615	0.611982	Yes	
row_35	Trim12c	1162	3.5797016620635986	0.61620915	Yes	
row_36	Lap3	1191	3.5298874378204346	0.6227516	Yes	
row_37	Psmb9	1325	3.2400636672973633	0.6233303	Yes	
row_38	B2m	1384	3.1621761322021484	0.62752646	Yes	
row_39	Helz2	1405	3.1218271255493164	0.63355345	Yes	
