NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Map3k6	795	4.571512699127197	-0.002519184	No	
row_1	Hk2	1267	3.3258447647094727	0.0010685637	No	
row_2	Ipo4	5171	0.31878572702407837	-0.19334014	No	
row_3	Pprc1	6644	-0.11053390800952911	-0.26674032	No	
row_4	Pus1	7381	-0.2905319631099701	-0.30150467	No	
row_5	Grwd1	7527	-0.32044336199760437	-0.30618802	No	
row_6	Wdr74	8316	-0.4416317343711853	-0.34233418	No	
row_7	Slc29a2	8336	-0.4439137876033783	-0.33964086	No	
row_8	Tfb2m	8491	-0.4690588712692261	-0.34355572	No	
row_9	Noc4l	8574	-0.4791930019855499	-0.34375247	No	
row_10	Tbrg4	8751	-0.5057297945022583	-0.34847623	No	
row_11	Bysl	9570	-0.6253101229667664	-0.38462558	No	
row_12	Aimp2	9770	-0.6529845595359802	-0.3892988	No	
row_13	Exosc5	10232	-0.7231906056404114	-0.40662068	No	
row_14	Nop2	10529	-0.7682281732559204	-0.41524246	No	
row_15	Ppan	10653	-0.7852478623390198	-0.41499078	No	
row_16	Utp20	11302	-0.8854889869689941	-0.44041747	No	
row_17	Rrp12	11519	-0.9211454391479492	-0.44374248	No	
row_18	Nop16	11701	-0.9512417912483215	-0.44505298	No	
row_19	Slc19a1	11707	-0.9520809054374695	-0.43747175	No	
row_20	Ndufaf4	11817	-0.9699464440345764	-0.43499362	No	
row_21	Mcm4	12545	-1.0962531566619873	-0.46267423	No	
row_22	Supv3l1	13044	-1.1978615522384644	-0.47795838	No	
row_23	Prmt3	13660	-1.3160631656646729	-0.49817643	No	
row_24	Ddx18	14536	-1.5156067609786987	-0.52987796	No	
row_25	Pes1	14867	-1.598206639289856	-0.5333871	No	
row_26	Rrp9	15663	-1.8427414894104004	-0.55835843	Yes	
row_27	Ung	15822	-1.8986111879348755	-0.55071294	Yes	
row_28	Plk1	15918	-1.933241844177246	-0.53960216	Yes	
row_29	Cdk4	16056	-1.9819414615631104	-0.530211	Yes	
row_30	Mcm5	16324	-2.076773166656494	-0.52660215	Yes	
row_31	Las1l	16430	-2.1168861389160156	-0.5144852	Yes	
row_32	Sord	16437	-2.1226706504821777	-0.49732286	Yes	
row_33	Tcof1	16475	-2.137938976287842	-0.4815999	Yes	
row_34	Mphosph10	16778	-2.265726089477539	-0.47820327	Yes	
row_35	Wdr43	16781	-2.266573667526245	-0.45965502	Yes	
row_36	Pa2g4	16915	-2.3352625370025635	-0.44715476	Yes	
row_37	Rabepk	17018	-2.3874149322509766	-0.43266043	Yes	
row_38	Gnl3	17201	-2.480419397354126	-0.42143947	Yes	
row_39	Imp4	17328	-2.5435500144958496	-0.40687206	Yes	
row_40	Myc	17621	-2.734912633895874	-0.39911017	Yes	
row_41	Mrto4	17697	-2.7873950004577637	-0.37996182	Yes	
row_42	Cbx3	17780	-2.8455746173858643	-0.36068818	Yes	
row_43	Farsa	17851	-2.8958733081817627	-0.34039488	Yes	
row_44	Dusp2	17868	-2.9092190265655518	-0.31726575	Yes	
row_45	Mybbp1a	17918	-2.9479496479034424	-0.29548383	Yes	
row_46	Rcl1	18013	-3.0085508823394775	-0.275475	Yes	
row_47	Srm	18039	-3.0385799407958984	-0.25173584	Yes	
row_48	Tmem97	18069	-3.063439130783081	-0.22799405	Yes	
row_49	Nop56	18192	-3.176900863647461	-0.20801355	Yes	
row_50	Nip7	18212	-3.190164566040039	-0.18272425	Yes	
row_51	Nolc1	18251	-3.225579261779785	-0.15810274	Yes	
row_52	Dctpp1	18661	-3.6867940425872803	-0.14841524	Yes	
row_53	Npm1	19270	-4.958093643188477	-0.1383135	Yes	
row_54	Plk4	19559	-6.202385902404785	-0.101819545	Yes	
row_55	Hspd1	19647	-6.965262413024902	-0.048901796	Yes	
row_56	Hspe1	19682	-7.274769306182861	0.009238108	Yes	
