NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Klf5	90	10.515143394470215	0.014351579	No	
row_1	Ablim1	117	9.860596656799316	0.030779125	No	
row_2	Clu	133	9.470293045043945	0.047063418	No	
row_3	Plxnb2	149	9.131460189819336	0.06273779	No	
row_4	Cryab	168	8.760668754577637	0.077592194	No	
row_5	Hbegf	291	7.4132513999938965	0.08473312	No	
row_6	Bhlhe40	319	7.099650859832764	0.09613998	No	
row_7	Acsl1	365	6.588018894195557	0.10571065	No	
row_8	Erbb3	367	6.574979782104492	0.11749508	No	
row_9	Igfbp7	385	6.415118217468262	0.12817822	No	
row_10	Vipr1	410	6.280638217926025	0.13826336	No	
row_11	Cdkn1a	423	6.1719970703125	0.14876309	No	
row_12	Kifc3	437	6.04070520401001	0.15897566	No	
row_13	Wwtr1	463	5.85991096496582	0.16825262	No	
row_14	Gsn	476	5.812222003936768	0.17810474	No	
row_15	Slc6a8	557	5.454217910766602	0.18385488	No	
row_16	App	568	5.4024176597595215	0.19307102	No	
row_17	Mapk12	746	4.790099143981934	0.19269359	No	
row_18	Spdef	767	4.7073540687561035	0.20015013	No	
row_19	Itgb5	772	4.688816547393799	0.20838684	No	
row_20	Hdac5	896	4.270463466644287	0.20981976	No	
row_21	Hspb8	949	4.109414100646973	0.21457288	No	
row_22	Atp6ap1	964	4.07725191116333	0.22120029	No	
row_23	Hspb2	1039	3.8813462257385254	0.22442424	No	
row_24	Ephb3	1192	3.5273451805114746	0.22304496	No	
row_25	Fhl1	1295	3.2856011390686035	0.22377285	No	
row_26	Ifrd1	1371	3.183464288711548	0.22568975	No	
row_27	Sorbs3	1394	3.146423816680908	0.23023485	No	
row_28	Akt2	1493	2.966215133666992	0.23059121	No	
row_29	Myo1c	1521	2.921091318130493	0.23447646	No	
row_30	Agrn	1593	2.794673204421997	0.2358969	No	
row_31	Crat	1608	2.7737131118774414	0.24017787	No	
row_32	Nav2	1614	2.765805959701538	0.24490222	No	
row_33	Flii	1645	2.7160704135894775	0.24826588	No	
row_34	Pcx	1662	2.6867222785949707	0.25228858	No	
row_35	Tead4	1693	2.6522929668426514	0.25553742	No	
row_36	Myl7	1811	2.462305784225464	0.25402063	No	
row_37	Foxo4	2154	2.054265260696411	0.2403289	No	
row_38	Itgb4	2386	1.7907147407531738	0.2318067	No	
row_39	Itgb1	2483	1.6965348720550537	0.22997928	No	
row_40	Cd36	2684	1.508030652999878	0.22252448	No	
row_41	Mb	2729	1.4794962406158447	0.2229504	No	
row_42	Sphk1	3034	1.2631665468215942	0.20976679	No	
row_43	Tpd52l1	3157	1.189666986465454	0.20570497	No	
row_44	Bag1	3167	1.1834670305252075	0.20737764	No	
row_45	Gabarapl2	3502	0.9806528091430664	0.1921601	No	
row_46	Ctf1	3598	0.9356080293655396	0.18901382	No	
row_47	Dtna	3687	0.8834137916564941	0.18612951	No	
row_48	Sorbs1	3708	0.8760178089141846	0.18668945	No	
row_49	Igfbp3	3718	0.8726379871368408	0.18780263	No	
row_50	Chrnb1	3890	0.7873972058296204	0.18052521	No	
row_51	Sod3	4002	0.7396001219749451	0.17621255	No	
row_52	Ppp1r3c	4004	0.7389506101608276	0.17749186	No	
row_53	Sh2b1	4205	0.6592261791229248	0.16850917	No	
row_54	Myh9	4212	0.6559939980506897	0.16938491	No	
row_55	Dmd	4384	0.5911070108413696	0.16175418	No	
row_56	Myom1	4403	0.584606945514679	0.16189125	No	
row_57	Fkbp1b	4519	0.5468264818191528	0.15702821	No	
row_58	Large1	4761	0.4642939865589142	0.14560993	No	
row_59	Tpm3	4888	0.4190254807472229	0.13995753	No	
row_60	Smtn	4922	0.40416228771209717	0.1390071	No	
row_61	Mef2d	5375	0.2494463473558426	0.11647345	No	
row_62	Efs	5378	0.24874785542488098	0.116819516	No	
row_63	Fdps	5421	0.2383590191602707	0.11511302	No	
row_64	Pgam2	5427	0.23710785806179047	0.11528559	No	
row_65	Sptan1	5454	0.23022477328777313	0.114378	No	
row_66	Rit1	5624	0.1756497621536255	0.1061011	No	
row_67	Cox7a1	5653	0.1680636703968048	0.10497992	No	
row_68	Fxyd1	5723	0.14913807809352875	0.10173996	No	
row_69	Myl1	5837	0.11175835877656937	0.09619547	No	
row_70	Dennd2b	6149	0.027385052293539047	0.08043147	No	
row_71	Sirt2	6924	-0.18529269099235535	0.04140974	No	
row_72	Cacng1	7009	-0.20679892599582672	0.037510872	No	
row_73	Sln	7060	-0.21762028336524963	0.03536027	No	
row_74	Cav3	7379	-0.2900165915489197	0.019713096	No	
row_75	Itga7	8414	-0.4568297266960144	-0.03203997	No	
row_76	Tsc2	8530	-0.47313976287841797	-0.03703565	No	
