NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hes1	100	10.278382301330566	0.15376261	Yes	
row_1	Notch3	1035	3.9004311561584473	0.16693473	Yes	
row_2	Jag1	1064	3.794449806213379	0.22414854	Yes	
row_3	Wnt5a	1247	3.37743878364563	0.26715496	Yes	
row_4	Fzd1	1354	3.20229172706604	0.31128708	Yes	
row_5	Psenen	1794	2.483863592147827	0.3275299	Yes	
row_6	Maml2	1827	2.450282335281372	0.36377418	Yes	
row_7	Ppard	1851	2.4183051586151123	0.3999782	Yes	
row_8	Rbx1	1966	2.273176908493042	0.42935184	Yes	
row_9	Aph1a	2257	1.9280143976211548	0.44451895	Yes	
row_10	Sap30	2450	1.7311102151870728	0.46158484	Yes	
row_11	Ccnd1	2475	1.7044535875320435	0.48670918	Yes	
row_12	Notch2	2639	1.5471185445785522	0.50239444	Yes	
row_13	Fzd7	3033	1.2644927501678467	0.50211686	No	
row_14	Fzd5	3533	0.9660449624061584	0.49188375	No	
row_15	Cul1	3808	0.8264753818511963	0.4908384	No	
row_16	Skp1	4073	0.711409330368042	0.48851943	No	
row_17	Dtx4	4394	0.5880922079086304	0.48147175	No	
row_18	Fbxw11	6268	-0.009078782051801682	0.3871782	No	
row_19	Heyl	6489	-0.07089158147573471	0.37718147	No	
row_20	St3gal6	8153	-0.41912752389907837	0.2998112	No	
row_21	Dll1	8280	-0.4362182915210724	0.3001982	No	
row_22	Tcf7l2	9910	-0.6732312440872192	0.22846815	No	
row_23	Lfng	10602	-0.7776669859886169	0.2056442	No	
row_24	Arrb1	11386	-0.9007293581962585	0.18008311	No	
row_25	Psen2	13424	-1.2727652788162231	0.09704533	No	
row_26	Notch1	14654	-1.5460684299468994	0.05896831	No	
row_27	Dtx1	15344	-1.7374788522720337	0.051074613	No	
row_28	Dtx2	16368	-2.089670419692993	0.03178263	No	
row_29	Wnt2	16468	-2.1349480152130127	0.059776865	No	
row_30	Kat2a	18025	-3.020559310913086	0.02799438	No	
row_31	Prkca	18967	-4.189234256744385	0.045275677	No	
