NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Atp1b1	58	11.865161895751953	0.02843861	No	
row_1	Por	83	10.73185920715332	0.055606678	No	
row_2	Ndufa4	454	5.911503791809082	0.052447397	No	
row_3	Atp6v1g1	489	5.748720645904541	0.065926366	No	
row_4	Acaa2	551	5.476044654846191	0.07731247	No	
row_5	Acadm	698	4.926786422729492	0.0829277	No	
row_6	Fdx1	719	4.875182151794434	0.09480723	No	
row_7	Cyb5a	778	4.655549049377441	0.1041754	No	
row_8	Atp6ap1	964	4.07725191116333	0.10556229	No	
row_9	Idh2	976	4.052249908447266	0.11572226	No	
row_10	Slc25a5	1153	3.60300874710083	0.1163119	No	
row_11	Ldhb	1230	3.4106013774871826	0.12147261	No	
row_12	Atp6v0c	1255	3.364962577819824	0.1291542	No	
row_13	Ndufa6	1262	3.3415048122406006	0.13768816	No	
row_14	Atp6v1d	1278	3.3063151836395264	0.14567183	No	
row_15	Tcirg1	1326	3.2386586666107178	0.15185092	No	
row_16	Ech1	1353	3.202301025390625	0.15900066	No	
row_17	Atp6v1e1	1476	3.007719039916992	0.16075888	No	
row_18	Idh1	1487	2.988849639892578	0.16815682	No	
row_19	Polr2f	1585	2.80397891998291	0.17064612	No	
row_20	Oat	1887	2.381427764892578	0.1616545	No	
row_21	Timm8b	1948	2.2945950031280518	0.16467601	No	
row_22	Acadvl	2018	2.225968599319458	0.16705881	No	
row_23	Pdha1	2043	2.1966376304626465	0.17165002	No	
row_24	Vdac2	2155	2.053382158279419	0.17144269	No	
row_25	Atp6v0b	2240	1.9532973766326904	0.17234223	No	
row_26	Pdk4	2272	1.9131896495819092	0.17582808	No	
row_27	Ldha	2336	1.8405768871307373	0.17749625	No	
row_28	Uqcr10	2411	1.769349217414856	0.17841724	No	
row_29	Gpx4	2447	1.7334293127059937	0.18122439	No	
row_30	Cyb5r3	2454	1.7205506563186646	0.18547069	No	
row_31	Mrps12	2656	1.5245203971862793	0.17929244	No	
row_32	Retsat	3077	1.238077998161316	0.16123128	No	
row_33	Mtrr	3253	1.128315806388855	0.15532582	No	
row_34	Bckdha	3256	1.1277339458465576	0.15820724	No	
row_35	Timm13	3362	1.0612995624542236	0.1556805	No	
row_36	Mfn2	3457	1.0086109638214111	0.15357322	No	
row_37	Gpi1	3575	0.9474361538887024	0.15013571	No	
row_38	Atp6v1f	3653	0.9019943475723267	0.14861	No	
row_39	Ndufb8	3659	0.8991519808769226	0.15073438	No	
row_40	Alas1	4117	0.6927345395088196	0.12935111	No	
row_41	Acaa1a	4120	0.691996693611145	0.13107994	No	
row_42	Ndufb7	4151	0.6815275549888611	0.13135867	No	
row_43	Oxa1l	4353	0.6037471890449524	0.12274485	No	
row_44	Fxn	4468	0.5654414892196655	0.11844931	No	
row_45	Timm50	4528	0.544678807258606	0.11689285	No	
row_46	Surf1	4536	0.5425387620925903	0.117972344	No	
row_47	Mrps15	4602	0.5188462138175964	0.11604276	No	
row_48	Ndufs7	4624	0.5093933939933777	0.116323374	No	
row_49	Got2	4737	0.47163018584251404	0.11188129	No	
row_50	Casp7	4804	0.44957515597343445	0.109717675	No	
row_51	Uqcrb	4865	0.4266835153102875	0.10779831	No	
row_52	Dlat	4885	0.4199393689632416	0.1079439	No	
row_53	Grpel1	5077	0.35009029507637024	0.09916712	No	
row_54	Cpt1a	5144	0.32817453145980835	0.096682385	No	
row_55	Ndufa3	5466	0.22548244893550873	0.08097198	No	
row_56	Sdhd	5685	0.15789254009723663	0.070315205	No	
row_57	Cox10	5844	0.11060402542352676	0.06258135	No	
row_58	Cox11	5913	0.0908142551779747	0.05936716	No	
row_59	Ndufs3	5914	0.09011775255203247	0.059605535	No	
row_60	Ndufs8	5994	0.06939349323511124	0.055775885	No	
row_61	Sdhc	6025	0.06109871342778206	0.054413494	No	
row_62	Cox8a	6135	0.03165386617183685	0.04896001	No	
row_63	Eci1	6207	0.007878381758928299	0.045374047	No	
row_64	Uqcrc1	6310	-0.019644536077976227	0.040244397	No	
row_65	Aldh6a1	6354	-0.03195352479815483	0.038144514	No	
row_66	Etfb	6416	-0.04560152441263199	0.03516633	No	
row_67	Acadsb	6443	-0.056467313319444656	0.03399489	No	
row_68	Rhot2	6496	-0.07336767017841339	0.031547353	No	
row_69	Cyc1	6526	-0.07905136048793793	0.030283254	No	
row_70	Decr1	6717	-0.13074944913387299	0.020977084	No	
row_71	Hsd17b10	6739	-0.13660472631454468	0.020271622	No	
row_72	Ndufb6	6757	-0.1412736475467682	0.019781707	No	
row_73	Mtx2	7030	-0.21105705201625824	0.006522355	No	
row_74	Ndufs6	7148	-0.2385953962802887	0.0012098614	No	
row_75	Pdhx	7202	-0.25265219807624817	-8.142436E-4	No	
row_76	Mrpl34	7337	-0.28279268741607666	-0.006873431	No	
row_77	Slc25a12	7947	-0.3853328824043274	-0.036791433	No	
row_78	Hccs	7950	-0.385769784450531	-0.03587262	No	
row_79	Mdh1	7953	-0.3863026797771454	-0.034952395	No	
row_80	Gm10053	8113	-0.4114944636821747	-0.04194115	No	
row_81	Vdac1	8518	-0.47130531072616577	-0.061217725	No	
row_82	Hadhb	8522	-0.47205817699432373	-0.060121465	No	
row_83	Idh3a	8692	-0.49601179361343384	-0.06739466	No	
row_84	Slc25a3	8700	-0.4979434609413147	-0.06643313	No	
row_85	Ndufa7	10290	-0.7328571677207947	-0.14521599	No	
row_86	Opa1	10316	-0.7351531982421875	-0.1445414	No	
row_87	Ndufv1	10317	-0.7353531718254089	-0.14259629	No	
row_88	Maob	10380	-0.7459169626235962	-0.14377284	No	
row_89	Ndufa8	10461	-0.757460355758667	-0.14583327	No	
row_90	Cox5a	10724	-0.7959979772567749	-0.15703736	No	
row_91	Phb2	10860	-0.8171907067298889	-0.16173379	No	
row_92	Mrps11	11033	-0.8457862734794617	-0.16823418	No	
row_93	Mtrf1	11039	-0.8466999530792236	-0.16624855	No	
row_94	Bdh2	11621	-0.9387053847312927	-0.1932804	No	
row_95	Cox5b	11647	-0.942339301109314	-0.19205779	No	
row_96	Ndufb5	11990	-1.0010541677474976	-0.20678349	No	
row_97	Ndufc1	12064	-1.0127531290054321	-0.20781302	No	
row_98	Ndufs4	12093	-1.0183578729629517	-0.20654173	No	
row_99	Immt	12307	-1.0530065298080444	-0.2145768	No	
row_100	Cox7b	12904	-1.1674315929412842	-0.24176563	No	
row_101	Tomm22	12948	-1.1774260997772217	-0.24083559	No	
row_102	Supv3l1	13044	-1.1978615522384644	-0.24249308	No	
row_103	Pmpca	13095	-1.2084815502166748	-0.24183649	No	
row_104	Pdp1	13180	-1.2218890190124512	-0.24287163	No	
row_105	Uqcr11	13189	-1.2231407165527344	-0.24004266	No	
row_106	Cox15	13242	-1.2343664169311523	-0.23941918	No	
row_107	Sdhb	13297	-1.2459442615509033	-0.23886669	No	
row_108	Mrpl35	13510	-1.2893706560134888	-0.24622574	No	
row_109	Lrpprc	13628	-1.310998558998108	-0.24870159	No	
row_110	Hspa9	13742	-1.3341706991195679	-0.25091293	No	
row_111	Atp6v0e	13961	-1.3817604780197144	-0.2583324	No	
row_112	Ndufa2	14522	-1.5119105577468872	-0.28278124	No	
row_113	Glud1	14682	-1.5527044534683228	-0.28675133	No	
row_114	Sucla2	14828	-1.5888594388961792	-0.2899146	No	
row_115	Idh3b	14975	-1.628125548362732	-0.29302478	No	
row_116	Ndufb2	15015	-1.6375008821487427	-0.29067457	No	
row_117	Afg3l2	15123	-1.6701078414916992	-0.29169253	No	
row_118	Uqcrh	15287	-1.719345211982727	-0.29542503	No	
row_119	Cox7c	15317	-1.7299867868423462	-0.29232216	No	
row_120	Ndufa9	15331	-1.7344566583633423	-0.2883947	No	
row_121	Ndufs1	15423	-1.7658826112747192	-0.2883465	No	
row_122	Ndufb3	15670	-1.8448060750961304	-0.29596356	No	
row_123	Idh3g	15755	-1.874961018562317	-0.29527122	No	
row_124	Dld	15786	-1.88478684425354	-0.2918097	No	
row_125	Timm17a	15955	-1.946615219116211	-0.29519504	No	
row_126	Cox6b1	16097	-1.9963549375534058	-0.2970772	Yes	
row_127	Slc25a11	16104	-1.998950719833374	-0.29209453	Yes	
row_128	Mrpl15	16109	-2.0010488033294678	-0.28700465	Yes	
row_129	Mrps30	16123	-2.0066263675689697	-0.28235725	Yes	
row_130	Mrps22	16242	-2.046462059020996	-0.28293848	Yes	
row_131	Aifm1	16487	-2.1427483558654785	-0.28966585	Yes	
row_132	Abcb7	16529	-2.160249710083008	-0.2860345	Yes	
row_133	Fh1	16552	-2.1685941219329834	-0.28141585	Yes	
row_134	Sdha	16658	-2.211456537246704	-0.28090024	Yes	
row_135	Slc25a20	16686	-2.2246670722961426	-0.2763873	Yes	
row_136	Uqcrc2	16696	-2.2276899814605713	-0.27095196	Yes	
row_137	Timm10	16728	-2.2438154220581055	-0.26659155	Yes	
row_138	Dlst	16796	-2.274129629135132	-0.26397976	Yes	
row_139	Iscu	16806	-2.2813565731048584	-0.25840244	Yes	
row_140	Cs	16809	-2.282528877258301	-0.25246644	Yes	
row_141	Ndufa5	16894	-2.3255834579467773	-0.25058216	Yes	
row_142	Atp6v1h	17043	-2.397165536880493	-0.25175974	Yes	
row_143	Cox7a2	17097	-2.4255857467651367	-0.24803612	Yes	
row_144	Rhot1	17254	-2.5092413425445557	-0.24932364	Yes	
row_145	Ndufab1	17256	-2.509694814682007	-0.24273595	Yes	
row_146	Pdhb	17281	-2.518515110015869	-0.23729332	Yes	
row_147	Ogdh	17320	-2.5411627292633057	-0.232502	Yes	
row_148	Aco2	17521	-2.670111894607544	-0.23559919	Yes	
row_149	Ndufs2	17563	-2.699763298034668	-0.23054075	Yes	
row_150	Mdh2	17645	-2.7507336139678955	-0.22737947	Yes	
row_151	Uqcrfs1	17829	-2.882277488708496	-0.22905187	Yes	
