NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Nupr1	3	18.307252883911133	0.028807774	Yes	
row_1	Zfp36l1	30	13.912583351135254	0.049494192	Yes	
row_2	Ctsd	43	12.640595436096191	0.06888027	Yes	
row_3	Pmm1	60	11.679335594177246	0.086542346	Yes	
row_4	Fos	61	11.65576171875	0.10498063	Yes	
row_5	St14	110	10.055179595947266	0.11844644	Yes	
row_6	Btg2	122	9.763673782348633	0.13333234	Yes	
row_7	Perp	125	9.711812973022461	0.14859381	Yes	
row_8	Sat1	136	9.307852745056152	0.16280949	Yes	
row_9	Plxnb2	149	9.131460189819336	0.17664446	Yes	
row_10	Klf4	162	8.82917594909668	0.19000123	Yes	
row_11	Cdkn2a	199	8.396800994873047	0.20145378	Yes	
row_12	Jun	201	8.39263916015625	0.21467927	Yes	
row_13	Tm4sf1	219	8.169386863708496	0.22673811	Yes	
row_14	Prkab1	220	8.165166854858398	0.23965462	Yes	
row_15	Ephx1	224	8.076366424560547	0.25227812	Yes	
row_16	Ier3	233	7.972142219543457	0.26448253	Yes	
row_17	Gpx2	250	7.812532424926758	0.27602768	Yes	
row_18	Atf3	259	7.704720497131348	0.28780907	Yes	
row_19	Vamp8	273	7.573412895202637	0.2991285	Yes	
row_20	Btg1	281	7.502602577209473	0.310641	Yes	
row_21	Hbegf	291	7.4132513999938965	0.32191044	Yes	
row_22	Cd81	317	7.121958255767822	0.33190557	Yes	
row_23	Tax1bp3	324	7.074497222900391	0.34279168	Yes	
row_24	Gm2a	332	7.002030849456787	0.35351232	Yes	
row_25	Cdkn2b	333	6.99970006942749	0.36458516	Yes	
row_26	Trafd1	370	6.555014610290527	0.37312418	Yes	
row_27	Tcn2	376	6.479621410369873	0.3831201	Yes	
row_28	Sfn	383	6.429089069366455	0.39298522	Yes	
row_29	Fuca1	422	6.175341606140137	0.40082195	Yes	
row_30	Cdkn1a	423	6.1719970703125	0.41058546	Yes	
row_31	S100a10	469	5.846381187438965	0.41754588	Yes	
row_32	Sdc1	507	5.646200180053711	0.4245964	Yes	
row_33	Tap1	543	5.51200532913208	0.43153632	Yes	
row_34	App	568	5.4024176597595215	0.43886217	Yes	
row_35	Osgin1	573	5.3774542808532715	0.4471654	Yes	
row_36	Foxo3	580	5.349937915802002	0.45532343	Yes	
row_37	Epha2	602	5.268770217895508	0.4625904	Yes	
row_38	Stom	634	5.143071174621582	0.46915007	Yes	
row_39	Baiap2	649	5.107081890106201	0.47651717	Yes	
row_40	Tgfa	738	4.820326328277588	0.47966817	Yes	
row_41	Txnip	860	4.3952507972717285	0.48046893	Yes	
row_42	Aen	892	4.292033672332764	0.48568234	Yes	
row_43	Serpinb5	931	4.151556015014648	0.4903176	Yes	
row_44	Tsc22d1	1006	3.987269401550293	0.49286264	Yes	
row_45	Hras	1076	3.7586705684661865	0.49530026	Yes	
row_46	Ldhb	1230	3.4106013774871826	0.49291638	No	
row_47	Rxra	1768	2.5318820476531982	0.46961832	No	
row_48	Mxd1	1816	2.458334445953369	0.4711175	No	
row_49	Rab40c	1835	2.4354519844055176	0.47405496	No	
row_50	H2aj	1841	2.4291415214538574	0.4776434	No	
row_51	Ier5	1845	2.4248549938201904	0.48132676	No	
row_52	Sp1	1870	2.4014177322387695	0.48390532	No	
row_53	Cgrrf1	1937	2.3137412071228027	0.48420975	No	
row_54	Tchh	2015	2.2271831035614014	0.48381793	No	
row_55	F2r	2042	2.198042869567871	0.4859731	No	
