NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dpp4	1231	3.4096500873565674	-0.022895258	No	
row_1	Iapp	1579	2.809668779373169	-0.00810126	No	
row_2	Foxo1	1656	2.6938998699188232	0.019030275	No	
row_3	Pak3	2001	2.2356812953948975	0.027377954	No	
row_4	Srprb	2894	1.35536527633667	-0.002032125	No	
row_5	Spcs1	2972	1.3053979873657227	0.0090890145	No	
row_6	Pax4	4954	0.3930334448814392	-0.08630757	No	
row_7	Nkx6-1	6069	0.04772761091589928	-0.14194497	No	
row_8	Nkx2-2	8234	-0.4309808313846588	-0.24613522	No	
row_9	Isl1	8487	-0.46876075863838196	-0.25345704	No	
row_10	Pax6	8930	-0.5311266779899597	-0.26964492	No	
row_11	Srp14	10266	-0.7292191386222839	-0.3285954	No	
row_12	Foxa2	10924	-0.826651394367218	-0.3522302	No	
row_13	Slc2a2	11364	-0.8966719508171082	-0.36406505	No	
row_14	Neurod1	11395	-0.9019604325294495	-0.35521066	No	
row_15	G6pc2	11931	-0.9898993372917175	-0.37081578	No	
row_16	Neurog3	12303	-1.052294135093689	-0.3774322	No	
row_17	Pdx1	12365	-1.063504695892334	-0.3682845	No	
row_18	Sst	13550	-1.2972474098205566	-0.41309	No	
row_19	Scgn	14251	-1.448854923248291	-0.43174168	No	
row_20	Lmo2	14690	-1.5546813011169434	-0.4359627	Yes	
row_21	Ins2	15017	-1.638953447341919	-0.43356618	Yes	
row_22	Dcx	15195	-1.6925934553146362	-0.4230381	Yes	
row_23	Pklr	15391	-1.7510913610458374	-0.41274548	Yes	
row_24	Akt3	15443	-1.7729841470718384	-0.39493838	Yes	
row_25	Syt13	15879	-1.920183777809143	-0.39480683	Yes	
row_26	Gcg	16232	-2.04328989982605	-0.3890741	Yes	
row_27	Pcsk1	16383	-2.094203233718872	-0.37256795	Yes	
row_28	Elp4	16759	-2.2587947845458984	-0.36551812	Yes	
row_29	Abcc8	17001	-2.379481315612793	-0.35032263	Yes	
row_30	Gck	17028	-2.3900973796844482	-0.3241613	Yes	
row_31	Sec11a	17358	-2.565561056137085	-0.31126532	Yes	
row_32	Pcsk2	17801	-2.857456684112549	-0.30071348	Yes	
row_33	Vdr	18055	-3.0489141941070557	-0.2784285	Yes	
row_34	Mafb	18337	-3.304738998413086	-0.2546152	Yes	
row_35	Stxbp1	19178	-4.704388618469238	-0.24290764	Yes	
row_36	Chga	19264	-4.9414825439453125	-0.19039547	Yes	
row_37	Hnf1a	19787	-8.970027923583984	-0.11361836	Yes	
row_38	Insm1	19829	-10.222559928894043	0.0018156738	Yes	
