NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tspan8	6	17.402013778686523	0.08327344	Yes	
row_1	Atp1a1	80	10.879008293151855	0.13183013	Yes	
row_2	Krt18	131	9.506802558898926	0.17495975	Yes	
row_3	Tpd52	265	7.690096855163574	0.2051664	Yes	
row_4	Adam10	276	7.541392803192139	0.24087979	Yes	
row_5	Sgms1	355	6.735408782958984	0.26928306	Yes	
row_6	Atp6v1b1	466	5.853886127471924	0.29183418	Yes	
row_7	Ergic3	591	5.309752464294434	0.31106392	Yes	
row_8	Snx2	606	5.240938186645508	0.33552656	Yes	
row_9	Tmed10	785	4.6152496337890625	0.34868968	Yes	
row_10	Egfr	861	4.391933917999268	0.36598963	Yes	
row_11	Cav2	918	4.196377277374268	0.38331133	Yes	
row_12	Rer1	1163	3.5793330669403076	0.38816115	Yes	
row_13	Tsg101	1195	3.522779941558838	0.4035122	Yes	
row_14	Pam	1291	3.291499137878418	0.41451555	Yes	
row_15	Ap2b1	1299	3.274456262588501	0.4298878	Yes	
row_16	Gnas	1338	3.2172467708587646	0.4434174	Yes	
row_17	Rab5a	1639	2.7274580001831055	0.44134364	Yes	
row_18	Scamp1	1695	2.6501200199127197	0.45128968	Yes	
row_19	Stam	1719	2.6052746772766113	0.46263883	Yes	
row_20	Atp7a	1951	2.292965888977051	0.4619681	Yes	
row_21	Arfip1	2105	2.1243982315063477	0.46443275	Yes	
row_22	Ap1g1	2160	2.05141282081604	0.47155395	Yes	
row_23	Abca1	2250	1.9379334449768066	0.47636	Yes	
row_24	Stx12	2267	1.916890263557434	0.48475704	Yes	
row_25	Golga4	2347	1.8291339874267578	0.4895463	Yes	
row_26	Lamp2	2368	1.8078022003173828	0.49721712	Yes	
row_27	Scamp3	2417	1.7622653245925903	0.5032531	Yes	
row_28	Arfgap3	2596	1.5816389322280884	0.5018466	No	
row_29	Clta	2856	1.3845551013946533	0.4953969	No	
row_30	Arf1	3109	1.223300814628601	0.4885268	No	
row_31	Ica1	3199	1.1606662273406982	0.48959982	No	
row_32	Galc	3357	1.0628931522369385	0.48676407	No	
row_33	Sod1	3472	0.9983558058738708	0.48579317	No	
row_34	Vps4b	3663	0.8975740671157837	0.4804944	No	
row_35	Ap2s1	3803	0.8278154134750366	0.47744003	No	
row_36	Ppt1	4067	0.7144607305526733	0.46756974	No	
row_37	Ap3s1	4168	0.6760365962982178	0.4657589	No	
row_38	Gosr2	4599	0.5201250314712524	0.44650897	No	
row_39	Copb2	4748	0.4689289331436157	0.44127578	No	
row_40	Kif1b	4800	0.45103180408477783	0.44086254	No	
row_41	Igf2r	5033	0.36802101135253906	0.43089628	No	
row_42	Rab9	5080	0.34907445311546326	0.43024626	No	
row_43	Clcn3	5215	0.303225576877594	0.4249253	No	
row_44	Rab22a	5268	0.2853544056415558	0.4236658	No	
row_45	Cope	5269	0.28444570302963257	0.4250319	No	
row_46	Rab2a	5384	0.24737878143787384	0.42045426	No	
row_47	Cln5	5554	0.19624026119709015	0.4128493	No	
row_48	Copb1	5905	0.09410169720649719	0.39559945	No	
row_49	Tom1l1	6016	0.06448112428188324	0.39034572	No	
row_50	Ykt6	6154	0.025400085374712944	0.38353872	No	
row_51	Yipf6	6357	-0.03264261782169342	0.37347904	No	
row_52	Bet1	6668	-0.11590398848056793	0.35835695	No	
row_53	Tmx1	6685	-0.12079940736293793	0.3581279	No	
row_54	Ocrl	6875	-0.17283980548381805	0.349399	No	
row_55	Vamp4	6909	-0.18076063692569733	0.34859812	No	
row_56	Ap2m1	7174	-0.24470475316047668	0.33642116	No	
row_57	Mon2	7264	-0.2673732340335846	0.33320394	No	
row_58	Vps45	7274	-0.2704881727695465	0.33404785	No	
row_59	Ap3b1	7313	-0.2781606912612915	0.33346185	No	
row_60	Snap23	7322	-0.28014495968818665	0.3344027	No	
row_61	Rab14	7377	-0.28983432054519653	0.33306357	No	
row_62	Dop1a	7427	-0.2997356951236725	0.33202484	No	
row_63	Vamp3	8146	-0.4177471399307251	0.29771718	No	
row_64	Cog2	8568	-0.4776879847049713	0.27871865	No	
row_65	Rps6ka3	9066	-0.5511510968208313	0.2562291	No	
row_66	Mapk1	9704	-0.6451613903045654	0.22711037	No	
row_67	Cd63	10011	-0.6907657980918884	0.21495149	No	
row_68	Sec31a	10504	-0.7646198272705078	0.19374005	No	
row_69	Zw10	11161	-0.8638482093811035	0.16471064	No	
row_70	M6pr	11352	-0.8952085375785828	0.15940052	No	
row_71	Napa	11419	-0.906101644039154	0.16041422	No	
row_72	Sh3gl2	11688	-0.9487968683242798	0.1514165	No	
row_73	Arfgef2	11725	-0.9541885256767273	0.15417844	No	
row_74	Gla	11809	-0.9683745503425598	0.1546314	No	
