NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Glrx	766	4.716518878936768	0.0034359295	No	
row_1	G6pdx	869	4.3722147941589355	0.037304368	No	
row_2	Junb	1062	3.802015542984009	0.061543334	No	
row_3	Pdlim1	1142	3.6254372596740723	0.089908496	No	
row_4	Ndufa6	1262	3.3415048122406006	0.11372163	No	
row_5	Prdx6	1318	3.248908758163452	0.13993788	No	
row_6	Sbno2	1918	2.3292076587677	0.13049743	No	
row_7	Egln2	2218	1.9695652723312378	0.13298546	No	
row_8	Gsr	2435	1.7470356225967407	0.13767588	No	
row_9	Gpx4	2447	1.7334293127059937	0.15258901	No	
row_10	Mbp	2635	1.5519282817840576	0.1570017	No	
row_11	Oxsr1	2714	1.4905567169189453	0.16636682	No	
row_12	Ptpa	2811	1.4169217348098755	0.17416658	No	
row_13	Txnrd1	2887	1.362806797027588	0.18254308	No	
row_14	Gclm	3002	1.285976529121399	0.1882661	No	
row_15	Sod2	3108	1.2233140468597412	0.19388407	No	
row_16	Gclc	3333	1.075333595275879	0.19217691	No	
row_17	Sod1	3472	0.9983558058738708	0.19412233	No	
row_18	Prdx1	4482	0.557146430015564	0.1481807	No	
row_19	Txnrd2	4656	0.49833086133003235	0.1438981	No	
row_20	Glrx2	5010	0.37516477704048157	0.12943377	No	
row_21	Fes	6250	-0.0020891304593533278	0.06693349	No	
row_22	Mgst1	6283	-0.012181318365037441	0.0654275	No	
row_23	Stk25	7193	-0.24952368438243866	0.021786721	No	
row_24	Cdkn2d	7217	-0.25552356243133545	0.022906315	No	
row_25	Hmox2	9165	-0.5644174814224243	-0.070301145	No	
row_26	Ercc2	9476	-0.6120038628578186	-0.080482304	No	
row_27	Prdx2	9531	-0.6195273995399475	-0.07767877	No	
row_28	Msra	10216	-0.7194997668266296	-0.10577242	No	
row_29	Scaf4	10310	-0.7345492839813232	-0.10391041	No	
row_30	Cat	11666	-0.9452856183052063	-0.16384737	No	
row_31	Hhex	12196	-1.0355768203735352	-0.18129936	No	
row_32	Lamtor5	12944	-1.1765280961990356	-0.20849366	No	
row_33	Gpx3	14063	-1.4058096408843994	-0.25236234	No	
row_34	Pfkp	14167	-1.4283099174499512	-0.24481417	No	
row_35	Atox1	14756	-1.571860432624817	-0.26045772	No	
row_36	Prdx4	15439	-1.771431565284729	-0.2790636	No	
row_37	Mpo	16604	-2.190352201461792	-0.31825256	No	
row_38	Selenos	17250	-2.5083398818969727	-0.32841566	Yes	
row_39	Ndufs2	17563	-2.699763298034668	-0.3200677	Yes	
row_40	Srxn1	17590	-2.710280656814575	-0.29719457	Yes	
row_41	Abcc1	18906	-4.071302890777588	-0.3272183	Yes	
row_42	Nqo1	19238	-4.859012126922607	-0.30056107	Yes	
row_43	Lsp1	19297	-5.063065052032471	-0.25830767	Yes	
row_44	Ftl1	19380	-5.343061447143555	-0.21476673	Yes	
row_45	Txn1	19537	-6.081666946411133	-0.16836886	Yes	
row_46	Ipcef1	19588	-6.375701427459717	-0.11399852	Yes	
row_47	Prnp	19862	-14.335847854614258	1.5146205E-4	Yes	
