NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Slc12a2	10	16.815916061401367	0.06757368	No	
row_1	Cftr	142	9.242789268493652	0.09835644	No	
row_2	Taldo1	497	5.692712783813477	0.103467904	No	
row_3	Ide	546	5.485147476196289	0.12324291	No	
row_4	Map7	971	4.061417102813721	0.11820332	No	
row_5	Tsn	1955	2.2858216762542725	0.077652685	No	
row_6	Arl4a	2246	1.9431043863296509	0.070826255	No	
row_7	Gstm5	2425	1.757533073425293	0.06892315	No	
row_8	Agfg1	2818	1.415502905845642	0.054792732	No	
row_9	Nphp1	3019	1.2707562446594238	0.04980422	No	
row_10	Ip6k1	3435	1.0198496580123901	0.03290665	No	
row_11	Prm2	3622	0.9207075238227844	0.02721027	No	
row_12	Pgs1	3839	0.8123185038566589	0.019555083	No	
row_13	Dpep3	3907	0.781821072101593	0.019325696	No	
row_14	Pacrg	3918	0.777284562587738	0.02196592	No	
row_15	Pebp1	4022	0.7303267121315002	0.019704072	No	
row_16	Ybx2	4243	0.6453309655189514	0.01117016	No	
row_17	Npy5r	4375	0.5971382260322571	0.006950433	No	
row_18	Mllt10	4537	0.5418358445167542	9.86823E-4	No	
row_19	Pias2	4574	0.5266757607460022	0.001295119	No	
row_20	Sycp1	4595	0.5210426449775696	0.0023912692	No	
row_21	H1f6	4967	0.3890610933303833	-0.014830775	No	
row_22	Prkar2a	5078	0.34989020228385925	-0.01898751	No	
row_23	Tuba3a	5206	0.30572161078453064	-0.02418439	No	
row_24	Dcc	5519	0.20943665504455566	-0.03914435	No	
row_25	Znrf4	5534	0.20343823730945587	-0.03903004	No	
row_26	Chfr	5833	0.11262962222099304	-0.0536726	No	
row_27	Clvs1	5971	0.07678976655006409	-0.060302988	No	
row_28	Ace	5977	0.07490599900484085	-0.060253058	No	
row_29	Tle4	6343	-0.028737571090459824	-0.078629896	No	
row_30	Parp2	6407	-0.04328285902738571	-0.081646636	No	
row_31	Mast2	6649	-0.1114366427063942	-0.09340605	No	
row_32	Adam2	6839	-0.1645967960357666	-0.10231559	No	
row_33	Gfi1	6881	-0.17484311759471893	-0.103685044	No	
row_34	Braf	6985	-0.19948047399520874	-0.10809606	No	
row_35	Hspa1l	7100	-0.22653016448020935	-0.11295489	No	
row_36	Acrbp	7859	-0.37316662073135376	-0.14984913	No	
row_37	Ccna1	8091	-0.40756145119667053	-0.15990299	No	
row_38	Ldhc	8132	-0.41496095061302185	-0.16024965	No	
row_39	Akap4	8382	-0.45249488949775696	-0.17103359	No	
row_40	Gpr182	8406	-0.4560661315917969	-0.1703525	No	
row_41	Tnp1	8576	-0.4794444739818573	-0.17697404	No	
row_42	Actl7b	9045	-0.5481510162353516	-0.19846663	No	
row_43	Htr5a	9072	-0.5518922209739685	-0.19754958	No	
row_44	Rpl39l	9353	-0.5932081937789917	-0.2093345	No	
row_45	Gsg1	9695	-0.643674910068512	-0.22400571	No	
row_46	Tktl1	9982	-0.6853803992271423	-0.23572147	No	
row_47	Papolb	10034	-0.693490743637085	-0.2354978	No	
row_48	Adad1	10105	-0.7018661499023438	-0.23620288	No	
row_49	Hoxb1	10228	-0.7221646308898926	-0.23946044	No	
row_50	Chrm4	10395	-0.7475855946540833	-0.24484439	No	
row_51	Dmc1	10567	-0.7734179496765137	-0.2503771	No	
row_52	Phkg2	10579	-0.7750890254974365	-0.24779642	No	
row_53	Crisp2	10618	-0.7803964018821716	-0.24656224	No	
row_54	Odf1	10649	-0.7846335172653198	-0.24490559	No	
row_55	Cnih2	10805	-0.8096070289611816	-0.24948113	No	
row_56	Slc2a5	10857	-0.816936731338501	-0.24875768	No	
row_57	Cst8	10918	-0.8259838223457336	-0.2484536	No	
row_58	Mtor	10992	-0.8395194411277771	-0.24875338	No	
row_59	Pcsk4	11166	-0.864342987537384	-0.2540193	No	
row_60	Csnk2a2	11521	-0.9214608073234558	-0.26822457	No	
row_61	Topbp1	11811	-0.9684887528419495	-0.27894613	No	
row_62	Zc2hc1c	11848	-0.9753981828689575	-0.27682114	No	
row_63	Gapdhs	11920	-0.9874308705329895	-0.27642077	No	
row_64	Mtnr1a	12007	-1.0038282871246338	-0.276714	No	
row_65	Elovl3	12120	-1.0240813493728638	-0.27824256	No	
row_66	Clgn	12204	-1.0366016626358032	-0.2782511	No	
row_67	Oaz3	12671	-1.1223665475845337	-0.29731762	No	
row_68	Stam2	13079	-1.2043869495391846	-0.31306276	No	
row_69	Clpb	13162	-1.2197465896606445	-0.31227916	No	
row_70	Dmrt1	13399	-1.267501711845398	-0.31910482	No	
row_71	Ddx4	13494	-1.2870317697525024	-0.31865683	No	
