NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F3	54	11.959488868713379	0.013327024	Yes	
row_1	Phlda1	55	11.929638862609863	0.02935923	Yes	
row_2	Fos	61	11.65576171875	0.04476918	Yes	
row_3	Sdc4	74	11.066147804260254	0.059030876	Yes	
row_4	Hes1	100	10.278382301330566	0.071573	Yes	
row_5	Cebpb	112	9.98928451538086	0.08443834	Yes	
row_6	Btg2	122	9.763673782348633	0.09710216	Yes	
row_7	Cxcl5	128	9.591214179992676	0.10973757	Yes	
row_8	Sat1	136	9.307852745056152	0.12189049	Yes	
row_9	Klf4	162	8.82917594909668	0.13248502	Yes	
row_10	Dusp1	171	8.732369422912598	0.14381371	Yes	
row_11	Serpinb2	200	8.3944730758667	0.15367153	Yes	
row_12	Jun	201	8.39263916015625	0.16495039	Yes	
row_13	Ier3	233	7.972142219543457	0.17408812	Yes	
row_14	Atf3	259	7.704720497131348	0.1831715	Yes	
row_15	Trib1	263	7.69813346862793	0.19336449	Yes	
row_16	Rigi	270	7.594088077545166	0.20326512	Yes	
row_17	Btg1	281	7.502602577209473	0.21283945	Yes	
row_18	Hbegf	291	7.4132513999938965	0.22234455	Yes	
row_19	Pmepa1	293	7.400397300720215	0.23223908	Yes	
row_20	Fosb	318	7.103184223175049	0.2405649	Yes	
row_21	Bhlhe40	319	7.099650859832764	0.2501061	Yes	
row_22	Serpinb8	326	7.065883159637451	0.2592969	Yes	
row_23	Fosl2	358	6.709724426269531	0.26673806	Yes	
row_24	Cdkn1a	423	6.1719970703125	0.2717789	Yes	
row_25	Ccn1	428	6.13584566116333	0.2798215	Yes	
row_26	Sgk1	451	5.930809497833252	0.28667343	Yes	
row_27	Mcl1	488	5.7545166015625	0.29257673	Yes	
row_28	Nfe2l2	526	5.552263259887695	0.29815736	Yes	
row_29	Il6st	531	5.529443264007568	0.305385	Yes	
row_30	Tap1	543	5.51200532913208	0.31223333	Yes	
row_31	Zfp36	575	5.3680853843688965	0.31787148	Yes	
row_32	Inhba	601	5.2749834060668945	0.32368955	Yes	
row_33	Dusp5	636	5.141075611114502	0.32887012	Yes	
row_34	Plaur	647	5.108414173126221	0.3352269	Yes	
row_35	Ier2	733	4.828987121582031	0.33739525	Yes	
row_36	Il18	742	4.798772811889648	0.3434376	Yes	
row_37	Egr1	773	4.6827392578125	0.34820557	Yes	
row_38	Ifih1	775	4.675695419311523	0.35443836	Yes	
row_39	Nr4a1	783	4.624388694763184	0.3602972	Yes	
row_40	Klf10	811	4.515305519104004	0.36499268	Yes	
row_41	Tnfaip2	823	4.491517066955566	0.37046957	Yes	
row_42	Tgif1	828	4.4814133644104	0.37628877	Yes	
row_43	Bcl6	950	4.103327751159668	0.37565172	Yes	
row_44	Tsc22d1	1006	3.987269401550293	0.37821406	Yes	
row_45	Pdlim5	1007	3.985778570175171	0.38357055	Yes	
row_46	Klf6	1016	3.9574904441833496	0.3884823	Yes	
row_47	Junb	1062	3.802015542984009	0.39130408	Yes	
row_48	Jag1	1064	3.794449806213379	0.3963526	Yes	
row_49	Socs3	1088	3.746229887008667	0.40021783	Yes	
row_50	Atp2b1	1098	3.7232048511505127	0.40476388	Yes	
row_51	Cebpd	1118	3.6801908016204834	0.40874374	Yes	
row_52	Cd44	1176	3.560920476913452	0.41063145	Yes	
row_53	Bcl3	1186	3.5478270053863525	0.41494182	Yes	
row_54	Efna1	1213	3.4701290130615234	0.4182835	Yes	
row_55	Dusp4	1261	3.3436567783355713	0.4203876	Yes	
row_56	Edn1	1264	3.3364360332489014	0.42476976	Yes	
row_57	Map2k3	1286	3.298065185546875	0.42813438	Yes	
row_58	Gch1	1296	3.280344009399414	0.43208528	Yes	
row_59	Ets2	1324	3.2411394119262695	0.4350684	Yes	
row_60	Rela	1360	3.197603464126587	0.43758628	Yes	
row_61	Smad3	1434	3.0819151401519775	0.43801683	Yes	
row_62	Eif1	1464	3.028527021408081	0.44061252	Yes	
row_63	Zc3h12a	1494	2.964107036590576	0.44312167	Yes	
row_64	Tnfaip8	1509	2.942878246307373	0.44636485	Yes	
row_65	Rhob	1580	2.8084030151367188	0.44658032	Yes	
row_66	B4galt1	1635	2.7374768257141113	0.4475139	Yes	
row_67	Csf2	1772	2.5236830711364746	0.4439914	Yes	
row_68	Areg	1786	2.503084897994995	0.44669437	Yes	
row_69	Mxd1	1816	2.458334445953369	0.44852382	Yes	
row_70	Maff	1822	2.454982280731201	0.45156887	Yes	
row_71	Ccrl2	1829	2.448620557785034	0.45455453	Yes	
row_72	Ier5	1845	2.4248549938201904	0.45705068	Yes	
row_73	Plau	1945	2.299159288406372	0.45510748	No	
row_74	Nfil3	2017	2.226550579071045	0.45449018	No	
row_75	Kdm6b	2101	2.1255695819854736	0.4531271	No	
row_76	Abca1	2250	1.9379334449768066	0.44820735	No	
row_77	Clcf1	2313	1.8775882720947266	0.4475786	No	
row_78	Dennd5a	2367	1.8102219104766846	0.4473169	No	
row_79	Csf1	2376	1.8006951808929443	0.44933015	No	
row_80	Dnajb4	2401	1.776307225227356	0.45049718	No	
row_81	Klf9	2409	1.7718334197998047	0.4525225	No	
row_82	Ccnd1	2475	1.7044535875320435	0.45150855	No	
row_83	Trip10	2668	1.517283320426941	0.4437866	No	
row_84	Ifit2	2679	1.5114052295684814	0.44530937	No	
row_85	Sqstm1	2720	1.4850311279296875	0.44527155	No	
row_86	Ripk2	2792	1.4341317415237427	0.4435893	No	
row_87	Irf1	2907	1.34734046459198	0.43960437	No	
row_88	Sphk1	3034	1.2631665468215942	0.43489623	No	
row_89	Klf2	3092	1.2298799753189087	0.43365127	No	
row_90	Sod2	3108	1.2233140468597412	0.43453267	No	
row_91	Ldlr	3133	1.2028239965438843	0.434929	No	
row_92	Vegfa	3200	1.1605554819107056	0.43313333	No	
row_93	Ifngr2	3332	1.0772632360458374	0.42792118	No	
row_94	Il1a	3513	0.9746079444885254	0.42007995	No	
row_95	Ackr3	3722	0.8699012994766235	0.4106745	No	
row_96	Fosl1	3738	0.862331211566925	0.41107082	No	
row_97	Ccnl1	3741	0.861299991607666	0.41212666	No	
row_98	Ppp1r15a	3776	0.842668890953064	0.41153058	No	
row_99	Tnfaip3	4061	0.7160511612892151	0.39805466	No	
row_100	Plk2	4134	0.6887074112892151	0.39531982	No	
row_101	F2rl1	4214	0.6550676822662354	0.3921839	No	
row_102	Tiparp	4227	0.651136577129364	0.39244887	No	
row_103	Egr2	4856	0.4322887361049652	0.36110303	No	
row_104	Tlr2	4976	0.3851676285266876	0.35557085	No	
row_105	Pnrc1	4984	0.3832567632198334	0.35573003	No	
row_106	Nr4a2	5030	0.36831384897232056	0.35393727	No	
row_107	Dram1	5342	0.26042240858078003	0.33847636	No	
row_108	Nr4a3	5583	0.18731153011322021	0.32652676	No	
row_109	Nfat5	5705	0.15374267101287842	0.32058188	No	
row_110	Olr1	5865	0.10418954491615295	0.31263852	No	
row_111	Gfpt2	5917	0.08955308794975281	0.3101661	No	
row_112	Per1	6104	0.03857531026005745	0.3007619	No	
row_113	Fjx1	6206	0.008252129890024662	0.2956383	No	
row_114	Lif	6549	-0.08659260720014572	0.27836776	No	
row_115	Ptpre	6552	-0.0869017019867897	0.27838287	No	
row_116	Cd69	6640	-0.10914744436740875	0.2741066	No	
row_117	Ptger4	6663	-0.1146765649318695	0.27314225	No	
row_118	Spsb1	6680	-0.11922382563352585	0.27248904	No	
row_119	Rnf19b	6712	-0.1290753185749054	0.2710865	No	
row_120	Plpp3	6805	-0.154877707362175	0.26661748	No	
row_121	Phlda2	6808	-0.1553475558757782	0.26672456	No	
row_122	Nfkb1	6978	-0.19823506474494934	0.25839922	No	
row_123	Tubb2a	7125	-0.23389846086502075	0.25129107	No	
