NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cebpb	112	9.98928451538086	0.03827273	No	
row_1	Atf3	259	7.704720497131348	0.06477504	No	
row_2	Xbp1	624	5.179231643676758	0.06913399	No	
row_3	Eif2ak3	642	5.130307674407959	0.090841115	No	
row_4	Dnaja4	728	4.84358549118042	0.107845165	No	
row_5	Bag3	1377	3.1760425567626953	0.089017674	No	
row_6	Wfs1	1664	2.6855180263519287	0.086355045	No	
row_7	Tatdn2	1807	2.469797134399414	0.09003205	No	
row_8	Ern1	1856	2.414355993270874	0.09822298	No	
row_9	Shc1	2026	2.2152059078216553	0.09941346	No	
row_10	Serp1	2058	2.174673557281494	0.10741051	No	
row_11	Edem1	2089	2.1371920108795166	0.1152933	No	
row_12	Dnajc3	2330	1.8510713577270508	0.11128834	No	
row_13	Herpud1	2348	1.8281787633895874	0.11846982	No	
row_14	Slc30a5	2395	1.7804878950119019	0.123973675	No	
row_15	Nabp1	2834	1.4033313989639282	0.10797739	No	
row_16	Srprb	2894	1.35536527633667	0.11095319	No	
row_17	Spcs1	2972	1.3053979873657227	0.11279812	No	
row_18	Dcp2	3015	1.2729147672653198	0.11627168	No	
row_19	Vegfa	3200	1.1605554819107056	0.11206367	No	
row_20	Srpr	3281	1.1121734380722046	0.11290678	No	
row_21	Ddit4	3292	1.1025824546813965	0.117250755	No	
row_22	Gemin4	3496	0.9857266545295715	0.111312	No	
row_23	Cxxc1	4133	0.6889330744743347	0.082151406	No	
row_24	Arfgap1	4233	0.649787425994873	0.07999886	No	
row_25	Zbtb17	4257	0.6400824189186096	0.081650354	No	
row_26	Chac1	4549	0.5355749726295471	0.069277324	No	
row_27	Gosr2	4599	0.5201250314712524	0.06908516	No	
row_28	Nhp2	4612	0.5139832496643066	0.070738725	No	
row_29	Atf6	4728	0.4747496247291565	0.067006364	No	
row_30	Ssr1	4749	0.4678311049938202	0.068052	No	
row_31	Ywhaz	4931	0.4018336832523346	0.060658306	No	
row_32	Exosc4	5240	0.2953055799007416	0.046367906	No	
row_33	Nfyb	5345	0.2594176232814789	0.042245094	No	
row_34	Pdia5	5370	0.2506836950778961	0.04213306	No	
row_35	Yif1a	5785	0.12860986590385437	0.0217442	No	
row_36	Kdelr3	5956	0.08047710359096527	0.013493663	No	
row_37	Eif4g1	6073	0.04680393263697624	0.00782821	No	
row_38	Cnot6	6278	-0.01122076716274023	-0.002447886	No	
row_39	Preb	6792	-0.15163308382034302	-0.027746353	No	
row_40	Atp6v0d1	6858	-0.16905207931995392	-0.030292686	No	
row_41	Dctn1	7067	-0.219568133354187	-0.03985475	No	
row_42	Tubb2a	7125	-0.23389846086502075	-0.041710913	No	
row_43	Exosc10	7205	-0.2530862092971802	-0.0445962	No	
row_44	Kif5b	7474	-0.3090197741985321	-0.056801673	No	
row_45	Dcp1a	7671	-0.3453027009963989	-0.065203264	No	
row_46	Cnot4	7688	-0.3479846715927124	-0.06448236	No	
row_47	Khsrp	8341	-0.4448968470096588	-0.09552628	No	
row_48	Pop4	8532	-0.4738251566886902	-0.10305883	No	
row_49	Atf4	8641	-0.48848700523376465	-0.106376454	No	
row_50	Fkbp14	8816	-0.5147531032562256	-0.11291912	No	
row_51	Nop14	9565	-0.6243887543678284	-0.14803252	No	
row_52	Xpot	9678	-0.6411982774734497	-0.15088084	No	
row_53	Edc4	9928	-0.6759166121482849	-0.1605107	No	
row_54	Exosc5	10232	-0.7231906056404114	-0.1726658	No	
row_55	Paip1	10263	-0.7290245890617371	-0.17097737	No	
row_56	Sec31a	10504	-0.7646198272705078	-0.1797615	No	
row_57	Exosc1	11123	-0.8589637279510498	-0.20726308	No	
row_58	Psat1	11229	-0.8752880096435547	-0.20872737	No	
row_59	Skic3	12802	-1.147999882698059	-0.2832442	No	
row_60	Lsm1	12952	-1.1779735088348389	-0.28560406	No	
row_61	Igfbp1	13048	-1.1985310316085815	-0.2851403	No	
row_62	Ero1a	13241	-1.2342606782913208	-0.28942904	No	
row_63	Parn	13423	-1.272683024406433	-0.29299197	No	
row_64	Hspa9	13742	-1.3341706991195679	-0.30321866	No	
row_65	Cnot2	13791	-1.3448469638824463	-0.2997324	No	
row_66	Sdad1	13807	-1.3483855724334717	-0.29456022	No	
row_67	Lsm4	14163	-1.4272418022155762	-0.30625027	No	
row_68	Nfya	14431	-1.4905030727386475	-0.31320795	No	
