NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Runx1	33	13.552023887634277	0.03236991	Yes	
row_1	Add3	37	13.048442840576172	0.06499596	Yes	
row_2	F3	54	11.959488868713379	0.094227344	Yes	
row_3	Nfib	119	9.85351848602295	0.11573464	Yes	
row_4	Anxa2	126	9.605537414550781	0.13955986	Yes	
row_5	Met	164	8.827093124389648	0.15985776	Yes	
row_6	Dusp1	171	8.732369422912598	0.18148956	Yes	
row_7	Rnd3	175	8.680999755859375	0.20314443	Yes	
row_8	Tgfbr2	176	8.665238380432129	0.22491182	Yes	
row_9	Tjp1	253	7.750959396362305	0.24052894	Yes	
row_10	Bhlhe40	319	7.099650859832764	0.2550677	Yes	
row_11	Ccn1	428	6.13584566116333	0.26500505	Yes	
row_12	Nek7	471	5.832528591156006	0.27752697	Yes	
row_13	Smad7	538	5.517477035522461	0.28804055	Yes	
row_14	Efemp1	541	5.5145392417907715	0.30179188	Yes	
row_15	Ltbp1	638	5.133656024932861	0.30982015	Yes	
row_16	Fhl2	744	4.794136047363281	0.31653917	Yes	
row_17	Id1	758	4.740779876708984	0.32778904	Yes	
row_18	Erbb2	901	4.262424945831299	0.33129632	Yes	
row_19	Adgrl2	913	4.208437442779541	0.3413103	Yes	
row_20	Cited2	963	4.078920841217041	0.34907216	Yes	
row_21	Pdlim5	1007	3.985778570175171	0.35690427	Yes	
row_22	Mapk14	1058	3.814143419265747	0.3639503	Yes	
row_23	Pik3r3	1068	3.782181739807129	0.37299493	Yes	
row_24	Atp2b1	1098	3.7232048511505127	0.38087732	Yes	
row_25	Adora2b	1409	3.115825891494751	0.3729859	Yes	
row_26	Smad3	1434	3.0819151401519775	0.37951088	Yes	
row_27	Cdc42bpa	1566	2.8365933895111084	0.37999415	Yes	
row_28	Acvr2a	1632	2.74027681350708	0.38358203	Yes	
row_29	Bmpr1a	1633	2.738284111022949	0.3904607	Yes	
row_30	Slc22a18	1636	2.7337498664855957	0.39722657	Yes	
row_31	Rxra	1768	2.5318820476531982	0.3969444	Yes	
row_32	Vav2	1775	2.5215578079223633	0.40297443	Yes	
row_33	Zmiz1	1831	2.447211265563965	0.40633315	Yes	
row_34	Tent4a	1866	2.404515027999878	0.41064942	Yes	
row_35	Nr3c1	2083	2.14251708984375	0.40507928	No	
row_36	Cdon	2258	1.9275425672531128	0.4010987	No	
row_37	Mta1	2353	1.8232578039169312	0.40091252	No	
row_38	Irs1	2488	1.69109308719635	0.39836615	No	
row_39	Notch2	2639	1.5471185445785522	0.39464685	No	
row_40	Dlc1	2685	1.5066547393798828	0.39614993	No	
row_41	Rbpms	2810	1.4170987606048584	0.39342234	No	
row_42	Pex14	2839	1.398054599761963	0.39551455	No	
row_43	Dmac2l	3112	1.2202625274658203	0.3847882	No	
row_44	Ldlr	3133	1.2028239965438843	0.38679564	No	
row_45	Igf1r	3177	1.1778957843780518	0.38757426	No	
row_46	Ica1	3199	1.1606662273406982	0.38942507	No	
row_47	Cdk13	3296	1.0987030267715454	0.38731742	No	
row_48	Kit	3381	1.0504873991012573	0.38569707	No	
row_49	Nrp1	3459	1.0077943801879883	0.3843244	No	
row_50	Aggf1	3550	0.9584837555885315	0.3821687	No	
row_51	Insig1	3597	0.9378512501716614	0.38219222	No	
row_52	Atxn1	3806	0.827655017375946	0.37372473	No	
row_53	Phf3	3941	0.7642427682876587	0.36885008	No	
row_54	Prkar2b	4045	0.7207422852516174	0.365438	No	
row_55	Dlg1	4129	0.690481424331665	0.36296403	No	
row_56	Amph	4278	0.6324589848518372	0.35704848	No	
row_57	Mt1	4347	0.607072651386261	0.35512555	No	
row_58	Cav1	4391	0.5890439748764038	0.35442495	No	
row_59	Rasa2	4570	0.527518093585968	0.34672463	No	
row_60	Arhgef9	4572	0.5270119905471802	0.3479978	No	
row_61	Ddah1	4587	0.5228047966957092	0.34860125	No	
row_62	Ythdc1	4720	0.476645290851593	0.34310555	No	
row_63	Apbb2	4780	0.456052303314209	0.3412596	No	
row_64	Togaram1	4812	0.4469217360019684	0.34081042	No	
row_65	Cap2	4862	0.4301574230194092	0.33940646	No	
row_66	Gcnt1	5288	0.27845117449760437	0.3185564	No	
row_67	Dyrk1a	6061	0.051902614533901215	0.27954268	No	
