NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	186	-0.5659737	-2.3676336	0.0	0.0	0.0	4546	tags=53%, list=23%, signal=68%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	-0.52913356	-2.2227194	0.0	0.0	0.0	5486	tags=56%, list=28%, signal=77%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.57352036	-1.98422	0.0	0.0	0.0	4204	tags=54%, list=21%, signal=69%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	-0.4619268	-1.9529299	0.0	0.0	0.0	4614	tags=48%, list=23%, signal=62%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	186	-0.42227033	-1.7450513	0.0	0.0023191092	0.023	3059	tags=32%, list=15%, signal=37%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	-0.3641159	-1.514189	0.0017006802	0.018880896	0.205	2747	tags=35%, list=14%, signal=40%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	129	-0.3723092	-1.4846696	0.006837607	0.02132768	0.261	4726	tags=40%, list=24%, signal=53%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	-0.45383278	-1.4497417	0.03208556	0.027251542	0.359	5177	tags=49%, list=26%, signal=66%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	109	-0.3533113	-1.3500366	0.050167225	0.05941209	0.663	2897	tags=27%, list=15%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.4094976	-1.2882264	0.12733446	0.09468495	0.854	3241	tags=39%, list=16%, signal=46%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	181	-0.30235785	-1.2496209	0.049668875	0.11970978	0.933	3770	tags=30%, list=19%, signal=37%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	-0.29624203	-1.2463189	0.06291391	0.112794146	0.936	3720	tags=34%, list=19%, signal=41%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.3635484	-1.2020965	0.20099668	0.14601767	0.981	961	tags=15%, list=5%, signal=15%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	198	-0.26587984	-1.1205755	0.18543047	0.23934786	0.999	2611	tags=23%, list=13%, signal=26%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	-0.26014394	-1.0565642	0.339934	0.33615458	1.0	4815	tags=28%, list=24%, signal=37%	
