NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	0.7005117	2.7154293	0.0	0.0	0.0	2236	tags=65%, list=11%, signal=72%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	0.5198245	2.198929	0.0	0.0	0.0	1628	tags=28%, list=8%, signal=30%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	71	0.5787554	2.1427526	0.0	0.0	0.0	1064	tags=28%, list=5%, signal=30%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	197	0.49954283	2.1426194	0.0	0.0	0.0	2705	tags=40%, list=14%, signal=46%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	198	0.49530026	2.1359766	0.0	0.0	0.0	1076	tags=23%, list=5%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	198	0.49531356	2.120521	0.0	0.0	0.0	2450	tags=32%, list=12%, signal=36%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	186	0.49143782	2.083277	0.0	0.0	0.0	2246	tags=44%, list=11%, signal=49%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	0.45705068	1.9481013	0.0	4.2708335E-4	0.002	1845	tags=37%, list=9%, signal=41%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	193	0.4579092	1.9395133	0.0	3.796296E-4	0.002	2120	tags=30%, list=11%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.5032531	1.9383181	0.0	3.4166666E-4	0.002	2417	tags=30%, list=12%, signal=34%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	133	0.44857347	1.8207412	0.0	7.6792523E-4	0.005	2433	tags=29%, list=12%, signal=32%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	0.5168286	1.7966318	0.0	0.001635949	0.011	3532	tags=57%, list=18%, signal=69%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.41064942	1.6883965	0.0	0.0056207464	0.042	1866	tags=24%, list=9%, signal=27%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	199	0.3912261	1.6840504	0.0	0.005344265	0.043	2336	tags=27%, list=12%, signal=30%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	0.48326495	1.6376812	0.0073710075	0.0067525567	0.058	761	tags=20%, list=4%, signal=21%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	197	0.37964284	1.6296215	0.0	0.007294224	0.066	1868	tags=24%, list=9%, signal=27%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	185	0.38386512	1.6219826	0.0	0.0070918677	0.068	2453	tags=28%, list=12%, signal=31%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	155	0.39045858	1.5981143	0.0	0.00797889	0.081	2015	tags=23%, list=10%, signal=25%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.50239444	1.5930439	0.034146342	0.008096502	0.087	2639	tags=41%, list=13%, signal=47%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.3632201	1.59003	0.0	0.007775011	0.088	1822	tags=26%, list=9%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		95	0.4094853	1.5625399	0.0075376886	0.009284052	0.108	2534	tags=38%, list=13%, signal=43%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		186	0.35190395	1.5086474	0.0025839794	0.014357037	0.169	3394	tags=37%, list=17%, signal=44%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		192	0.3543555	1.4998097	0.0051150895	0.015069614	0.184	2510	tags=30%, list=13%, signal=34%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		198	0.33612463	1.434442	0.0023980816	0.024871271	0.288	1622	tags=22%, list=8%, signal=24%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		85	0.35375842	1.3383801	0.05	0.056697495	0.547	2175	tags=28%, list=11%, signal=32%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		198	0.30723965	1.3171654	0.04336735	0.06583697	0.613	2050	tags=23%, list=10%, signal=25%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		105	0.3235883	1.2732586	0.08108108	0.09236884	0.764	2912	tags=30%, list=15%, signal=36%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		36	0.37596533	1.2251453	0.17330211	0.12960075	0.881	1785	tags=19%, list=9%, signal=21%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		101	0.3011764	1.1627847	0.1745283	0.19807369	0.967	3108	tags=30%, list=16%, signal=35%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		193	0.2626842	1.1228778	0.17283951	0.25282332	0.987	2481	tags=21%, list=12%, signal=23%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		193	0.250024	1.0813159	0.2425	0.31916264	0.999	2439	tags=17%, list=12%, signal=19%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		151	0.2562127	1.0709661	0.29016787	0.32957968	1.0	2336	tags=21%, list=12%, signal=24%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		199	0.24611685	1.0522126	0.3164251	0.35531646	1.0	2988	tags=23%, list=15%, signal=26%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		42	0.29110822	0.9900732	0.49066666	0.48744586	1.0	2370	tags=26%, list=12%, signal=30%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		111	0.2151865	0.86235076	0.7759434	0.7908281	1.0	3077	tags=23%, list=15%, signal=28%	
