NAME	TITLE	SCORE	
Anxa1		24.47124	
Serpinb11		19.566492	
Fxyd3		19.03551	
Nupr1		18.307253	
Ly6a		17.942856	
Wfdc2		17.709414	
Tspan8		17.402014	
Gsta4		17.193031	
Bace2		17.125166	
Ly6e		16.838808	
Slc12a2		16.815916	
Cxcl17		16.675251	
Plet1		16.576632	
Cyp2f2		16.312544	
Timp2		15.582086	
Pigr		15.556898	
Gsto1		15.429087	
Ece1		15.237616	
Mal2		15.22691	
Irf7		15.069115	
S100a11		15.030641	
Cldn3		14.951432	
Cd14		14.617075	
Isg20		14.512525	
Slc16a11		14.485957	
Pdzk1ip1		14.462496	
Tacstd2		14.359735	
St3gal4		14.337809	
Lrrc26		14.1135	
Cd9		13.996778	
Zfp36l1		13.912583	
Hspb1		13.8293	
Aqp5		13.758989	
Runx1		13.552024	
Anxa3		13.446421	
Isg15		13.218801	
Lgals3bp		13.073877	
Add3		13.048443	
Emp2		12.954382	
Cd2ap		12.785263	
Ltf		12.727456	
Tspan1		12.725606	
Sftpd		12.718703	
Ctsd		12.640595	
Ifitm3		12.625082	
Mtus1		12.410854	
Spink5		12.341568	
Slco1a5		12.335108	
Sorbs2		12.231598	
Gabrp		12.2032385	
Krt23		12.1820545	
Cracr2b		12.096162	
Elf3		12.093374	
Ecm1		12.062329	
F3		11.959489	
Phlda1		11.929639	
Krt19		11.909666	
Prdx5		11.902474	
Atp1b1		11.865162	
Cbr2		11.861082	
Pmm1		11.679336	
Fos		11.655762	
Smagp		11.544373	
Ifi44		11.495006	
Msln		11.482792	
Acadl		11.475404	
Ly6d		11.456538	
Lmo4		11.449738	
H2-T22		11.367017	
Krt6a		11.301384	
Rtp4		11.292814	
Prss27		11.261175	
Pglyrp1		11.096268	
Ahnak		11.070903	
Sdc4		11.066148	
Fam3d		11.033378	
Lcn2		11.010398	
Arg1		11.008992	
Myof		10.93667	
Fut9		10.934893	
Atp1a1		10.879008	
Bst2		10.852155	
Gng5		10.801403	
Por		10.731859	
Cp		10.721345	
Cldn4		10.642627	
