NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	12	59.278594970703125	0.029971262	No	
row_1	Lifr	17	56.86771011352539	0.05910552	No	
row_2	Tst	27	48.290897369384766	0.08356084	No	
row_3	Col4a1	82	37.5888671875	0.10020708	No	
row_4	Ifngr1	211	27.146148681640625	0.10770355	No	
row_5	Cd151	218	26.887996673583984	0.12126981	No	
row_6	Gpx3	339	21.468591690063477	0.12624401	No	
row_7	Rab34	357	20.867490768432617	0.13614506	No	
row_8	Acaa2	511	16.868412017822266	0.13706821	No	
row_9	C3	645	14.543086051940918	0.13780862	No	
row_10	G3bp2	652	14.42752742767334	0.14494662	No	
row_11	Reep5	663	14.241233825683594	0.15178512	No	
row_12	Angptl4	748	13.194602966308594	0.15432122	No	
row_13	Cd302	785	12.804682731628418	0.15909667	No	
row_14	Angpt1	814	12.581201553344727	0.16416359	No	
row_15	Cidea	971	11.1681547164917	0.1619935	No	
row_16	Ndufa5	1102	10.172513961791992	0.1606317	No	
row_17	Esyt1	1165	9.742300033569336	0.16250536	No	
row_18	Ech1	1349	8.450628280639648	0.15756051	No	
row_19	Vegfb	1413	8.12722396850586	0.15855013	No	
row_20	Lama4	1476	7.815776348114014	0.1594299	No	
row_21	Ucp2	1592	7.251241207122803	0.15732369	No	
row_22	Atp1b3	1618	7.169802188873291	0.15975145	No	
row_23	Bcl6	1622	7.126880645751953	0.16327561	No	
row_24	Sspn	1654	7.023886680603027	0.16532302	No	
row_25	Slc27a1	1657	7.017643451690674	0.16884169	No	
row_26	Lpcat3	1672	6.953402042388916	0.17171708	No	
row_27	Acads	1679	6.935489177703857	0.17498998	No	
row_28	Acadl	1682	6.932754039764404	0.17846484	No	
row_29	Pfkfb3	1705	6.8418755531311035	0.18087596	No	
row_30	Cavin1	1824	6.3848395347595215	0.17817025	No	
row_31	Abca1	1980	5.807533264160156	0.1732855	No	
row_32	Mrpl15	2054	5.542149066925049	0.17243303	No	
row_33	Decr1	2119	5.34791898727417	0.17193797	No	
row_34	Cox7b	2140	5.314587116241455	0.17366286	No	
row_35	Ndufs3	2262	4.949649333953857	0.17006421	No	
row_36	Idh1	2509	4.314792156219482	0.15978256	No	
row_37	Dhrs7	2542	4.224358081817627	0.16033486	No	
row_38	Idh3g	2633	3.9427011013031006	0.15779291	No	
row_39	Grpel1	2659	3.875062942504883	0.15852092	No	
row_40	Gpx4	2787	3.589817762374878	0.1539157	No	
row_41	Echs1	2820	3.52431058883667	0.15410686	No	
row_42	Dnajc15	2939	3.2707414627075195	0.14979461	No	
row_43	Elovl6	3205	2.7601349353790283	0.13774489	No	
row_44	Fzd4	3265	2.664016008377075	0.13611944	No	
row_45	Map4k3	3306	2.6036131381988525	0.13542886	No	
row_46	Hspb8	3328	2.565683364868164	0.13568476	No	
row_47	Aldh2	3596	2.134185552597046	0.123210415	No	
row_48	Gpat4	3617	2.103731870651245	0.123278834	No	
row_49	Pfkl	3674	2.00207257270813	0.121464424	No	
row_50	Bckdha	3872	1.6859344244003296	0.11231791	No	
row_51	Idh3a	4387	1.0055525302886963	0.08670285	No	
row_52	Cox8a	4518	0.86776202917099	0.0805408	No	
row_53	Pex14	4852	0.49586305022239685	0.06386556	No	
row_54	Ndufab1	5032	0.3193124532699585	0.05492921	No	
row_55	Dlat	5347	0.068393774330616	0.038999476	No	
row_56	Hibch	5584	-0.1148340031504631	0.02705953	No	
row_57	Dbt	5598	-0.12417357414960861	0.026462618	No	
row_58	Plin2	5641	-0.16103321313858032	0.024410246	No	
row_59	Miga2	5857	-0.35251933336257935	0.013660646	No	
row_60	Uqcrc1	6239	-0.6424762606620789	-0.0053794724	No	
row_61	Sdhb	6621	-0.8936596512794495	-0.024290008	No	
row_62	Ptcd3	6856	-1.026406168937683	-0.03565799	No	
row_63	Uck1	6910	-1.0479215383529663	-0.03781211	No	
row_64	Sod1	7119	-1.1394641399383545	-0.047799822	No	
row_65	Bcl2l13	7225	-1.1824891567230225	-0.052528404	No	
row_66	Ubc	7247	-1.1919301748275757	-0.05298122	No	
row_67	Lep	7332	-1.231852650642395	-0.056616616	No	
row_68	Etfb	7416	-1.2671053409576416	-0.060182977	No	
row_69	Cyp4b1	7896	-1.4816358089447021	-0.08377289	No	
row_70	Gpam	8253	-1.6461727619171143	-0.10102411	No	
row_71	Slc19a1	8741	-1.8491085767745972	-0.1248312	No	
row_72	Omd	8820	-1.8931703567504883	-0.12782036	No	
row_73	Qdpr	8953	-1.9546388387680054	-0.13352339	No	
row_74	Elmod3	9876	-2.3928699493408203	-0.1791671	No	
row_75	Cavin2	9927	-2.4190235137939453	-0.18046135	No	
row_76	Fah	9947	-2.4326751232147217	-0.18017238	No	
row_77	Dld	10115	-2.5245273113250732	-0.18736094	No	
row_78	Uqcr11	10160	-2.5434720516204834	-0.18828593	No	
row_79	Mrap	10189	-2.5631237030029297	-0.18838726	No	
row_80	Preb	10789	-2.8718421459198	-0.21736126	No	
row_81	Slc1a5	11088	-3.0280356407165527	-0.23095064	No	
row_82	Dhrs7b	11122	-3.0436582565307617	-0.23105828	No	
row_83	Gbe1	11176	-3.0674736499786377	-0.23217054	No	
row_84	Immt	11443	-3.2125704288482666	-0.2440377	No	
row_85	Coq5	11542	-3.2652523517608643	-0.2473359	No	
row_86	Slc25a1	11560	-3.2744839191436768	-0.24651095	No	
row_87	Slc25a10	11575	-3.282027006149292	-0.24552959	No	
row_88	Phldb1	12059	-3.551753044128418	-0.26825494	No	
row_89	Itga7	12066	-3.555108070373535	-0.26672593	No	
row_90	Aifm1	12162	-3.622779130935669	-0.26968715	No	
row_91	Retsat	12456	-3.8032419681549072	-0.2826224	No	
row_92	Cyc1	12648	-3.916532039642334	-0.2903131	No	
row_93	Ppm1b	12768	-4.005517959594727	-0.2942971	No	
row_94	Coq3	13089	-4.226354598999023	-0.30838683	No	
row_95	Sparcl1	13141	-4.2614946365356445	-0.30878142	No	
row_96	Cd36	13671	-4.629400253295898	-0.33328962	No	
row_97	Rreb1	13696	-4.647294998168945	-0.33211237	No	
row_98	Rmdn3	13743	-4.6831889152526855	-0.33203518	No	
row_99	Sdhc	13780	-4.713808536529541	-0.33143374	No	
row_100	Gpd2	13891	-4.789342880249023	-0.3345558	No	
row_101	Mdh2	14006	-4.883632659912109	-0.33783257	No	
row_102	Samm50	14092	-4.961433410644531	-0.33959475	No	
row_103	Stat5a	14123	-4.9771623611450195	-0.3385524	No	
row_104	Scp2	14168	-5.024988174438477	-0.33819717	No	
row_105	Aplp2	14315	-5.151042938232422	-0.342963	No	
row_106	Esrra	14364	-5.1938252449035645	-0.34272408	No	
row_107	Adcy6	14392	-5.21870231628418	-0.34140456	No	
row_108	Uqcr10	14420	-5.248346328735352	-0.34006977	No	
row_109	Slc5a6	14563	-5.374361038208008	-0.34451702	No	
row_110	Dnajb9	14571	-5.380040168762207	-0.3420974	No	
