NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Flna	42	44.36038589477539	0.022011546	No	
row_1	Rps9	51	42.7567024230957	0.04487784	No	
row_2	Il7	105	34.996734619140625	0.061233737	No	
row_3	Ccl11	123	33.15104293823242	0.078414276	No	
row_4	Npm1	124	33.143672943115234	0.09645463	No	
row_5	Irf7	140	31.359453201293945	0.11276162	No	
row_6	Hif1a	173	29.565187454223633	0.12722816	No	
row_7	Ifngr1	211	27.146148681640625	0.14012393	No	
row_8	Mmp9	280	23.95065689086914	0.14970517	No	
row_9	Stat1	351	21.038042068481445	0.15759942	No	
row_10	Rpl9	488	17.27838706970215	0.1600936	No	
row_11	Ube2d1	519	16.703798294067383	0.16766122	No	
row_12	Egfr	549	16.25817108154297	0.17503709	No	
row_13	Tap2	682	13.975645065307617	0.17593682	No	
row_14	Ccl7	714	13.652294158935547	0.18179266	No	
row_15	F2r	940	11.47842025756836	0.17660753	No	
row_16	Timp1	942	11.466270446777344	0.1827979	No	
row_17	Ifnar2	981	11.066934585571289	0.18689081	No	
row_18	Csf1	1135	9.967604637145996	0.18454187	No	
row_19	Bcl3	1192	9.53296184539795	0.18688521	No	
row_20	Eif5a	1223	9.32625961303711	0.19043717	No	
row_21	Ets1	1255	9.11452579498291	0.19382307	No	
row_22	Tpd52	1396	8.235371589660645	0.19119182	No	
row_23	Akt1	1663	6.988213539123535	0.1814793	No	
row_24	Eif3d	1761	6.619743347167969	0.18015361	No	
row_25	Mrpl3	1817	6.410186767578125	0.18084802	No	
row_26	Glmn	2043	5.568613052368164	0.17244612	No	
row_27	Il2ra	2179	5.197774887084961	0.16841556	No	
row_28	Rps3a1	2422	4.545778751373291	0.1585931	No	
row_29	Cd28	2461	4.451606273651123	0.15908526	No	
row_30	Acvr2a	2464	4.447526454925537	0.16140446	No	
row_31	Icam1	2494	4.361565589904785	0.16230491	No	
row_32	Eif4g3	2645	3.9069039821624756	0.15680951	No	
row_33	Apbb1	2756	3.6732802391052246	0.15321948	No	
row_34	Degs1	2972	3.192809820175171	0.14403255	No	
row_35	Tap1	3630	2.0761139392852783	0.11177845	No	
row_36	Nme1	3790	1.8403512239456177	0.1047009	No	
row_37	Cxcl9	4479	0.9004408121109009	0.07023167	No	
row_38	Tlr3	4674	0.6872797608375549	0.060748037	No	
row_39	Abce1	5101	0.2754126489162445	0.039251607	No	
row_40	Il18	5294	0.11094849556684494	0.029555898	No	
row_41	Fasl	5302	0.10462043434381485	0.029257152	No	
row_42	Socs5	5316	0.09759889543056488	0.028649708	No	
row_43	Ube2n	5339	0.07355167716741562	0.027571857	No	
row_44	Abi1	5517	-0.0717250183224678	0.018616995	No	
row_45	H2-DMa	5595	-0.12202510237693787	0.014770812	No	
row_46	Lck	6101	-0.555695652961731	-0.010587287	No	
row_47	Sit1	6599	-0.8851615786552429	-0.03535955	No	
row_48	Socs1	6698	-0.9372224807739258	-0.03982909	No	
row_49	Ccnd3	6713	-0.9450724720954895	-0.04002606	No	
row_50	Ncr1	6972	-1.0762194395065308	-0.05255002	No	
row_51	Cd40lg	7048	-1.1114118099212646	-0.055756047	No	
row_52	Cxcr3	7708	-1.3990652561187744	-0.0884803	No	
row_53	Elane	8512	-1.7452317476272583	-0.1283332	No	
row_54	Gpr65	8650	-1.8045562505722046	-0.13431235	No	
row_55	Prkcb	8971	-1.9621285200119019	-0.14950451	No	
row_56	Tlr6	9141	-2.04402494430542	-0.15697932	No	
row_57	Eif3j1	9420	-2.173180341720581	-0.16992247	No	
row_58	Inhba	9522	-2.2252726554870605	-0.17384335	No	
row_59	Il2	9531	-2.2308309078216553	-0.17303559	No	
row_60	Cd1d2	10058	-2.4937796592712402	-0.19840585	No	
row_61	Il6	10252	-2.5900919437408447	-0.20680295	No	
row_62	Dyrk3	10307	-2.6168031692504883	-0.2081225	No	
row_63	Prf1	10353	-2.640019178390503	-0.20897211	No	
row_64	Was	10441	-2.686765193939209	-0.21193042	No	
row_65	Rpl3l	10454	-2.694021224975586	-0.2110738	No	
row_66	Cd3d	10469	-2.7016797065734863	-0.21031463	No	
row_67	Igsf6	10637	-2.7896363735198975	-0.21728198	No	
row_68	Klrd1	10668	-2.8112292289733887	-0.2172762	No	
row_69	Ccnd2	11522	-3.256392002105713	-0.25884724	No	
row_70	Tlr2	11636	-3.311523675918579	-0.2627866	No	
row_71	Il18rap	11769	-3.390453338623047	-0.26764846	No	
row_72	Ifng	11796	-3.4076781272888184	-0.2671148	No	
row_73	Hcls1	11880	-3.457414388656616	-0.26945037	No	
row_74	Bcl10	11947	-3.4914166927337646	-0.27090362	No	
row_75	Il16	11989	-3.5126254558563232	-0.271075	No	
row_76	Prkcg	12068	-3.5567753314971924	-0.27310243	No	
row_77	Il11	12311	-3.7162106037139893	-0.28337643	No	
row_78	H2-Ea	12393	-3.7596566677093506	-0.28544587	No	
row_79	Cd2	12503	-3.830857992172241	-0.28889933	No	
row_80	Il9	12512	-3.836895227432251	-0.28721738	No	
row_81	Tgfb1	12611	-3.895955801010132	-0.29007646	No	
row_82	Crtam	12734	-3.9815399646759033	-0.29410845	No	
row_83	Mtif2	12736	-3.9832770824432373	-0.29199114	No	
row_84	Cd8b1	12739	-3.9852888584136963	-0.28992355	No	
row_85	Ccr1	12767	-4.005307197570801	-0.28911537	No	
row_86	Nck1	12798	-4.023588180541992	-0.2884497	No	
row_87	Fcgr2b	12871	-4.070749759674072	-0.2898925	No	
row_88	Ly86	12884	-4.077977180480957	-0.28828257	No	
row_89	Ereg	13028	-4.187827110290527	-0.29326937	No	
row_90	Itgb2	13039	-4.191616058349609	-0.29149598	No	
row_91	Map4k1	13046	-4.195486545562744	-0.28951722	No	
row_92	Gzma	13054	-4.207581996917725	-0.2875827	No	
row_93	Gzmb	13084	-4.223880767822266	-0.28675717	No	
row_94	St8sia4	13215	-4.314454078674316	-0.2910145	No	
row_95	Ifngr2	13334	-4.386507987976074	-0.2946228	No	
row_96	Cd74	13395	-4.42062520980835	-0.2952654	No	
row_97	Il12rb1	13603	-4.5794782638549805	-0.30329105	No	
row_98	Map3k7	13684	-4.636532306671143	-0.3048324	No	
row_99	Il1b	13741	-4.682857990264893	-0.30512902	No	
row_100	Zap70	13782	-4.7163472175598145	-0.3045944	No	
row_101	Trat1	13926	-4.8112993240356445	-0.30924183	No	
row_102	Il12b	13989	-4.8650336265563965	-0.30974415	No	
row_103	Galnt1	14080	-4.952169895172119	-0.31162181	No	
row_104	Cd8a	14128	-4.982930660247803	-0.31129777	No	
row_105	Brca1	14162	-5.023168563842773	-0.31024048	No	
row_106	Stab1	14195	-5.050934791564941	-0.30911723	No	
row_107	Bcat1	14269	-5.121722221374512	-0.31003878	No	
row_108	Cd96	14350	-5.1787028312683105	-0.31128502	No	
row_109	Cd3e	14407	-5.23533296585083	-0.3112809	No	
row_110	Cd4	14423	-5.250136852264404	-0.30918542	No	
row_111	Itk	14509	-5.3293890953063965	-0.31060368	No	
row_112	Cartpt	14661	-5.4696455001831055	-0.31529927	No	
row_113	Wars1	14775	-5.574137210845947	-0.3180071	No	
row_114	Lif	15038	-5.835608959197998	-0.32814375	No	
row_115	Eif3a	15230	-6.0445380210876465	-0.33455893	No	
row_116	Cd47	15518	-6.346151828765869	-0.34568802	No	
row_117	Cd7	15521	-6.348300933837891	-0.3423342	No	
row_118	Ripk2	15775	-6.643679141998291	-0.3515737	No	
row_119	Cd79a	15798	-6.669122695922852	-0.34906155	No	
row_120	Cd3g	15913	-6.810636520385742	-0.35114715	No	
row_121	Ccr2	15954	-6.867685317993164	-0.34944153	No	
row_122	Il27ra	16025	-6.958070278167725	-0.3492111	No	
row_123	Psmb10	16047	-6.987785816192627	-0.34647468	No	
row_124	Nlrp3	16141	-7.122305870056152	-0.34732357	No	
row_125	Ccr5	16148	-7.137290000915527	-0.34374356	No	
row_126	Cfp	16248	-7.304617404937744	-0.3447981	No	
row_127	Il2rb	16265	-7.327230930328369	-0.34162283	No	
row_128	Ltb	16327	-7.385904312133789	-0.3407022	No	
row_129	Spi1	16382	-7.455363750457764	-0.3393881	No	
row_130	Lcp2	16433	-7.551211357116699	-0.3378186	No	
row_131	Cd247	16443	-7.570478439331055	-0.33415523	No	
row_132	Mbl2	16806	-8.169546127319336	-0.34810278	No	
row_133	Jak2	17131	-8.777006149291992	-0.3597888	Yes	
row_134	Il4	17167	-8.847516059875488	-0.3567515	Yes	
row_135	Fgr	17170	-8.852219581604004	-0.3520348	Yes	
row_136	F2	17181	-8.878644943237305	-0.34771022	Yes	
row_137	Krt1	17189	-8.889086723327637	-0.3432275	Yes	
row_138	B2m	17212	-8.927552223205566	-0.33948606	Yes	
row_139	H2-Aa	17220	-8.94256591796875	-0.33497426	Yes	
row_140	Ptprc	17257	-9.017465591430664	-0.33189523	Yes	
row_141	Tlr1	17402	-9.32425594329834	-0.33413705	Yes	
row_142	Traf2	17564	-9.703189849853516	-0.33703643	Yes	
row_143	Il15	17792	-10.230865478515625	-0.34300223	Yes	
row_144	Inhbb	17800	-10.24806022644043	-0.33777982	Yes	
row_145	Ccl22	17917	-10.59229850769043	-0.3379087	Yes	
row_146	Cxcl13	17994	-10.834410667419434	-0.33587322	Yes	
row_147	Ly75	18028	-10.970986366271973	-0.33157846	Yes	
row_148	Thy1	18030	-10.974246978759766	-0.3256559	Yes	
row_149	Pf4	18061	-11.056739807128906	-0.32116202	Yes	
row_150	Il10	18203	-11.555344581604004	-0.32203698	Yes	
row_151	Lyn	18594	-13.07709789276123	-0.3347361	Yes	
row_152	Il4ra	18620	-13.176422119140625	-0.3288344	Yes	
row_153	Capg	18701	-13.52292251586914	-0.3255388	Yes	
row_154	Irf4	18748	-13.82104206085205	-0.32035333	Yes	
row_155	Cd86	18770	-13.945526123046875	-0.31382972	Yes	
row_156	C2	18808	-14.1642427444458	-0.30800012	Yes	
row_157	Itgal	18813	-14.179996490478516	-0.30048507	Yes	
row_158	Elf4	18887	-14.596606254577637	-0.2962494	Yes	
row_159	Stat4	18891	-14.614289283752441	-0.28844717	Yes	
row_160	Fas	19086	-15.942245483398438	-0.2896274	Yes	
row_161	Ccl5	19097	-16.007787704467773	-0.28142238	Yes	
row_162	H2-DMb2	19158	-16.5657901763916	-0.27545425	Yes	
row_163	Tnf	19163	-16.5909481048584	-0.26662695	Yes	
row_164	Tgfb2	19245	-17.407957077026367	-0.2612675	Yes	
row_165	Gcnt1	19270	-17.803319931030273	-0.25279653	Yes	
row_166	Csk	19279	-17.93238067626953	-0.24344231	Yes	
row_167	Ikbkb	19329	-18.51104736328125	-0.23585644	Yes	
row_168	Tapbp	19369	-18.899911880493164	-0.22755079	Yes	
row_169	Ptpn6	19423	-19.719907760620117	-0.21951018	Yes	
row_170	Icosl	19438	-19.96558380126953	-0.20935415	Yes	
row_171	Irf8	19455	-20.20949363708496	-0.19916698	Yes	
row_172	Hdac9	19523	-21.45859718322754	-0.19089137	Yes	
row_173	Cd40	19547	-22.025707244873047	-0.18007131	Yes	
row_174	Il12a	19585	-23.09435272216797	-0.16938096	Yes	
row_175	H2-Ob	19602	-23.61644172668457	-0.15733936	Yes	
row_176	Ache	19630	-24.524967193603516	-0.1453622	Yes	
row_177	Il13	19752	-29.174253463745117	-0.1356308	Yes	
row_178	H2-Oa	19755	-29.347387313842773	-0.11975843	Yes	
row_179	Cdkn2a	19756	-29.35615348815918	-0.10377965	Yes	
row_180	Nos2	19761	-29.58265495300293	-0.087880835	Yes	
row_181	Ctss	19777	-30.571128845214844	-0.07200293	Yes	
row_182	Cd80	19802	-32.17207336425781	-0.055710945	Yes	
row_183	Srgn	19825	-34.92732620239258	-0.037817623	Yes	
row_184	Ncf4	19831	-35.86349105834961	-0.018550921	Yes	
row_185	Il2rg	19839	-37.16248321533203	0.0013212078	Yes	
