NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ifitm3	3	75.65223693847656	0.047457967	No	
row_1	Jun	76	38.48012161254883	0.06802094	No	
row_2	Anxa1	160	30.422990798950195	0.08295512	No	
row_3	Gsn	185	28.83449935913086	0.09988362	No	
row_4	Ifngr1	211	27.146148681640625	0.11569886	No	
row_5	Hspb1	221	26.75562286376953	0.13208026	No	
row_6	Ier3	253	25.268749237060547	0.1464095	No	
row_7	Ccnd1	337	21.554697036743164	0.1557626	No	
row_8	Atf3	338	21.52808952331543	0.16931087	No	
row_9	Gpx3	339	21.468591690063477	0.18282169	No	
row_10	Tnfrsf12a	439	18.279808044433594	0.18930186	No	
row_11	Dcn	467	17.654146194458008	0.199042	No	
row_12	Tspo	529	16.46843147277832	0.20631057	No	
row_13	Smad7	568	16.028133392333984	0.21446921	No	
row_14	Tnfsf10	594	15.405733108520508	0.22289585	No	
row_15	Nedd9	609	15.118414878845215	0.23169987	No	
row_16	Krt18	621	14.807456016540527	0.24046044	No	
row_17	Btg2	640	14.572425842285156	0.24871787	No	
row_18	Bcap31	835	12.337190628051758	0.24663731	No	
row_19	Timp2	914	11.712905883789062	0.25005043	No	
row_20	F2r	940	11.47842025756836	0.25600547	No	
row_21	Timp1	942	11.466270446777344	0.2631708	No	
row_22	Mmp2	1000	10.906549453735352	0.2671421	No	
row_23	Avpr1a	1491	7.710207462310791	0.24712883	No	
row_24	Emp1	1501	7.679675579071045	0.25150517	No	
row_25	Irf1	1643	7.045732021331787	0.24878408	No	
row_26	App	2063	5.519039630889893	0.2309948	No	
row_27	Clu	2305	4.8346781730651855	0.22180764	No	
row_28	Casp3	2326	4.780634880065918	0.22380131	No	
row_29	Slc20a1	2346	4.733757972717285	0.22581623	No	
row_30	Wee1	2597	4.052053451538086	0.21567982	No	
row_31	Lum	2608	4.010836601257324	0.2176965	No	
row_32	Cav1	2613	3.9885401725769043	0.22000362	No	
row_33	Dpyd	2685	3.8185296058654785	0.21880378	No	
row_34	Gpx4	2787	3.589817762374878	0.21593761	No	
row_35	Dnaja1	2827	3.5102407932281494	0.21616761	No	
row_36	Ppt1	3290	2.620623826980591	0.19437222	No	
row_37	Plppr4	3330	2.561537742614746	0.19400518	No	
row_38	Gsr	3342	2.5424811840057373	0.19504704	No	
row_39	Casp2	3541	2.2201120853424072	0.18639651	No	
row_40	Tap1	3630	2.0761139392852783	0.18323743	No	
row_41	Tgfbr3	4060	1.4046787023544312	0.16235141	No	
