NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	4	74.34124755859375	0.055917166	Yes	
row_1	Htra1	24	49.97743606567383	0.092682056	Yes	
row_2	Csrp1	102	35.32969284057617	0.11545019	Yes	
row_3	Sparc	109	34.218833923339844	0.14097777	Yes	
row_4	Crip2	129	32.77286148071289	0.164755	Yes	
row_5	Anxa1	160	30.422990798950195	0.18620089	Yes	
row_6	Gsn	185	28.83449935913086	0.20675169	Yes	
row_7	C1s1	234	26.306379318237305	0.22417778	Yes	
row_8	Mmp9	280	23.95065689086914	0.23997758	Yes	
row_9	Pros1	310	22.689512252807617	0.2556362	Yes	
row_10	Cd9	315	22.605676651000977	0.2724984	Yes	
row_11	Fbn1	457	17.865924835205078	0.27883992	Yes	
row_12	Apoc1	569	16.02021026611328	0.2853084	Yes	
row_13	C3	645	14.543086051940918	0.29248616	Yes	
row_14	F3	671	14.149209976196289	0.30190042	Yes	
row_15	Lamp2	722	13.495473861694336	0.30955428	Yes	
row_16	Mmp14	771	13.00063419342041	0.31693593	Yes	
row_17	Timp1	942	11.466270446777344	0.31697676	Yes	
row_18	Cpq	949	11.421982765197754	0.3252951	Yes	
row_19	Mmp2	1000	10.906549453735352	0.33099458	Yes	
row_20	Capn2	1027	10.657563209533691	0.33772233	Yes	
row_21	Lrp1	1317	8.667760848999023	0.32962006	No	
row_22	Thbd	1680	6.934788227081299	0.3165102	No	
row_23	Mmp11	1764	6.608171463012695	0.3172925	No	
row_24	Msrb2	1777	6.553686618804932	0.32163176	No	
row_25	Furin	1791	6.523885250091553	0.3258978	No	
row_26	Serping1	1953	5.879175662994385	0.32217705	No	
row_27	Serpine1	2082	5.474064350128174	0.31982282	No	
row_28	Klf7	2244	5.015807151794434	0.31545028	No	
row_29	Bmp1	2259	4.952075004577637	0.31847912	No	
row_30	Clu	2305	4.8346781730651855	0.31984836	No	
row_31	Usp11	2533	4.258566379547119	0.31155956	No	
row_32	Dusp6	2742	3.708263874053955	0.3038182	No	
row_33	P2ry1	2830	3.4988956451416016	0.30205062	No	
row_34	Arf4	3147	2.866192102432251	0.28820053	No	
row_35	Thbs1	3565	2.1861941814422607	0.26871875	No	
row_36	Sh2b2	3780	1.8553029298782349	0.25927454	No	
